Summary_file = orobanche0.sum
Title = Sample Simulation
       day      year     faba_stage       faba_lai   faba_biomass     faba_yield       daa     orob_stage   orob_biomass     population population_dead population_alive    attach_area
     (day)    (year)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)        ()             ()        (kg/ha) (parasites/m2)  (parasites/m2)   (parasites/m2)             ()
       130      1988          1.999          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       131      1988          2.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       132      1988          2.170          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       133      1988          2.255          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       134      1988          2.341          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       135      1988          2.428          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       136      1988          2.527          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       137      1988          2.619          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       138      1988          2.726          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       139      1988          2.831          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       140      1988          2.913          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       141      1988          2.988          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       142      1988          3.000          0.025         10.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       143      1988          3.061          0.029         12.380          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       144      1988          3.101          0.032         14.851          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       145      1988          3.142          0.036         17.625          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       146      1988          3.173          0.042         21.078          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       147      1988          3.212          0.048         25.120          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       148      1988          3.253          0.055         29.781          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       149      1988          3.288          0.062         34.715          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
