Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       264      1961     21/09/1961              ?          3.000         52.000          0.000              0.257              0.261              0.268              0.270              0.270              0.271              0.271              0.281              0.280         39.573          1.663          0.238        817.527          1.669         64.752              2.558              5.454              9.535              7.360              6.122              5.456              9.313              9.640              9.314          0.027      14038.739        267.731         79.673          0.316         71.053          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         65.645
       273      1961     30/09/1961          0.000          0.000         73.900          0.000              0.273              0.277              0.278              0.280              0.280              0.280              0.276              0.285              0.284         19.272         22.063          9.771        840.321          7.859         78.357              8.849              8.865             10.600              8.243              6.661              5.789              9.593             10.003              9.753          0.085      14035.489        270.548         72.269          0.242         54.534          0.000          0.000          0.000          0.000        119.920          0.000         0          1.000          1.000         24.024
       304      1961     31/10/1961          0.000          0.000        148.500          0.785              0.258              0.261              0.268              0.270              0.270              0.270              0.270              0.280              0.280         29.694         16.611        125.161        816.570          2.594         66.648              1.775              2.817              6.800              9.542              8.458              7.157             10.192             10.033              9.874          0.322      14031.538        273.031         65.306          0.193         43.469          0.306          0.000        158.742         14.340        396.110          0.783         0          1.000          1.000         35.108
       334      1961     30/11/1961          0.000          0.000         33.200          1.128              0.262              0.265              0.270              0.270              0.270              0.270              0.270              0.280              0.280         16.882          0.093         13.035        818.632          1.958         62.563              1.082              2.276              4.300              8.755              8.502              7.320             10.347             10.080              9.901          0.022      14030.004        273.588         66.092          0.183         41.192          0.385          0.000        306.760         20.992        517.790          1.072         0          0.995          1.000         24.016
       365      1961     31/12/1961          0.000          0.000          2.000          0.014              0.248              0.251              0.258              0.266              0.270              0.270              0.270              0.280              0.280         11.025          0.000          0.505        809.088          1.929         62.594              1.449              2.248              4.208              8.612              8.490              7.303             10.333             10.066              9.885          0.000      14029.897        273.610         70.034          0.183         41.178          0.002          0.000        308.586         18.061        521.870          0.960         0          1.000          1.000         15.039
        31      1962     31/01/1962          0.000          0.000          2.500          0.000              0.242              0.246              0.254              0.262              0.269              0.270              0.270              0.280              0.280          6.607          0.000          0.000        804.981          1.929         62.588              1.587              2.245              4.220              8.499              8.457              7.301             10.331             10.065              9.885          0.000      14029.897        273.610         73.625          0.183         41.178          0.002          0.000        308.586         15.462        521.870          0.960         0          1.000          1.000          8.620
        59      1962     28/02/1962          0.000          0.000          2.200          0.007              0.225              0.233              0.246              0.257              0.265              0.270              0.270              0.280              0.280         11.763          0.000          0.000        795.412          1.713         62.990              2.230              2.269              4.260              8.326              8.333              7.295             10.328             10.064              9.885          0.000      14029.181        273.853         74.402          0.183         41.178          0.002          0.000        309.354         13.472        571.670          0.960         0          1.000          1.000         41.241
        90      1962     31/03/1962          0.000          0.000          0.000          0.062              0.216              0.225              0.239              0.252              0.261              0.268              0.270              0.280              0.280          7.281          0.000          0.000        788.069          1.232         64.148              3.317              2.533              4.431              8.156              8.195              7.242             10.325             10.063              9.885          0.000      14026.462        274.623         69.866          0.183         41.178          0.004          0.000        314.063         11.681        726.470          0.960         0          1.000          1.000         84.448
       120      1962     30/04/1962          0.000          0.000          6.800          0.341              0.217              0.225              0.237              0.249              0.258              0.266              0.270              0.280              0.280          9.714          0.000          0.000        784.813          0.966         66.533              4.618              3.550              4.838              8.040              8.062              7.153             10.322             10.063              9.886          0.000      14018.456        275.432         55.380          0.180         40.415          0.008          0.000        333.442         10.590       1049.990          0.967         0          1.000          1.000        120.287
       151      1962     31/05/1962          0.000          0.000         22.100          0.783              0.229              0.235              0.243              0.251              0.258              0.264              0.270              0.280              0.280         16.486          0.000          0.000        789.644          1.026         71.115              6.209              6.302              5.892              7.878              7.770              6.891             10.223             10.063              9.888          0.000      13999.710        272.133         34.209          0.168         37.751          0.008         34.419        370.515          9.455       1632.530          1.108         0          1.000          1.000        167.528
       181      1962     30/06/1962          2.000          2.000         10.100          0.991              0.218              0.225              0.237              0.248              0.256              0.262              0.270              0.280              0.280         15.838          0.000          0.000        782.915          1.051         80.622             11.272              9.641              7.439              7.825              7.632              6.764             10.114             10.042              9.892          0.000      13971.237        261.256         19.119          0.168         37.751          0.002         95.893        406.407          8.176       2274.230          1.192       179          1.000          1.000        196.519
       181      1962     30/06/1962          2.000          2.000         21.500          0.000              0.298              0.265              0.242              0.248              0.256              0.262              0.270              0.280              0.280          3.405          0.652          0.000        800.358          1.156         80.970              8.934             11.921              7.838              7.834              7.631              6.763             10.114             10.042              9.892          0.013      13970.420        261.254         28.849          0.455         16.003          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          5.086
       212      1962     31/07/1962          0.000          0.000         85.900          0.000              0.258              0.262              0.270              0.273              0.274              0.275              0.273              0.283              0.283         46.887          7.434          5.868        826.069          1.259         93.487              6.816             14.378             15.376             10.343              8.628              7.342             10.387             10.204             10.014          0.138      13942.165        252.295         15.239          0.098          3.455          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        170.886
       243      1962     31/08/1962          0.000          1.000         74.300          0.000              0.265              0.268              0.276              0.277              0.277              0.277              0.274              0.283              0.283         40.212         13.536         14.412        832.208          1.252        105.067              7.563             16.634             20.326             12.579              9.360              7.684             10.616             10.274             10.032          0.144      13912.836        239.886          9.852          0.056          1.956          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        180.552
       264      1962     21/09/1962          0.000          3.000         55.100          0.000              0.249              0.254              0.266              0.270              0.270              0.271              0.271              0.281              0.281         32.866         11.049         28.026        815.367          1.294        109.192              8.737             15.263             21.524             14.162             10.127              8.057             10.926             10.359             10.037          0.135      13898.526        233.994          8.341          0.036          1.274          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         97.981
