Summary_file = Dalby600.sum
Title = Dalby 600mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     13/10/1957       286      1957        126.100          124.795          0.001       8546.062       1908.797          0.223          0.709        153.897          3.066          5.852         53.820         19.548            244
     09/10/1958       282      1958        324.400          273.709          0.001      10911.002       3760.325          0.345          0.728        206.313          1.673          6.290         54.521         70.623            235
     13/10/1959       286      1959        168.900          168.412          0.001       8091.794       2221.274          0.275          0.739        157.748          2.608          5.792         55.474         30.225            243
     16/10/1960       290      1960        111.300          111.300          0.001       7779.751       1605.874          0.206          0.697        141.629          3.417          5.488         54.034         19.282            250
     13/10/1961       286      1961        179.100          179.100          0.001       8473.881       1777.790          0.210          0.708        162.143          3.277          5.825         54.956         44.822            244
     11/10/1962       284      1962        154.400          154.400          0.001       8294.485       1955.045          0.236          0.720        154.697          2.982          5.829         55.862         19.177            241
     13/10/1963       286      1963        140.300          138.595          0.001       7980.179       2113.831          0.265          0.695        151.689          2.366          5.001         56.770         20.067            243
     11/10/1964       285      1964        314.000          298.377          0.001       9067.294       2440.731          0.269          0.704        171.077          2.301          5.615         55.957        132.882            244
     13/10/1965       286      1965        291.600          283.196          0.001      13511.697       4177.287          0.309          0.682        250.726          1.489          6.222         52.574         56.947            246
     18/10/1966       291      1966        237.300          235.176          0.001      11786.377       3421.245          0.290          0.665        212.866          1.633          5.589         54.584         42.775            246
     13/10/1967       286      1967        265.100          244.698          0.001      11612.710       3155.606          0.272          0.680        208.965          1.838          5.799         52.207         53.216            246
     20/10/1968       294      1968        146.800          146.324          0.001      11230.235       2619.108          0.233          0.656        184.703          2.144          5.616         51.624         20.216            253
     12/10/1969       285      1969        221.300          219.617          0.001       9263.500       3061.500          0.330          0.738        170.974          1.977          6.053         55.636         57.127            239
     14/10/1970       287      1970        124.400          124.090          0.001       5629.945       1288.615          0.229          0.478        113.763          2.645          3.409         59.839         52.300            247
     14/10/1971       287      1971        250.400          250.330          0.001      12040.441       3446.245          0.286          0.663        215.176          1.668          5.750         53.453         68.443            247
     11/10/1972       285      1972         70.600           70.600          0.001       5358.594        959.691          0.179          0.493        101.525          3.599          3.454         59.530         33.576            245
     03/10/1973       276      1973        293.100          286.931          0.001       9837.641       3951.515          0.402          0.776        161.924          1.761          6.958         51.497        151.676            233
     18/10/1974       291      1974        235.000          230.781          0.001       9083.299       2527.703          0.278          0.693        155.730          2.154          5.444         57.137         81.614            246
     12/10/1975       285      1975        177.700          177.683          0.001      11195.072       3514.102          0.314          0.676        189.890          1.616          5.679         53.935         28.434            242
     15/10/1976       289      1976        195.200          195.106          0.001       8112.804       2055.368          0.253          0.712        135.996          2.747          5.646         55.849         79.569            243
     13/10/1977       286      1977        104.800           93.671          0.001       7660.655       1599.003          0.209          0.698        138.984          3.287          5.256         56.668         23.021            245
     19/10/1978       292      1978        298.100          295.087          0.001      12790.707       4464.508          0.349          0.704        199.054          1.421          6.345         52.773        103.358            247
     10/10/1979       283      1979        205.000          176.504          0.001       9404.641       2258.496          0.240          0.694        169.251          2.525          5.702         53.786         37.136            240
     05/10/1980       279      1980         89.600           88.150          0.001       7474.697       1568.211          0.210          0.705        132.403          3.527          5.532         56.899         19.285            239
     12/10/1981       285      1981        217.700          207.928          0.001      11767.342       2852.009          0.242          0.669        196.336          2.019          5.759         53.187         24.522            244
     16/10/1982       289      1982        133.300          133.118          0.001       6727.451       1473.612          0.219          0.694        119.755          3.311          4.879         54.713         50.013            246
     08/10/1983       281      1983        263.400          223.454          0.001      11456.461       3611.946          0.315          0.699        188.655          1.667          6.022         52.216         64.564            243
     15/10/1984       289      1984        295.800          284.911          0.001      12174.960       3853.362          0.316          0.693        206.408          1.618          6.237         51.525        103.132            243
     17/10/1985       290      1985        245.200          237.620          0.001      11557.916       2943.328          0.255          0.657        208.089          1.896          5.580         55.040         44.268            245
     09/10/1986       282      1986         98.600           98.600          0.001       7460.428       1570.296          0.210          0.702        128.129          3.574          5.612         55.253         19.251            242
     08/10/1987       281      1987        122.000          120.631          0.001       9187.291       2087.493          0.227          0.703        164.560          2.827          5.901         56.001         20.527            239
     03/10/1988       277      1988        243.200          237.815          0.001      11764.379       3513.500          0.299          0.677        209.236          1.665          5.848         54.141         52.022            235
     12/10/1989       285      1989        101.800          101.800          0.001       7651.783       1720.001          0.225          0.728        121.687          3.401          5.849         57.696         19.431            244
     12/10/1990       285      1990        264.200          244.845          0.001       9885.115       2344.483          0.237          0.686        168.277          2.442          5.726         55.707         83.785            243
     01/10/1991       274      1991         41.400           41.400          0.001       5702.248       1279.232          0.224          0.600        109.965          3.331          4.261         66.652         19.231            232
     15/10/1992       289      1992        129.600          129.600          0.001       7287.711       2019.617          0.277          0.711        146.244          2.463          4.974         56.979         19.375            246
     06/10/1993       279      1993        137.800          137.800          0.001       7330.037       1970.349          0.269          0.651        138.927          2.577          5.077         56.465         38.995            235
     17/10/1994       290      1994         80.200           79.938          0.001       5386.964        980.781          0.182          0.471        110.657          3.365          3.300         58.271         19.100            247
     10/10/1995       283      1995        164.400          157.080          0.001       7723.610       1865.013          0.241          0.716        145.789          2.905          5.417         58.782         33.926            242
     10/10/1996       284      1996        159.400          159.400          0.001       7969.935       2114.591          0.265          0.687        140.867          2.575          5.444         56.993         53.980            241
     09/10/1997       282      1997        163.000          160.812          0.001       6268.501       1430.055          0.228          0.629        124.124          3.057          4.372         60.072         83.332            242
     06/10/1998       279      1998        279.800          274.246          0.001      10946.065       3718.989          0.340          0.720        178.737          1.732          6.440         53.235        132.665            239
     07/10/1999       280      1999        143.000          142.992          0.001       8758.437       2265.889          0.259          0.740        158.466          2.725          6.175         55.474         20.109            237
     09/10/2000       283      2000         59.600           59.193          0.001       5760.055       1133.108          0.197          0.572        111.510          3.446          3.905         63.212         19.216            245
     09/10/2001       282      2001         45.500           45.500          0.001       5451.070       1088.565          0.200          0.493        106.978          3.330          3.624         56.711         18.920            240
     09/10/2002       282      2002        132.800          132.213          0.001       6973.685       1746.861          0.250          0.694        152.256          2.885          5.039         59.579         19.407            243
