Summary_file = Birchip300.sum
Title = Birchip 300mm wet soil
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     13/11/1957            317           1957        139.900          139.900          0.001       4864.606       1072.691          0.221          0.464         61.648          2.877          3.086         24.258          0.017            269
     19/11/1958            323           1958        244.700          244.622          0.001      12294.707       3010.208          0.245          0.605        160.740          1.584          4.767         14.593          4.584            276
     10/11/1959            314           1959        162.000          162.000          0.001       5046.946       1882.257          0.373          0.767         73.368          2.896          5.452         24.241          0.686            267
     22/11/1960            327           1960        363.500          359.579          0.001      12962.597       3324.345          0.256          0.627        183.533          1.569          5.217         11.404         75.288            282
     06/11/1961            310           1961        152.800          152.800          0.001       6087.979       1381.924          0.227          0.577         74.857          2.870          3.966         22.734          0.059            269
     14/11/1962            318           1962        241.100          241.083          0.001      10326.483       3329.629          0.322          0.692        136.615          1.605          5.343         17.451          1.641            268
     13/11/1963            317           1963        230.300          229.668          0.001       8660.283       2724.833          0.315          0.734        121.365          2.048          5.580         16.641          3.284            274
     18/11/1964            323           1964        301.000          295.173          0.001      14122.707       2732.521          0.193          0.556        192.663          1.654          4.520         14.096         15.999            274
     15/11/1965            319           1965        203.500          203.500          0.001       9368.716       2493.565          0.266          0.684        127.106          2.094          5.223         15.730          1.662            277
     23/11/1966            327           1966        200.200          200.200          0.001       7428.239       2223.259          0.299          0.728         99.145          2.294          5.101         19.727          0.376            284
     14/11/1967            318           1967         99.000           99.000          0.001       3911.714        731.992          0.187          0.332         45.209          2.864          2.096         29.079          0.000            275
     26/11/1968            331           1968        239.800          239.005          0.001       9554.384       2502.544          0.262          0.675        123.360          2.052          5.136         16.480          1.125            287
     21/11/1969            325           1969        184.400          184.400          0.001       8180.145       1962.200          0.240          0.674        103.375          2.547          4.997         17.506          0.373            283
     25/11/1970            329           1970        210.200          210.200          0.001       5856.168       1362.585          0.233          0.569         71.926          2.880          3.924         20.644         32.491            281
     22/11/1971            326           1971        201.300          201.300          0.001       5443.232       1246.363          0.229          0.535         65.318          2.878          3.587         23.998         23.877            279
     15/11/1972            320           1972        153.800          153.800          0.001       5314.766       1154.651          0.217          0.510         72.749          2.878          3.323         23.040          0.124            273
     19/11/1973            323           1973        394.300          375.302          0.001      14164.050       3169.097          0.224          0.584        223.839          1.523          4.826         11.651         37.127            279
     24/11/1974            328           1974        272.200          271.863          0.001      13905.564       2880.305          0.207          0.559        186.898          1.562          4.499         15.067          5.799            280
     12/11/1975            316           1975        383.700          364.439          0.001      11507.931       3094.055          0.269          0.653        154.608          1.730          5.353         14.996        118.925            265
     19/11/1976            324           1976        157.800          157.800          0.001       4862.785       1188.274          0.244          0.524         59.482          2.887          3.430         24.639          0.000            276
     18/11/1977            322           1977        152.600          152.356          0.001       4809.300       1112.283          0.231          0.494         67.077          2.866          3.188         25.875          0.086            277
     20/11/1978            324           1978        350.200          303.669          0.001      11349.220       3222.125          0.284          0.652        162.769          1.573          5.069         13.711         24.869            278
     15/11/1979            319           1979        260.200          260.200          0.001      11946.061       3131.924          0.262          0.628        159.437          1.598          5.004         16.641          8.591            275
     13/11/1980            318           1980        211.000          211.000          0.001       6868.292       2208.743          0.322          0.756         97.435          2.438          5.385         20.611          6.387            272
     14/11/1981            318           1981        386.600          360.922          0.001      11972.695       3190.155          0.266          0.626        175.987          1.557          4.967         13.380         66.157            272
     13/11/1982            317           1982         42.200           42.200          0.001       1853.662        298.642          0.161          0.284         25.137          2.866          0.856         79.030          0.000            272
     18/11/1983            322           1983        261.000          261.000          0.001      11197.719       3209.034          0.287          0.668        155.099          1.685          5.408         13.232         10.352            276
     14/11/1984            319           1984        189.300          189.300          0.001       9162.572       2681.293          0.293          0.707        110.724          2.022          5.421         17.741          3.161            274
     14/11/1985            318           1985        209.500          209.500          0.001       9347.329       2738.263          0.293          0.700        122.543          1.962          5.371         17.501          1.327            276
     19/11/1986            323           1986        295.500          295.493          0.001      13170.238       2814.425          0.214          0.586        181.446          1.675          4.714         14.581         20.706            275
     16/11/1987            320           1987        196.900          196.674          0.001       7989.558       2489.526          0.312          0.731        102.241          2.158          5.373         17.862          2.145            272
     07/11/1988            312           1988        298.600          297.604          0.001      10832.012       3216.097          0.297          0.677        154.437          1.660          5.339         14.795         41.660            266
     22/11/1989            326           1989        222.600          222.600          0.001       9163.263       2481.510          0.271          0.690        118.395          2.130          5.285         17.535          0.367            280
     12/11/1990            316           1990        200.200          199.817          0.001       7907.855       2017.067          0.255          0.682         97.746          2.502          5.047         17.991          0.750            273
     10/11/1991            314           1991        269.000          268.987          0.001      11785.988       3166.821          0.269          0.648        170.006          1.654          5.239         13.618          9.548            270
     23/11/1992            328           1992        334.900          332.112          0.001      14608.577       2996.006          0.205          0.556        199.778          1.510          4.525         14.276         23.153            283
     15/11/1993            319           1993        314.600          313.630          0.001      12429.067       2743.407          0.221          0.612        182.092          1.799          4.936         16.787         17.072            270
     15/11/1994            319           1994        119.000          119.000          0.001       3315.562        612.344          0.185          0.358         39.248          2.872          1.759         47.500          0.000            273
     18/11/1995            322           1995        280.100          277.192          0.001       9311.089       3109.903          0.334          0.707        133.909          1.720          5.350         15.014         39.614            274
     16/11/1996            321           1996        268.000          267.503          0.001      12532.868       2944.293          0.235          0.611        177.123          1.667          4.909         13.642          6.346            275
     16/11/1997            320           1997        212.500          212.500          0.001       8200.014       1957.391          0.239          0.701        106.213          2.669          5.224         19.256         19.114            277
     15/11/1998            319           1998        180.800          180.800          0.001       4105.625        974.330          0.237          0.414         51.755          2.868          2.795         26.228         33.520            273
     09/11/1999            313           1999        247.900          244.679          0.001       8663.268       2599.046          0.300          0.713        126.129          2.061          5.358         18.699          6.102            268
     17/11/2000            322           2000        232.100          232.100          0.001       6695.447       1759.836          0.263          0.724         90.645          2.906          5.115         19.700         37.964            277
     14/11/2001            318           2001        188.700          188.700          0.001       7179.688       1946.437          0.271          0.698         92.585          2.602          5.065         20.721          0.062            268
     12/11/2002            316           2002        102.300          102.269          0.001       3593.915        664.139          0.185          0.377         50.018          2.875          1.909         43.253          0.048            272
