Summary_file = Keith.sum
Title = Keith
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     17/11/1958            321           1958        392.500          319.595          0.001      13362.844       3645.681          0.273          0.661        156.680          1.771          6.456         13.451        101.293            270
     08/11/1960            313           1960        447.800          305.332          0.001      12600.065       3292.074          0.261          0.638        144.498          1.687          5.553         12.197         89.303            261
     10/10/1961            283           1961        269.400          269.400          0.001       9734.760       3247.565          0.334          0.750        126.968          2.211          7.182         19.727         85.481            227
     18/11/1962            322           1962        404.200          349.470          0.001      13700.380       3686.284          0.269          0.641        182.057          1.664          6.134         15.837         91.243            269
     09/11/1963            313           1963        301.600          271.732          0.001       9430.535       3155.256          0.335          0.750        123.657          2.096          6.613         17.046         68.933            268
     22/11/1964            327           1964        454.800          395.044          0.001      12806.267       3912.738          0.306          0.687        167.984          1.746          6.831         15.763        141.008            278
     26/10/1968            300           1968        435.900          350.420          0.001      10213.220       3585.483          0.351          0.747        123.664          1.900          6.811         16.482        132.084            246
     30/10/1971            303           1971        373.900          328.454          0.001      11729.698       3874.784          0.330          0.727        143.052          1.878          7.277         14.653        102.039            247
     10/11/1972            315           1972        261.500          247.496          0.001       9342.362       3205.921          0.343          0.757        129.238          2.223          7.128         19.137         79.910            266
     12/10/1973            285           1973        354.600          301.185          0.001      10351.721       3620.748          0.350          0.757        129.789          2.092          7.574         15.573        105.894            229
     16/11/1974            320           1974        359.800          312.762          0.001      13695.100       4061.825          0.297          0.681        177.534          1.750          7.108         13.924        105.437            269
     13/11/1975            317           1975        341.200          303.892          0.001      10166.021       3989.169          0.392          0.782        133.035          2.099          8.371         16.948        126.489            269
     13/11/1977            317           1977        201.000          198.973          0.001       4557.984       1307.363          0.287          0.504         60.166          2.883          3.770         53.384         58.067            271
     04/10/1980            278           1980        307.600          289.710          0.001       8763.152       3013.535          0.344          0.763        110.724          2.427          7.315         19.689        100.388            224
     18/11/1981            322           1981        396.600          275.708          0.001       9525.603       3361.039          0.353          0.734        127.896          1.880          6.319         18.438         86.071            275
     25/10/1982            298           1982        149.600          149.595          0.001       3383.340        799.587          0.236          0.365         38.880          2.892          2.312         68.600         41.532            245
     29/10/1983            302           1983        246.200          201.297          0.001      11971.000       4224.317          0.353          0.740        148.732          1.874          7.915         14.217         83.833            251
     08/10/1985            281           1985        211.000          210.797          0.001       9318.297       3310.315          0.355          0.771        112.559          2.339          7.744         24.340         69.816            224
     15/10/1986            288           1986        336.800          292.972          0.001      10181.638       3461.594          0.340          0.747        121.196          2.004          6.938         14.025        102.077            232
     18/11/1987            322           1987        230.000          223.104          0.001       8972.408       3014.226          0.336          0.770        110.771          2.448          7.380         21.513         63.827            272
     22/10/1988            296           1988        377.900          303.888          0.001       9781.752       3496.354          0.357          0.757        126.581          1.950          6.817         17.529         93.133            248
     28/11/1989            332           1989        349.800          267.983          0.001      10520.262       3501.613          0.333          0.695        135.612          1.648          5.771         18.064         66.080            288
     17/10/1991            290           1991        365.600          268.797          0.001       9564.740       3444.696          0.360          0.759        115.152          1.946          6.705         14.973        102.486            239
     16/11/1992            321           1992        371.200          340.973          0.001      12588.043       4474.359          0.355          0.748        154.237          1.893          8.471         14.715        110.505            271
     27/10/1995            300           1995        344.800          243.806          0.001       7752.623       2732.798          0.352          0.771         92.042          2.180          5.957         17.714         93.415            247
     22/11/1996            327           1996        355.600          295.931          0.001      11751.914       3880.647          0.330          0.712        150.077          1.774          6.883         15.965         75.257            280
     11/10/1998            284           1998        317.800          317.800          0.001       9057.879       3300.612          0.364          0.758        112.969          2.126          7.019         24.182        117.914            230
     07/11/1999            311           1999        241.600          238.084          0.001       6106.183       2057.016          0.337          0.676         83.065          2.914          5.994         42.801         69.527            267
     15/11/2000            320           2000        289.000          288.919          0.001      10497.308       4123.213          0.393          0.775        135.234          1.962          8.088         20.209         83.082            273
     11/11/2002            315           2002        206.100          206.085          0.001       5977.330       1754.512          0.294          0.669         72.631          2.898          5.085         39.809         47.793            267
