APSIM output file, version = 5.4
Title = barley SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep       dm_green       dm_green    LeafGreenWt       dm_green    StemGreenWt       dm_green     podGreenWt       dm_green    mealGreenWt       dm_green     oilGreenWt dlt_dm_green_retrans(1) dlt_dm_green_retrans(2) dlt_dm_green_retrans(3) dlt_dm_green_retrans(4) dlt_dm_green_retrans(5) dlt_dm_green_retrans(6)    dm_senesced dm_plant_min(1) dm_plant_min(2) dm_plant_min(3) dm_plant_min(4) dm_plant_min(5) dm_plant_min(6)   dlt_dm_green   dlt_dm_green dlt_dm_green_leaf   dlt_dm_green dlt_dm_green_stem   dlt_dm_green dlt_dm_green_pod   dlt_dm_green dlt_dm_green_meal   dlt_dm_green dlt_dm_green_oil dlt_dm_green_retrans(1) dlt_dm_green_retrans(2) dlt_dm_green_retrans(3) dlt_dm_green_retrans(4) dlt_dm_green_retrans(5) dlt_dm_green_retrans(6) dlt_dm_detached dlt_dm_senesced       grain_no     grain_size     podGreenWt       grain_wt    mealGreenWt     oilGreenWt        head_wt          yield        n_green        n_green     LeafGreenN        n_green     StemGreenN        n_green      podGreenN        n_green     mealGreenN        n_green      oilGreenN    FruitGreenN     n_senesced     n_senesced  LeafSenescedN     n_senesced  StemSenescedN     n_senesced   podSenescedN     n_senesced  mealSenescedN     n_senesced   oilSenescedN FruitSenescedN    dlt_n_green    dlt_n_green dlt_n_green_leaf    dlt_n_green dlt_n_green_stem    dlt_n_green dlt_n_green_pod    dlt_n_green dlt_n_green_meal    dlt_n_green dlt_n_green_oil dlt_n_green_fruit  dlt_n_retrans  dlt_n_retrans dlt_n_retrans_leaf  dlt_n_retrans dlt_n_retrans_stem  dlt_n_retrans dlt_n_retrans_pod  dlt_n_retrans dlt_n_retrans_meal  dlt_n_retrans dlt_n_retrans_oil dlt_n_retrans_fruit dlt_n_senesced_trans dlt_n_senesced_trans dlt_n_senesced_trans_leaf dlt_n_senesced_trans dlt_n_senesced_trans_stem dlt_n_senesced_trans dlt_n_senesced_trans_pod dlt_n_senesced_trans dlt_n_senesced_trans_meal dlt_n_senesced_trans dlt_n_senesced_trans_oil dlt_n_senesced_trans_fruit dlt_n_senesced_retrans dlt_n_senesced_retrans dlt_n_senesced_retrans_leaf dlt_n_senesced_retrans dlt_n_senesced_retrans_stem dlt_n_senesced_retrans dlt_n_senesced_retrans_pod dlt_n_senesced_retrans dlt_n_senesced_retrans_meal dlt_n_senesced_retrans dlt_n_senesced_retrans_oil dlt_n_senesced_retrans_fruit dlt_n_senesced dlt_n_senesced dlt_n_senesced_leaf dlt_n_senesced dlt_n_senesced_stem dlt_n_senesced dlt_n_senesced_pod dlt_n_senesced dlt_n_senesced_meal dlt_n_senesced dlt_n_senesced_oil dlt_n_senesced_fruit       n_demand  n_demanded(1)  n_demanded(2)  n_demand_leaf  n_demanded(3)  n_demand_stem  n_demanded(4)   n_demand_pod  n_demanded(5)  n_demand_meal  n_demanded(6)   n_demand_oil n_demand_fruit    nfact_grain
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)         (g/m2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)         (g/m2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)          (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)         (g/m^2)         (g/m^2)         (/m^2)            (g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (kg/ha)         (g/m2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)        (g/m^2)         (g/m2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)         (g/m^2)           (g/m^2)        (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)           (g/m^2)             (g/m^2)              (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                  (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                  (g/m^2)                    (g/m^2)                (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                    (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                    (g/m^2)                      (g/m^2)        (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)            (g/m^2)              (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()
     14/06/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                    0.00                    0.00                    0.00                    0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                    0.00                    0.00                    0.00                    0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00               0.00           0.00               0.00           0.00              0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     15/06/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                    0.00                    0.00                    0.00                    0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                    0.00                    0.00                    0.00                    0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00               0.00           0.00               0.00           0.00              0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     16/06/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                    0.00                    0.00                    0.00                    0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                    0.00                    0.00                    0.00                    0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00               0.00           0.00               0.00           0.00              0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     17/06/1988          0.000              1          1.999          0.000            0.0            0.0          0.000          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00              -0.00           0.00              -0.00           0.00             -0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     18/06/1988          0.000              2          2.000          0.000            0.0            0.0        100.000          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00              -0.00           0.00              -0.00           0.00             -0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     19/06/1988          0.000              3          2.314          0.000            0.0            0.0        102.380          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00              -0.00           0.00              -0.00           0.00             -0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     20/06/1988          0.000              4          2.459          0.000            0.0            0.0        104.850          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00              -0.00           0.00              -0.00           0.00             -0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     21/06/1988          0.000              5          2.620          0.000            0.0            0.0        107.580          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00              -0.00           0.00              -0.00           0.00             -0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     22/06/1988          0.000              6          2.757          0.000            0.0            0.0        109.910          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00              -0.00           0.00              -0.00           0.00             -0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
     23/06/1988          0.000              7          2.892          0.000            0.0            0.0        112.210          0.000          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00          0.000            0.00            0.00            0.00            0.00            0.00            0.00           0.00           0.00              0.00           0.00              0.00           0.00             0.00           0.00              0.00           0.00             0.00                    0.00                   -0.00                   -0.00                    0.00                   -0.00                    0.00            0.00            0.00          0.000          0.000           0.00           0.00           0.00           0.00           0.00            0.0          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00          0.000          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00          0.000           0.00           0.00           0.00           0.00             0.00           0.00             0.00           0.00            0.00           0.00             0.00           0.00            0.00              0.00           0.00           0.00              -0.00           0.00              -0.00           0.00             -0.00           0.00               0.00           0.00              0.00                0.00                 0.00                 0.00                      0.00                 0.00                      0.00                 0.00                     0.00                 0.00                      0.00                 0.00                     0.00                       0.00                   0.00                   0.00                        0.00                   0.00                        0.00                   0.00                       0.00                   0.00                        0.00                   0.00                       0.00                         0.00           0.00           0.00                0.00           0.00                0.00           0.00               0.00           0.00                0.00           0.00               0.00                 0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          1.000
