Summary_file = pigeonp.sum
Title = pigeonp Sample Simulation
       day      year            lai        biomass  green_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
       270      1988          0.000          0.000          0.000
       271      1988          0.000          0.000          0.000
       272      1988          0.000          0.000          0.000
       273      1988          0.000          0.000          0.000
       274      1988          0.000          0.000          0.000
       275      1988          0.000          0.000          0.000
       276      1988          0.000          0.000          0.000
       277      1988          0.000          0.000          0.000
       278      1988          0.000          0.000          0.000
       279      1988          0.000          0.000          0.000
       280      1988          0.000          0.000          0.000
       281      1988          0.000          0.000          0.000
       282      1988          0.000          0.000          0.000
       283      1988          0.000          0.000          0.000
       284      1988          0.000          0.000          0.000
       285      1988          0.000          0.000          0.000
       286      1988          0.000          0.000          0.000
       287      1988          0.000          0.000          0.000
       288      1988          0.000          0.000          0.000
       289      1988          0.000          0.000          0.000
       290      1988          0.000          0.000          0.000
       291      1988          0.000          0.000          0.000
       292      1988          0.000          0.000          0.000
       293      1988          0.000          0.000          0.000
       294      1988          0.000          0.000          0.000
       295      1988          0.000          0.000          0.000
       296      1988          0.013          6.500          6.500
       297      1988          0.015          7.694          7.694
       298      1988          0.016          8.343          8.343
       299      1988          0.018          9.513          9.513
       300      1988          0.021         11.118         11.118
       301      1988          0.024         13.466         13.466
       302      1988          0.027         16.847         16.847
       303      1988          0.030         21.000         21.000
       304      1988          0.034         25.579         25.579
       305      1988          0.038         30.708         30.708
       306      1988          0.043         35.830         35.830
       307      1988          0.047         42.138         42.138
       308      1988          0.051         49.323         49.323
       309      1988          0.056         56.903         56.903
       310      1988          0.060         65.374         65.374
       311      1988          0.062         66.500         66.500
       312      1988          0.065         68.776         68.776
       313      1988          0.068         72.251         72.251
       314      1988          0.071         78.378         78.378
       315      1988          0.075         87.342         87.342
       316      1988          0.080         96.684         96.684
       317      1988          0.084        105.931        105.931
       318      1988          0.088        113.588        113.588
       319      1988          0.093        123.555        123.555
       320      1988          0.098        137.474        137.474
       321      1988          0.100        138.858        138.858
       322      1988          0.103        141.073        141.073
       323      1988          0.107        150.081        150.081
       324      1988          0.112        165.044        165.044
       325      1988          0.116        173.558        173.558
       326      1988          0.121        189.744        189.744
       327      1988          0.127        205.731        205.731
       328      1988          0.133        223.247        223.247
       329      1988          0.139        244.123        244.123
       330      1988          0.144        262.180        262.180
       331      1988          0.150        280.924        280.924
       332      1988          0.156        300.763        300.763
       333      1988          0.177        312.601        312.601
       334      1988          0.213        332.547        332.547
       335      1988          0.265        361.358        361.358
       336      1988          0.325        394.569        394.569
       337      1988          0.395        441.240        441.240
       338      1988          0.468        488.491        488.491
       339      1988          0.535        546.373        546.373
       340      1988          0.607        615.254        615.254
       341      1988          0.676        680.499        680.499
       342      1988          0.755        736.766        736.766
       343      1988          0.831        790.179        790.179
       344      1988          0.918        869.830        869.830
       345      1988          1.001        962.217        962.217
       346      1988          1.088       1073.761       1073.761
       347      1988          1.162       1158.127       1158.127
       348      1988          1.227       1237.719       1237.719
       349      1988          1.284       1305.859       1305.859
       350      1988          1.356       1401.289       1401.289
       351      1988          1.434       1478.472       1478.472
       352      1988          1.494       1511.895       1511.895
       353      1988          1.558       1550.840       1550.840
       354      1988          1.653       1681.039       1681.039
       355      1988          1.751       1822.255       1822.255
       356      1988          1.850       1976.516       1976.516
       357      1988          1.955       2123.162       2123.162
       358      1988          2.057       2277.722       2277.722
       359      1988          2.165       2433.334       2433.334
       360      1988          2.268       2600.935       2600.935
       361      1988          2.375       2774.563       2774.563
       362      1988          2.474       2913.784       2913.784
       363      1988          2.541       3084.792       3078.317
       364      1988          2.643       3264.618       3258.143
       365      1988          2.744       3434.997       3428.522
       366      1988          2.841       3594.911       3588.436
         1      1989          2.937       3756.940       3750.465
         2      1989          3.028       3861.287       3854.812
         3      1989          3.127       4014.411       4007.936
         4      1989          3.157       4155.407       4124.790
         5      1989          3.153       4277.483       4209.920
         6      1989          3.254       4394.708       4327.145
         7      1989          3.363       4558.456       4490.892
         8      1989          3.461       4741.095       4673.531
         9      1989          3.508       4893.135       4805.451
        10      1989          3.461       4995.739       4852.583
        11      1989          3.567       5175.018       5029.859
        12      1989          3.596       5329.464       5157.626
        13      1989          3.626       5483.692       5282.187
        14      1989          3.727       5632.298       5430.792
        15      1989          3.810       5795.623       5589.385
        16      1989          3.880       5949.955       5733.337
        17      1989          3.880       6073.661       5817.354
        18      1989          3.810       6166.522       5839.761
        19      1989          3.724       6247.258       5843.392
        20      1989          3.681       6336.971       5872.493
        21      1989          3.598       6413.736       5873.168
        22      1989          3.621       6517.386       5940.596
