Summary_file = maize.sum
Title = Maize Sample Simulation
       day      year            lai        biomass          yield      biomass_n    swdef_expan    nfact_expan       das
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)         (g/m2)             ()             ()    (days)
       300      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       301      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       302      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       303      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       304      1989          0.000          0.000          0.000          0.000          0.000          0.000         0
       305      1989          0.000          0.000          0.000          0.000          1.000          1.000         1
       306      1989          0.000          0.000          0.000          0.000          1.000          1.000         2
       307      1989          0.000          0.000          0.000          0.000          1.000          1.000         3
       308      1989          0.004          2.000          0.000          0.009          1.000          1.000         4
       309      1989          0.005          2.509          0.000          0.010          1.000          0.947         5
       310      1989          0.005          3.052          0.000          0.012          1.000          0.786         6
       311      1989          0.006          3.672          0.000          0.014          1.000          0.802         7
       312      1989          0.007          4.589          0.000          0.017          1.000          0.836         8
       313      1989          0.008          5.690          0.000          0.021          1.000          0.822         9
       314      1989          0.009          6.698          0.000          0.024          1.000          0.817        10
       315      1989          0.011          7.745          0.000          0.028          1.000          0.842        11
       316      1989          0.013          9.337          0.000          0.033          1.000          0.861        12
       317      1989          0.015         10.863          0.000          0.038          1.000          0.849        13
       318      1989          0.018         13.045          0.000          0.044          1.000          0.866        14
       319      1989          0.022         15.769          0.000          0.053          1.000          0.858        15
       320      1989          0.026         18.823          0.000          0.062          1.000          0.876        16
       321      1989          0.031         22.531          0.000          0.073          1.000          0.889        17
       322      1989          0.037         25.944          0.000          0.083          1.000          0.895        18
       323      1989          0.045         29.647          0.000          0.094          1.000          0.910        19
       324      1989          0.052         35.097          0.000          0.108          1.000          0.910        20
       325      1989          0.059         42.558          0.000          0.129          1.000          0.884        21
       326      1989          0.067         51.129          0.000          0.154          1.000          0.866        22
       327      1989          0.076         59.986          0.000          0.181          1.000          0.863        23
       328      1989          0.088         70.506          0.000          0.213          1.000          0.873        24
       329      1989          0.101         83.275          0.000          0.249          1.000          0.882        25
       330      1989          0.114         97.334          0.000          0.293          1.000          0.879        26
       331      1989          0.131        113.691          0.000          0.341          1.000          0.896        27
       332      1989          0.147        132.390          0.000          0.395          1.000          0.895        28
       333      1989          0.166        154.680          0.000          0.460          1.000          0.894        29
       334      1989          0.188        180.902          0.000          0.536          1.000          0.893        30
       335      1989          0.212        210.228          0.000          0.622          1.000          0.893        31
       336      1989          0.243        242.667          0.000          0.718          1.000          0.896        32
       337      1989          0.283        277.134          0.000          0.820          1.000          0.903        33
       338      1989          0.331        311.721          0.000          0.923          1.000          0.912        34
       339      1989          0.374        337.233          0.000          1.007          1.000          0.923        35
       340      1989          0.427        388.486          0.000          1.132          1.000          0.942        36
       341      1989          0.487        449.687          0.000          1.289          1.000          0.927        37
       342      1989          0.547        518.885          0.000          1.470          1.000          0.919        38
       343      1989          0.608        589.147          0.000          1.667          1.000          0.914        39
       344      1989          0.679        677.050          0.000          1.898          1.000          0.918        40
       345      1989          0.840        778.229          0.000          2.168          1.000          0.916        41
       346      1989          1.042        895.831          0.000          2.474          1.000          0.918        42
       347      1989          1.263       1031.140          0.000          2.819          1.000          0.920        43
       348      1989          1.417       1136.448          0.000          3.120          1.000          0.922        44
       349      1989          1.581       1257.716          0.000          3.436          1.000          0.937        45
       350      1989          1.775       1411.204          0.000          3.806          1.000          0.942        46
       351      1989          1.992       1596.389          0.000          4.252          1.000          0.937        47
       352      1989          2.236       1820.324          0.000          4.792          1.000          0.932        48
       353      1989          2.486       2071.425          0.000          5.409          1.000          0.928        49
       354      1989          2.735       2346.722          0.000          6.094          1.000          0.928        50
       355      1989          2.978       2643.866          0.000          6.693          1.000          0.932        51
       356      1989          3.177       2917.205          0.000          7.191          1.000          0.922        52
       357      1989          3.339       3166.536          0.000          7.624          1.000          0.913        53
       358      1989          3.502       3444.351          0.000          7.980          1.000          0.906        54
       359      1989          3.633       3691.283          0.000          8.279          1.000          0.891        55
       360      1989          3.781       3992.302          0.000          8.540          1.000          0.879        56
       361      1989          3.923       4310.121          0.000          8.764          1.000          0.861        57
       362      1989          4.048       4616.753          0.000          8.960          1.000          0.842        58
       363      1989          4.163       4917.649          0.000          9.139          1.000          0.824        59
       364      1989          4.268       5207.032          0.000          9.305          1.000          0.808        60
       365      1989          4.365       5492.336          0.000          9.464          1.000          0.796        61
         1      1990          4.450       5773.136          0.000          9.616          1.000          0.786        62
         2      1990          4.531       6058.216          0.000          9.762          1.000          0.781        63
         3      1990          4.600       6335.765          0.000          9.901          1.000          0.777        64
         4      1990          4.578       6606.512          0.000         10.034          1.000          0.775        65
         5      1990          4.556       6828.614          0.000         10.156          1.000          0.798        66
         6      1990          4.536       7059.764          0.000         10.270          1.000          0.822        67
         7      1990          4.517       7298.413          0.000         10.374          1.000          0.845        68
         8      1990          4.498       7539.747          0.000         10.468          1.000          0.869        69
         9      1990          4.470       7764.473          0.000         10.554          1.000          0.892        70
        10      1990          4.442       7974.521          0.000         10.634          1.000          0.917        71
        11      1990          4.415       8135.905          0.000         10.707          1.000          0.940        72
        12      1990          4.389       8328.907          0.000         10.777          1.000          0.958        73
        13      1990          4.360       8525.723          0.000         10.847          1.000          0.977        74
        14      1990          4.328       8719.257          0.000         10.912          1.000          0.998        75
        15      1990          4.295       8933.261          0.000         10.971          1.000          1.000        76
        16      1990          4.267       9101.395          0.000         11.047          1.000          1.000        77
        17      1990          4.230       9276.667          0.000         11.118          1.000          1.000        78
        18      1990          4.191       9469.909          0.000         11.183          1.000          1.000        79
        19      1990          4.154       9665.715          0.000         11.244          1.000          1.000        80
        20      1990          4.112       9843.646        158.536         11.302          1.000          1.000        81
        21      1990          4.069      10008.328        320.228         11.356          1.000          1.000        82
        22      1990          4.026      10167.504        484.612         11.407          1.000          1.000        83
        23      1990          3.987      10331.138        648.760         11.457          1.000          1.000        84
        24      1990          3.955      10492.908        800.632         11.506          1.000          1.000        85
        25      1990          3.910      10659.176        957.828         11.553          1.000          1.000        86
        26      1990          3.862      10820.864       1114.566         11.600          1.000          1.000        87
        27      1990          3.813      10990.491       1263.849         11.646          1.000          1.000        88
        28      1990          3.762      11151.521       1409.983         11.690          1.000          1.000        89
        29      1990          3.704      11257.051       1575.548         11.730          1.000          1.000        90
        30      1990          3.654      11382.629       1743.115         11.770          1.000          1.000        91
        31      1990          3.611      11522.768       1897.259         11.810          1.000          1.000        92
        32      1990          3.567      11604.899       2058.930         11.849          1.000          1.000        93
        33      1990          3.517      11692.055       2226.497         11.894          1.000          1.000        94
        34      1990          3.474      11771.065       2389.638         11.950          1.000          1.000        95
        35      1990          3.424      11922.814       2546.139         12.002          1.000          1.000        96
        36      1990          3.370      12077.064       2700.883         12.049          1.000          1.000        97
        37      1990          3.313      12220.920       2857.782         12.093          1.000          0.996        98
        38      1990          3.254      12361.976       3016.464         12.135          1.000          0.986        99
        39      1990          3.204      12457.371       3180.176         12.185          1.000          0.979       100
        40      1990          3.148      12589.339       3341.000         12.232          1.000          0.980       101
        41      1990          3.080      12709.097       3502.564         12.279          1.000          0.974       102
        42      1990          3.012      12838.628       3659.804         12.325          1.000          0.975       103
        43      1990          2.937      12963.726       3817.867         12.369          1.000          0.967       104
        44      1990          2.864      13041.525       3983.917         12.412          1.000          0.964       105
        45      1990          2.790      13135.771       4145.692         12.457          1.000          0.980       106
        46      1990          2.711      13227.633       4311.207         12.501          1.000          0.990       107
        47      1990          2.642      13307.378       4476.526         12.543          1.000          1.000       108
        48      1990          2.562      13430.559       4639.137         12.583          1.000          1.000       109
        49      1990          2.481      13550.874       4800.008         12.623          1.000          1.000       110
        50      1990          2.404      13661.219       4964.782         12.661          1.000          1.000       111
        51      1990          2.334      13766.881       5131.016         12.698          1.000          1.000       112
        52      1990          2.266      13877.631       5293.244         12.734          1.000          1.000       113
        53      1990          2.196      13988.379       5457.230         12.771          1.000          1.000       114
        54      1990          2.129      14094.513       5617.212         12.807          1.000          1.000       115
        55      1990          2.058      14178.075       5784.770         12.842          1.000          1.000       116
        56      1990          1.995      14249.845       5915.752         12.877          1.000          1.000       117
        57      1990          1.931      14342.528       6008.436         12.911          1.000          1.000       118
        58      1990          1.875      14448.525       6114.432         12.946          1.000          1.000       119
        59      1990          1.830      14547.944       6213.851         12.980          1.000          1.000       120
        60      1990          1.781      14645.710       6311.617         13.013          1.000          1.000       121
        61      1990          1.734      14727.184       6393.090         13.046          1.000          1.000       122
        62      1990          1.689      14781.439       6447.346         13.078          1.000          1.000       123
        63      1990          1.644      14833.728       6499.635         13.111          1.000          1.000       124
        64      1990          1.598      14907.335       6573.241         13.143          1.000          1.000       125
        65      1990          1.549      14996.375       6662.283         13.174          1.000          1.000       126
        66      1990          1.498      15083.929       6749.836         13.205          1.000          1.000       127
        67      1990          1.461      15161.554       6749.836         13.236          1.000          1.000       128
        68      1990          1.427      15245.973       6749.836         13.266          1.000          1.000       129
        69      1990          0.013      15245.974       6749.836         13.266          1.000          0.000       130
        70      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        71      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        72      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        73      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        74      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        75      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        76      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        77      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        78      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        79      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        80      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        81      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        82      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        83      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        84      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        85      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        86      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        87      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        88      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        89      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        90      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        91      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        92      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        93      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        94      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        95      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        96      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        97      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        98      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
        99      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       100      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       101      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       102      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       103      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       104      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       105      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       106      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       107      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       108      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       109      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       110      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       111      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       112      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       113      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       114      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       115      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       116      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       117      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       118      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       119      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
       120      1990          0.000          0.000          0.000          0.000          0.000          0.000         0
