APSIM output file, version = 5.4
Title = MelliodoraW90
           Date            day            lai        stem_wt        leaf_wt             fw             fn           rain     irrigation             es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)       sw_dep()             ft      plantleaf      plantstem        plantla   plantbiomass           swsi         plants           slai          no3()          nh4()     root_depth         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)         rlv(8)         rlv(9)        rlv(10)        rlv(11)        rlv(12)             ep             eo            rtr          sw150           petr           peta          ffasw         height       ftcanopy      sw_demand      sw_supply         runoff     cum_stress            esw       fwcanopy             ga        biomass           fvpd
            (?)            (?)        (m2/m2)        (kg/ha)        (kg/ha)          (0-1)          (0-1)            (?)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)          (0-1)            (?)            (?)            (?)            (?)            (?)          (/ha)        (m2/m2)        (kg/ha)        (kg/ha)             ()       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)           (mm)            (?)            (?)             ()             ()          (0-1)           (mm)          (0-1)           (mm)           (mm)           (mm)            (d)           (mm)          (0-1)             ()        (kg/ha)          (0-1)
     21/08/1889            233          1.368       1779.860       2205.720          1.000          0.900          0.000          0.000          1.222          0.390          0.499          0.489          0.304          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1380.840          1.000          0.000          0.000          0.000          0.000          0.000      62467.082          0.000        186.831          8.896        736.372          0.045          0.036          0.016          0.013          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.132          3.436          0.000          0.000          0.269          0.863          1.000        594.807          0.725          1.132          1.321          0.000          2.685        191.340          0.333          0.048       3986.754          1.000
     21/08/1890            233          1.324       1661.304       2134.781          1.000          0.955          0.000          0.000          0.462          0.276          0.407          0.444          0.360          0.255          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1353.977          1.000          0.000          0.000          0.000          0.000          0.000      62471.324          0.000        153.759         20.900       1201.254          0.077          0.047          0.001          0.000          0.004          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.924          3.301          0.000          0.000          0.246          0.679          1.000        587.059          0.550          0.924          1.074          0.000          0.625        164.477          0.324          0.048       3797.133          1.000
     21/08/1891            233          1.154       1332.203       1860.701          1.000          0.913          0.000          0.000          1.588          0.453          0.493          0.407          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1364.519          1.000          0.000          0.000          0.000          0.000          0.000      62481.566          0.000        153.750         33.768        735.307          0.080          0.045          0.009          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.865          3.352          0.000          0.000          0.191          0.674          1.000        562.897          0.350          0.865          1.008          0.000          1.008        175.019          0.332          0.047       3193.654          1.000
     21/08/1892            234          0.908       1140.904       1465.062          0.369          1.000          0.000          0.000          0.552          0.238          0.377          0.397          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1311.670          1.000          0.000          0.000          0.000          0.000          0.000      62486.484          0.006        160.101         42.227        775.404          0.044          0.038          0.022          0.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.303          3.622          0.000          0.000          0.172          0.648          1.000        546.980          0.625          0.820          0.303          0.000         14.261        122.170          0.000          0.046       2615.829          1.000
     21/08/1893            233          1.113       1297.280       1794.416          0.772          1.000          2.600          0.000          0.678          0.303          0.422          0.431          0.303          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1338.580          1.000          0.000          0.000          0.000          0.000          0.000      62482.520          0.003        165.578         44.536        804.220          0.041          0.042          0.034          0.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.701          3.363          0.000          0.000          0.206          0.702          1.000        560.494          0.950          0.908          0.701          0.000          2.715        149.080          0.000          0.047       3096.522          1.000
     21/08/1894            233          0.855        973.378       1379.051          0.509          1.000         11.500          0.000          0.345          0.225          0.401          0.400          0.303          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1314.508          1.000          0.000          0.000          0.000          0.000          0.000      62490.160          0.004        179.495         51.787        836.885          0.043          0.046          0.024          0.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.347          3.533          0.000          0.000          0.151          0.531          1.000        530.722          0.800          0.682          0.347          0.000          9.285        125.008          0.000          0.046       2359.707          1.000
     21/08/1895            233          0.380        512.964        613.393          0.214          1.000          0.000          0.000          2.562          0.204          0.340          0.380          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1295.675          1.000          0.000          0.000          0.000          0.000          0.000      62497.270          0.003        209.484         52.284        658.086          0.032          0.030          0.007          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.069          3.532          0.000          0.000          0.039          0.283          1.000        469.906          0.650          0.323          0.069          0.000         42.506        106.175          0.000          0.044       1131.402          1.000
     21/08/1896            234          0.737        758.619       1188.116          0.999          1.000          0.000          0.000          0.611          0.343          0.450          0.389          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1335.907          1.000          0.000          0.000          0.000          0.000          0.000      62494.023          0.000        210.028         57.676        744.528          0.046          0.045          0.020          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.611          3.568          0.000          0.000          0.119          0.493          1.000        506.172          0.525          0.611          0.611          0.000          6.952        146.407          0.000          0.045       1947.116          1.000
     21/08/1897            233          0.665        647.660       1073.245          1.000          1.000          1.700          0.000          2.191          0.355          0.472          0.389          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1340.916          1.000          0.000          0.000          0.000          0.000          0.000      62495.645          0.000        222.837         60.669        743.748          0.031          0.037          0.019          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.563          3.552          0.000          0.000          0.101          0.462          1.000        490.556          0.775          0.563          0.675          0.000          8.748        151.416          0.401          0.044       1721.230          1.000
