Summary_file = p60N100c_h.sum
Title = p60N100
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.845            473.452             36.224              2.971              2.167              2.048              1.368              1.354              1.336              1.323              1.315              1.303          0.000          0.053          2.698          0.356          0.273         15.237         37.637       1322.665         396.550              0.122              0.207              0.220              0.226              0.234              0.246              0.271              0.288              0.297              0.299        427.384         47.192          0.103          0.103                 0.477                 0.386                 0.451             43       5114.411      11257.246          1.179          8.868       1700.000        156.842              0.945              0.410              0.181              0.066              0.018              0.001              0.001              0.005              0.094              0.978         57.011         57.124              ?              ?              ?
      1953       108     18/04/1953        918.900              48.389            332.612             28.551              2.748              2.122              2.005              1.311              1.259              1.258              1.282              1.325              1.311          0.000          0.191          1.943          0.651          2.926        217.235         66.935       1320.580         399.868              0.230              0.283              0.290              0.295              0.298              0.299              0.300              0.300              0.300              0.301        498.884        110.884          0.865          0.865                 0.363                 0.285                 0.570             49       4880.396      10813.581          1.685          8.325       1700.000        155.977              0.976              0.367              0.203              0.152              0.074              0.033              0.030              0.028              0.025              0.054         80.517          9.318              ?              ?              ?
      1954        97     07/04/1954        668.500              49.087            204.806             30.157              2.831              2.169              2.133              1.435              1.382              1.357              1.334              1.304              1.284          0.000          0.227          2.554          0.708          3.604        261.791         88.882       1319.746         330.294              0.179              0.244              0.255              0.262              0.269              0.277              0.289              0.296              0.299              0.300        466.466         80.535          0.851          0.851                 0.384                 0.309                 1.000             36       5082.146      12068.654          1.749          9.708       1700.000        165.485              1.595              0.341              0.150              0.103              0.066              0.041              0.049              0.041              0.034              0.136         99.704         11.200              ?              ?              ?
      1955        92     02/04/1955       1006.700              85.878            449.047             30.390              2.867              2.186              2.153              1.429              1.390              1.367              1.321              1.279              1.256          0.000          0.290          3.114          0.750          4.768        352.571        104.260       1320.276         373.449              0.198              0.263              0.273              0.281              0.286              0.291              0.297              0.299              0.300              0.300        484.190         96.349          0.684          0.684                 0.386                 0.306                 1.000             32       4749.549      11214.025          1.948          8.989       1700.000        159.029              1.700              0.308              0.145              0.100              0.064              0.043              0.050              0.050              0.073              0.581        118.207         42.157              ?              ?              ?
      1956        97     06/04/1956       1000.800             102.015            340.584             29.904              2.832              2.156              2.151              1.443              1.414              1.382              1.338              1.286              1.255          0.000          0.351          2.897          0.767          3.753        272.306        111.139       1321.314         412.064              0.209              0.266              0.275              0.282              0.287              0.291              0.297              0.299              0.300              0.300        486.426         98.426          0.401          0.401                 0.368                 0.319                 0.999             39       5424.717      12804.288          2.192         11.199       1700.000        176.337              1.987              0.285              0.147              0.124              0.079              0.051              0.053              0.045              0.037              0.089        137.002         19.368              ?              ?              ?
      1957        94     04/04/1957       1059.500              77.407            418.063             36.064              2.831              2.133              2.128              1.406              1.387              1.351              1.305              1.257              1.231          0.000          0.506          2.925          0.844          5.206        355.375        120.757       1322.912         445.284              0.164              0.238              0.251              0.259              0.266              0.274              0.288              0.296              0.299              0.300        461.829         77.402          0.860          0.860                 0.388                 0.343                 0.980             35       5371.774      11533.363          1.672         10.423       1700.000        141.465              1.726              0.357              0.169              0.130              0.089              0.061              0.065              0.064              0.065              0.200        153.641         30.089              ?              ?              ?
      1958       101     11/04/1958        815.700              80.984            313.174             37.196              3.012              2.222              2.194              1.443              1.419              1.380              1.330              1.281              1.250          0.000          0.296          4.000          0.737          4.026        274.349        124.718       1324.973         351.691              0.221              0.214              0.216              0.220              0.227              0.238              0.268              0.287              0.296              0.299        432.109         44.109          0.934          0.934                 0.358                 0.308                 0.982             43       5555.784      12798.477          1.363         11.224       1700.000        165.428              2.625              0.407              0.181              0.133              0.088              0.060              0.063              0.054              0.076              0.314        173.165         25.012              ?              ?              ?
      1959       117     27/04/1959        797.300              33.727            297.310             40.896              3.073              2.253              2.211              1.436              1.396              1.373              1.329              1.278              1.243          0.000          0.411          4.667          0.708          6.821        458.272        142.577       1327.974         407.025              0.100              0.200              0.210              0.214              0.219              0.230              0.259              0.281              0.293              0.299        410.199         32.190          1.459          1.459                 0.362                 0.324                 0.573             56       3972.077      10247.341          0.868          9.794       1700.000        146.748              2.586              0.345              0.178              0.131              0.087              0.061              0.083              0.084              0.156              0.955        191.162         35.653              ?              ?              ?
      1960       106     15/04/1960        663.400              30.648            241.987             40.913              2.896              2.183              2.120              1.362              1.359              1.347              1.308              1.262              1.223          0.000          0.320          4.724          1.096          6.701        369.944        156.651       1331.761         314.391              0.287              0.276              0.239              0.238              0.232              0.240              0.265              0.284              0.294              0.299        450.596         62.596          0.549          0.549                 0.401                 0.388                 0.354             46       5223.215      11033.742          1.099         10.884       1700.000        138.801              2.341              0.818              0.230              0.185              0.123              0.083              0.095              0.083              0.151              0.615        207.470         27.589              ?              ?              ?
      1961        86     27/03/1961        990.100              51.423            303.146             32.957              2.870              2.154              2.165              1.387              1.361              1.304              1.262              1.235              1.201          0.000          0.151          4.118          1.447          2.936        160.360        134.612       1335.919         398.305              0.268              0.285              0.290              0.292              0.293              0.295              0.299              0.300              0.300              0.300        500.166        112.166          0.035          0.035                 0.384                 0.355                 0.400             29       5804.313      14204.412          2.574         14.031       1700.000        179.090              2.520              0.449              0.225              0.174              0.090              0.052              0.045              0.045              0.096              0.423        223.027         36.888              ?              ?              ?
