Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
      year       day       DAS tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n        tleaf_n         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
    (year)     (day)    (days)             ()             ()      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)            (?)        (g/m^2)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)            (%)            (%)            (%)
      1999       354         0          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.081              0.086              0.138              0.195              0.236              0.265              0.273              0.290              0.303              0.302              4.260              3.560              2.764              3.065              3.101              3.303              5.201              4.260              3.270              2.865              2.300              2.384          0.000          0.000          0.000
      1999       355         0          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.080              0.086              0.138              0.195              0.236              0.265              0.273              0.290              0.302              0.302              4.260              3.560              2.767              3.193              3.411              3.643              5.201              4.260              3.270              2.736              1.992              2.040          0.000          0.000          0.000
      1999       356         1          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.080              0.086              0.139              0.195              0.236              0.264              0.273              0.290              0.302              0.302              4.260              3.560              2.771              3.316              3.688              3.941              5.201              4.260              3.270              2.613              1.716              1.738          0.000          0.000          0.000
      1999       357         2          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.080              0.086              0.139              0.195              0.236              0.264              0.274              0.290              0.301              0.302              4.260              3.560              2.775              3.433              3.936              4.204              5.201              4.260              3.270              2.496              1.469              1.472          0.000          0.000          0.000
      1999       358         3          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.080              0.086              0.139              0.195              0.236              0.264              0.274              0.290              0.301              0.302              4.260              3.560              2.780              3.546              4.155              4.430              5.201              4.260              3.270              2.384              1.252              1.242          0.000          0.000          0.000
      1999       359         4          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.080              0.086              0.139              0.195              0.236              0.264              0.274              0.290              0.301              0.303              4.260              3.560              2.784              3.653              4.341              4.620              5.201              4.260              3.270              2.278              1.067              1.048          0.000          0.000          0.000
      1999       360         5          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.080              0.086              0.140              0.195              0.237              0.264              0.274              0.290              0.301              0.303              4.260              3.560              2.788              3.756              4.496              4.778              5.201              4.260              3.270              2.175              0.913              0.887          0.000          0.000          0.000
      1999       361         6          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.094              0.086              0.140              0.195              0.237              0.263              0.274              0.290              0.300              0.303              4.260              3.560              2.793              3.854              4.628              4.909              5.201              4.260              3.270              2.078              0.783              0.752          0.000          0.000          0.000
      1999       362         7          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000              ?          0.000         -0.000              0.087              0.086              0.140              0.195              0.237              0.263              0.274              0.290              0.300              0.303              4.260              3.560              2.797              3.948              4.742              5.020              5.201              4.260              3.270              1.985              0.671              0.637          0.000          0.000          0.000
