APSIM output file, version = 5.4
Title = site=coonamble; soil=lg1; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          9.978        260.706         21.140
     31/12/1958           1958       5057.727        272.780          5.389          0.000          0.000          0.000          0.000          0.000          0.000       1379.456       9967.990          0.000         642.900         48.409        411.431         86.098
     31/12/1959           1959          0.000          0.000          0.000          0.000          0.000          0.000         91.873        131.635          2.655       8355.162       9819.845          0.000         685.200         72.309        216.183        179.150
     31/12/1960           1960          0.000          0.000          0.000          0.000          0.000          0.000       3023.833         61.917          2.430       7100.215       9288.639          0.000         399.100          0.457        294.937          0.003
     31/12/1961           1961       1935.236        172.672          3.125          0.000          0.000          0.000          0.000          0.000          0.000       3932.998       7495.067          0.000         445.200          0.068        349.651          0.000
     31/12/1962           1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         16.049          2.101       3041.331       6165.840          0.000         641.300          0.464        445.221         10.451
     31/12/1963           1963          0.000          0.000          0.000          0.000          0.000          0.000       3478.375        101.414          2.092       1598.814       3904.578          0.000         555.600          8.429        406.973         70.910
     31/12/1964           1964       3839.978        214.823          3.965          0.000          0.000          0.000          0.000          0.000          0.000        978.017       7303.100          0.000         449.100          1.130        368.682         40.991
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.486          0.493       6398.248       6871.681          0.000         342.700          3.985        212.105          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000       2742.406        132.607          2.839       4638.703       6717.979          0.000         374.800          0.000        337.428          0.000
     31/12/1967           1967       1654.174        141.373          2.749          0.000          0.000          0.000          0.000          0.000          0.000       2334.557       5809.330          0.000         327.800          0.285        245.737          0.000
     31/12/1968           1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2728.781       5594.413          0.000         519.800          7.703        358.977          0.000
     31/12/1969           1969          0.000          0.000          0.000          0.000          0.000          0.000       3050.363        157.095          2.494       1088.920       4057.167          0.000         671.000          9.129        517.423          0.000
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         28.746        103.167          0.000         601.600         14.585        477.447          8.095
     31/12/1971           1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         76.086          2.926          2.223          5.247          0.000         617.500         28.063        449.442        148.040
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000       5364.275        143.125          2.940       2550.650       4737.406          0.000         467.300          0.777        366.692          0.002
     31/12/1973           1973       5492.296        300.367          4.911          0.000          0.000          0.000          0.000          0.000          0.000       1206.934       9092.036          0.000         873.600         44.332        455.154         69.102
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         74.604          2.380       4709.949       8047.094          0.000         593.200         43.459        338.297        120.145
     31/12/1975           1975          0.000          0.000          0.000          0.000          0.000          0.000       3454.268         81.673          2.294       2833.359       5122.807          0.000         485.500          0.028        365.488          0.053
     31/12/1976           1976       2970.764        203.045          3.635          0.000          0.000          0.000          0.000          0.000          0.000        953.385       7152.290          0.000         624.200         26.563        422.775        111.293
     31/12/1977           1977          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       4821.269       6595.944          0.000         498.800         19.851        290.116         26.556
     31/12/1978           1978          0.000          0.000          0.000          0.000          0.000          0.000       4050.762        180.895          2.799       3358.251       5275.809          0.000         738.800         15.429        420.765         10.195
     31/12/1979           1979       2127.109        184.287          2.403          0.000          0.000          0.000          0.000          0.000          0.000       1558.335       6343.454          0.000         325.400          0.000        332.132         71.858
     31/12/1980           1980          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.403          0.544       3773.077       5969.830          0.000         533.300         32.788        314.955          0.000
     31/12/1981           1981          0.000          0.000          0.000          0.000          0.000          0.000       2988.112        155.572          2.715       2746.945       5104.760          0.000         500.600          3.275        361.219          0.000
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        275.812        789.193          0.000         368.300         10.740        292.676         68.682
     31/12/1983           1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000         71.775          2.506         43.911        124.777          0.000         734.100         25.338        547.287        117.438
     31/12/1984           1984          0.000          0.000          0.000          0.000          0.000          0.000       4779.051        117.925          2.411       2454.757       5217.209          0.000         737.300         20.328        441.443        119.692
     31/12/1985           1985       4134.847        247.918          4.575          0.000          0.000          0.000          0.000          0.000          0.000       1421.115       8285.733          0.000         490.100          0.533        332.223         10.478
     31/12/1986           1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000         49.270          2.117       4858.097       6836.708          0.000         352.400          0.000        325.529          0.000
     31/12/1987           1987          0.000          0.000          0.000          0.000          0.000          0.000       1841.996         84.506          2.522       3831.179       5454.235          0.000         439.300          0.000        375.575          0.000
     31/12/1988           1988       2113.131        133.197          2.972          0.000          0.000          0.000          0.000          0.000          0.000       1318.430       4905.061          0.000         537.400          0.336        416.886          0.000
     31/12/1989           1989          0.000          0.000          0.000          0.000          0.000          0.000          0.000         96.904          2.713       1390.612       3654.423          0.000         513.600          3.157        408.728          0.000
     31/12/1990           1990          0.000          0.000          0.000          0.000          0.000          0.000       2704.531         64.573          2.584       1146.875       4047.743          0.000         487.500         13.934        339.310          0.000
     31/12/1991           1991       1955.694        164.072          3.536          0.000          0.000          0.000          0.000          0.000          0.000        912.088       6133.502          0.000         469.000          6.753        351.760          0.000
     31/12/1992           1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000         79.762          3.077       2887.840       4482.632          0.000         475.200          0.004        395.611          0.000
     31/12/1993           1993          0.000          0.000          0.000          0.000          0.000          0.000       2870.632         86.566          3.028       2578.488       4908.010          0.000         589.200          0.000        493.495          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        155.106        420.356          0.000         357.300          8.946        307.119          0.000
     31/12/1995           1995          0.000          0.000          0.000          0.000          0.000          0.000          0.000         48.907          2.089         17.558         46.472          0.000         584.200        101.060        384.888          0.000
     31/12/1996           1996          0.000          0.000          0.000          0.000          0.000          0.000       4095.081        157.624          2.837       1696.752       4649.507          0.000         545.700          0.513        442.649          2.520
     31/12/1997           1997       2337.099        138.536          2.451          0.000          0.000          0.000          0.000          0.000          0.000        708.776       4585.616          0.000         496.600          5.412        374.621          0.000
     31/12/1998           1998          0.000          0.000          0.000          0.000          0.000          0.000          0.000        118.316          2.782       1386.243       3659.067          0.000         812.200         39.817        506.322        136.605
     31/12/1999           1999          0.000          0.000          0.000          0.000          0.000          0.000       2832.461         69.467          2.659       1822.565       4803.010          0.000         592.800          6.592        461.882          2.955
     31/12/2000           2000       2933.603        186.713          3.151          0.000          0.000          0.000          0.000          0.000          0.000        655.340       5141.362          0.000         738.900         46.990        419.318         30.712
     31/12/2001           2001          0.000          0.000          0.000          0.000          0.000          0.000          0.000        124.617          2.987       1900.222       3898.710          0.000         447.500          0.018        396.509         26.185
     31/12/2002           2002          0.000          0.000          0.000          0.000          0.000          0.000       3283.041         80.265          2.847       2850.499       5149.821          0.000         206.600          0.000        217.262          0.941
