Summary_file = output\goondiwindi_cd2_200_LongFallow1_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          0.606        468.079         21.882
     31/12/1958      1958       2672.479        147.519          3.337          0.000          0.000          0.000          0.000          0.000          0.000        455.833       5284.717          0.000         662.400         18.985        512.138         89.817
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000         49.366          2.796        101.138        906.409          0.000         654.400         29.137        469.957         30.746
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2227.474         69.889          2.833        403.854       2596.066          0.000         450.100          0.000        446.146          0.000
     31/12/1961      1961       1442.832         87.369          1.751          0.000          0.000          0.000          0.000          0.000          0.000         98.754       2277.520          0.000         745.300          7.344        524.902          8.522
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         22.330        350.286          0.000         871.900         97.545        520.613        232.321
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       2616.046        119.600          2.657        634.826       2294.962          0.000         577.700          5.656        442.847         36.672
     31/12/1964      1964       4199.538        196.538          4.191          0.000          0.000          0.000          0.000          0.000          0.000        599.212       6108.674          0.000         650.500          2.517        489.710         64.378
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.407          0.150       1341.105       2550.917          0.000         402.800          1.757        347.975          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000        987.780         67.184          2.123        311.507       1728.109          0.000         572.500          6.278        450.676          5.462
     31/12/1967      1967       1960.277        143.890          5.831          0.000          0.000          0.000          0.000          0.000          0.000        952.019       6154.207          0.000         385.700         10.591        289.141         45.957
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.895          0.286        243.928       3134.330          0.000         561.600          6.657        455.907          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       1430.137         92.509          2.268        422.724       2036.254          0.000         621.900         29.051        441.738         36.323
