Summary_file = output\goondiwindi_lg1_200_LongFallow1_deep_AvgWindow.sum
Title = site=goondiwindi; soil=lg1; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          1.390        458.739         31.350
     31/12/1958           1958       5008.476        239.640          4.120          0.000          0.000          0.000          0.000          0.000          0.000       1073.279       7410.207          0.000         662.400         27.470        466.944         90.290
     31/12/1959           1959          0.000          0.000          0.000          0.000          0.000          0.000        579.163        134.756          2.873       4926.153       6554.950          0.000         654.400         28.580        378.409         48.937
     31/12/1960           1960          0.000          0.000          0.000          0.000          0.000          0.000       3674.489         52.406          2.480       2848.551       5145.164          0.000         450.100          0.000        435.310          3.742
     31/12/1961           1961       3096.486        182.265          6.269          0.000          0.000          0.000          0.000          0.000          0.000        757.346       6297.005          0.000         745.300          9.779        445.135          0.000
     31/12/1962           1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         50.334        824.969          0.000         871.900        104.317        507.631        185.339
     31/12/1963           1963          0.000          0.000          0.000          0.000          0.000          0.000       3559.291        175.445          2.898        781.073       3747.533          0.000         577.700          5.775        436.834         12.942
     31/12/1964           1964       5363.829        291.125          5.460          0.000          0.000          0.000          0.000          0.000          0.000       1179.423       9181.564          0.000         650.500          4.266        457.634         44.923
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.991          0.263       4255.699       6068.416          0.000         402.800          0.307        329.922          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000       1666.551        111.220          2.573        784.951       3609.202          0.000         572.500          8.446        438.434          0.000
     31/12/1967           1967       3424.375        217.941          5.722          0.000          0.000          0.000          0.000          0.000          0.000       1284.343       7837.756          0.000         385.700         13.948        282.640          0.000
     31/12/1968           1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.552          0.272        912.089       5740.068          0.000         561.600          8.120        430.531          0.000
     31/12/1969           1969          0.000          0.000          0.000          0.000          0.000          0.000       1632.728        128.048          2.430        761.463       3158.592          0.000         621.900         33.799        429.916          0.000
     31/12/1970           1970       4706.022        279.785          4.376          0.000          0.000          0.000          0.000          0.000          0.000        970.341       8553.915          0.000         743.300         13.364        412.865          0.000
     31/12/1971           1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.089          1.251        334.028       3653.109          0.000         668.800         16.999        504.173         94.853
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000       4772.188        188.698          2.996       1566.020       4470.469          0.000         501.100          0.263        421.969          0.434
     31/12/1973           1973       3912.048        209.530          3.633          0.000          0.000          0.000          0.000          0.000          0.000        461.847       5419.566          0.000         727.500         26.255        534.719          6.649
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         53.109          2.542        181.586       1040.752          0.000         509.100         19.709        427.885          0.000
     31/12/1975           1975          0.000          0.000          0.000          0.000          0.000          0.000       2037.298         73.105          2.670        409.504       3276.848          0.000         692.900         16.500        485.827          0.000
     31/12/1976           1976       5435.667        256.460          6.805          0.000          0.000          0.000          0.000          0.000          0.000       1094.558       8543.603          0.000         817.500        103.654        457.707        130.557
     31/12/1977           1977          0.000          0.000          0.000          0.000          0.000          0.000        526.616        126.140          2.702       1311.857       5739.734          0.000         614.500          2.740        446.683         13.922
     31/12/1978           1978          0.000          0.000          0.000          0.000          0.000          0.000       3484.019         47.464          2.349        605.138       3936.864          0.000         799.100         20.299        550.392         39.825
     31/12/1979           1979       3944.287        228.754          3.741          0.000          0.000          0.000          0.000          0.000          0.000        626.500       6765.683          0.000         488.600          2.882        365.143         38.848
     31/12/1980           1980          0.000          0.000          0.000          0.000          0.000          0.000        603.370         91.868          2.787       1267.087       3321.478          0.000         387.700          0.000        339.795          0.000
     31/12/1981           1981          0.000          0.000          0.000          0.000          0.000          0.000       2860.832         35.448          2.389        864.430       3931.950          0.000         664.100         27.493        469.310          0.000
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.413         40.082          0.000         518.300         16.834        416.416         30.464
