Summary_file = fieldN113.sum
Title = north plots field
      year     month       day day_month        W_swdef        W_nfact   W_root_depth          W_lai          W_sla      W_biomass      W_root_wt      W_leaf_wt     W_dleaf_wt      W_stem_wt      stover_wt     W_grain_wt    W_biomass_n       W_root_n       W_leaf_n      W_dleaf_n       W_stem_n     W_stover_n      W_grain_n W_flowering W_maturity        W_zadok     W_gbiomass   W_gbiomass_n        L_swdef        L_nfact   L_root_depth          L_lai       L_height      L_biomass     L_gbiomass    L_biomass_n   L_gbiomass_n      L_root_wt       L_root_n  L_dlt_n_fixed        C_swdef        C_nfact   C_root_depth          C_lai          C_pai      C_biomass      C_root_wt      C_leaf_wt      C_stem_wt       C_pod_wt     C_grain_wt    C_biomass_n       C_root_n       C_leaf_n       C_stem_n        C_pod_n      C_grain_n C_flowering C_maturity        C_stage     C_gbiomass   C_gbiomass_n        P_swdef        P_nfact   P_root_depth          P_lai          P_pai      P_biomass      P_root_wt      P_leaf_wt      P_stem_wt       P_pod_wt     P_grain_wt    P_biomass_n       P_root_n       P_leaf_n       P_stem_n        P_pod_n      P_grain_n P_flowering P_maturity        P_stage     P_gbiomass   P_gbiomass_n  P_dlt_n_fixed
    (year)   (month)     (day)     (day)             ()             ()           (mm)      (m^2/m^2)            (?)        (g/m^2)        (g/m^2)        (g/m^2)            (?)        (g/m^2)            (?)        (g/m^2)        (g/m^2)            (?)            (?)            (?)        (g/m^2)            (?)        (g/m^2)       (doy)      (doy)            (?)        (g/m^2)        (g/m^2)             ()             ()           (mm)      (m^2/m^2)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()             ()           (mm)      (m^2/m^2)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (doy)      (doy)             ()        (g/m^2)        (g/m^2)             ()             ()           (mm)      (m^2/m^2)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (doy)      (doy)             ()        (g/m^2)        (g/m^2)        (g/m^2)
      1992        12       363        28          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         1        12        12          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         1        27        27          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         2        42        11          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         2        57        26          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         3        62         3          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         3        77        18          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         3        90        31          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         4        91         1          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
      1993         4       104        14          0.000          0.000          0.000          0.000              ?          0.000          0.000          0.000              ?          0.000              ?          0.000          0.000              ?              ?              ?          0.000              ?          0.000           0          0              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0          0         12.000          0.000          0.000          0.000
