Summary_file = lysS113.sum
Title = south lysimeter
year,month,day,day_month,period,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),sw(11),sw(12),sw(13),sw(14),sw(15),sw(16),sw(17),sw(18),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3(11),no3(12),no3(13),no3(14),no3(15),nh4(1),nh4(2),nh4(3),nh4(4),nh4(5),nh4(6),nh4(7),nh4(8),nh4(9),nh4(10),nh4(11),nh4(12),nh4(13),nh4(14),nh4(15),no3_025,no3_2590,nh4_025,nh4_2590,sw_dep_025,sw_dep_2590,sw_dep_90180,no3_030,no3_3080,nh4_030,nh4_3080,sw_dep_030,sw_dep_3080,rain,T,ET,swdep(1),swdep(2),swdep(3),swdep(4),swdep(5),swdep(6),swdep(7),swdep(8),swdep(9),swdep(10),swdep(11),swdep(12),swdep(13),swdep(14),swdep(15),swdep(16),swdep(17),swdep(18),es,runoff,drain,eo,h,drain_25,drain_90,drain_180,cum_rain,cum_ET,cum_E,cum_T,cdrain_25,cdrain_90,cdrain180,cum_drain,no3(),nh4(),nit_tot(),leach_no3,cleach_25,cleach_90,urea(),biom_n(),fom_n(),hum_n(),sum@soiln2_dnit[],sum@soiln2_dlt_n_min[],residue_n,residue_wt,residue_cover,L_dlt_n_fixed,P_dlt_n_fixed,W_biomass_n,W_root_n,L_biomass_n,L_root_n,C_biomass_n,C_root_n,P_biomass_n,P_root_n,cum_nmin010,cum_nmin1020,cum_nmin2030,no3_010,nh4_010,fom_n_010,biom_n_010,hum_n_010,no3_sol_20,no3_sol_30,no3_sol_50,no3_sol_90,cumnetdrain120
(year),(month),(day),(day),(),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(),(),(),(),(),(),(),(),(),(),(),(mm),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(),(),(),(),(),(),(),(),(),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(m^2/m^2),(g/m^2),(g/m^2),(g/m^2),(?),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(),(),(),(),(),(),(),(),(ug/g),(ug/g),(ug/g),(ug/g),()
1992,12,363,28,     1.000,     0.090,     0.193,     0.218,     0.236,     0.248,     0.252,     0.213,     0.241,     0.258,     0.281,     0.295,     0.310,     0.324,     0.334,     0.334,     0.335,     0.336,     0.336,     0.036,     0.143,     0.227,     0.333,     0.748,     0.171,     0.199,     0.252,     0.586,     1.106,     1.316,     1.399,     1.618,     1.227,     0.818,     0.000,     0.047,     0.065,     0.090,     0.025,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     1.658,     2.801,     0.227,     0.000,    59.997,   138.821,   290.097,     1.758,     2.043,     0.227,     0.000,    70.666,   129.650,    44.000,     0.000,    26.501,     0.452,     1.933,     4.363,     9.449,    18.618,    25.182,    21.338,    24.079,    38.705,    56.197,    59.034,    62.004,    64.724,    50.089,    33.442,    25.134,    16.781,     8.406,    28.149,     0.000,     0.000,    61.021,     0.000,     0.272,    -0.469,     0.000,    44.000,    28.148,    28.148,     0.000,     0.334,    -0.503,     0.000,     0.000,    11.409,     0.232,  4720.811,     0.000,     0.005,    -0.010,     0.000,   132.683,    27.253,  4549.232,     0.010,    -6.118,     2.759,   482.910,     0.215,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.924,    -0.893,    -1.401,     0.988,     0.210,     5.609,    83.811,  1170.938,     3.528,     4.019,     0.933,     1.515,  -305.502
1993,1,12,12,     1.000,     0.059,     0.069,     0.152,     0.198,     0.221,     0.238,     0.216,     0.241,     0.258,     0.282,     0.296,     0.308,     0.322,     0.333,     0.334,     0.336,     0.336,     0.337,     0.062,     0.105,     0.361,     0.434,     0.196,     0.028,     0.022,     0.016,     0.021,     0.524,     0.897,     1.230,     1.613,     1.231,     0.820,     0.032,     0.049,     0.082,     0.275,     0.512,     0.020,     0.009,     0.004,     0.004,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     1.186,     1.031,     0.970,     0.017,    52.309,   137.845,   289.632,     1.197,     0.572,     0.975,     0.013,    63.088,   130.067,     0.000,     0.000,     7.383,     0.293,     0.687,     3.049,     7.907,    16.538,    23.835,    21.558,    24.116,    38.691,    56.481,    59.290,    61.665,    64.445,    50.018,    33.449,    25.172,    16.814,     8.424,     5.944,     0.000,     0.000,   103.482,     0.000,     0.317,    -0.474,     0.000,    44.000,    34.092,    34.092,     0.000,     0.597,    -0.970,     0.000,     0.000,     8.792,     0.991,  4717.827,     0.000,     0.005,    -0.025,     0.000,   139.956,    20.035,  4548.054,     0.007,     1.140,     2.759,   482.910,     0.215,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     3.400,    -0.608,    -1.471,     1.027,     0.609,     3.642,    83.989,  1170.265,     5.490,     1.183,     0.104,     0.054,  -304.202
1993,1,27,27,     1.000,     0.198,     0.208,     0.210,     0.194,     0.213,     0.234,     0.216,     0.242,     0.259,     0.283,     0.297,     0.308,     0.321,     0.333,     0.334,     0.336,     0.336,     0.337,     0.069,     0.129,     0.292,     0.609,     0.375,     0.032,     0.025,     0.018,     0.022,     0.357,     0.736,     1.163,     1.611,     1.235,     0.822,     0.019,     0.034,     0.090,     0.332,     0.970,     0.017,     0.007,     0.003,     0.004,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     1.506,     0.790,     1.462,     0.014,    54.396,   137.617,   289.260,     1.518,     0.410,     1.465,     0.011,    65.199,   130.390,    14.900,     0.000,    10.477,     0.988,     2.081,     4.195,     7.758,    15.991,    23.383,    21.606,    24.160,    38.786,    56.641,    59.363,    61.508,    64.275,    49.955,    33.430,    25.171,    16.815,     8.425,    12.325,     0.000,     0.000,    84.840,     0.000,     0.078,    -0.376,     0.000,    58.900,    46.418,    46.418,     0.000,     0.670,    -1.341,     0.000,     0.000,     8.725,     1.480,  4714.446,     0.000,     0.005,    -0.040,     0.000,   143.073,    14.763,  4546.405,     0.009,     4.344,     2.602,   455.424,     0.204,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     6.869,    -0.028,    -1.422,     1.224,     0.798,     2.374,    83.045,  1169.451,     7.846,     2.342,     0.115,     0.058,  -303.978
1993,2,42,11,     1.000,     0.066,     0.120,     0.189,     0.212,     0.227,     0.231,     0.216,     0.242,     0.259,     0.284,     0.297,     0.307,     0.321,     0.333,     0.334,     0.335,     0.336,     0.337,     0.068,     0.197,     0.435,     0.573,     0.432,     0.045,     0.031,     0.023,     0.038,     0.427,     0.748,     1.164,     1.611,     1.241,     0.825,     0.022,     0.060,     0.192,     0.445,     1.342,     0.035,     0.011,     0.005,     0.013,     0.017,     0.009,     0.003,     0.002,     0.001,     0.001,     1.750,     0.893,     2.096,     0.051,    53.913,   137.488,   288.960,     1.766,     0.503,     2.102,     0.041,    64.724,   130.645,    14.600,     0.000,    16.262,     0.328,     1.204,     3.783,     8.494,    17.031,    23.073,    21.621,    24.211,    38.884,    56.739,    59.398,    61.420,    64.164,    49.900,    33.402,    25.153,    16.803,     8.419,    14.643,     0.000,     0.000,   112.872,     0.000,     0.039,    -0.306,     0.000,    73.500,    61.061,    61.061,     0.000,     0.708,    -1.643,     0.000,     0.000,     9.085,     2.161,  4709.383,     0.000,     0.005,    -0.055,     0.000,   143.510,    10.214,  4544.414,     0.008,     6.420,     2.512,   439.567,     0.197,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    11.499,     0.719,    -1.352,     1.417,     1.166,     1.529,    80.563,  1168.405,     6.746,     2.538,     0.143,     0.098,  -303.747
1993,2,57,26,     1.000,     0.067,     0.138,     0.194,     0.215,     0.226,     0.228,     0.216,     0.243,     0.260,     0.284,     0.297,     0.307,     0.320,     0.332,     0.334,     0.335,     0.336,     0.336,     0.050,     0.170,     0.309,     0.426,     0.415,     0.083,     0.057,     0.023,     0.056,     0.574,     0.828,     1.193,     1.609,     1.245,     0.827,     0.000,     0.041,     0.163,     0.313,     1.118,     0.078,     0.033,     0.007,     0.030,     0.036,     0.020,     0.008,     0.002,     0.001,     0.001,     1.453,     1.124,     1.713,     0.116,    53.971,   137.424,   288.703,     1.482,     0.682,     1.730,     0.089,    64.788,   130.872,    12.200,     0.000,    11.863,     0.335,     1.381,     3.879,     8.593,    16.950,    22.833,    21.635,    24.279,    38.966,    56.810,    59.423,    61.366,    64.083,    49.849,    33.370,    25.128,    16.786,     8.410,    11.920,     0.000,     0.000,    78.897,     0.000,     0.025,    -0.257,     0.000,    85.700,    72.980,    72.980,     0.000,     0.732,    -1.898,     0.000,     0.000,     9.092,     1.851,  4703.827,     0.000,     0.005,    -0.066,     0.000,   142.287,     7.745,  4542.852,     0.006,     5.440,     2.460,   430.529,     0.194,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    15.014,     1.384,    -1.176,     1.093,     0.890,     1.167,    78.381,  1167.582,     4.956,     2.451,     0.263,     0.144,  -303.730
1993,3,62,3,     1.000,     0.061,     0.081,     0.175,     0.205,     0.222,     0.228,     0.216,     0.243,     0.260,     0.284,     0.297,     0.307,     0.320,     0.332,     0.334,     0.335,     0.336,     0.336,     0.062,     0.120,     0.350,     0.429,     0.382,     0.086,     0.062,     0.028,     0.059,     0.632,     0.860,     1.206,     1.609,     1.246,     0.828,     0.017,     0.045,     0.142,     0.300,     1.044,     0.088,     0.040,     0.011,     0.034,     0.039,     0.022,     0.009,     0.002,     0.001,     0.001,     1.429,     1.211,     1.636,     0.135,    52.198,   137.415,   288.627,     1.460,     0.750,     1.656,     0.104,    63.017,   130.943,     0.400,     0.000,     2.336,     0.305,     0.808,     3.509,     8.192,    16.616,    22.768,    21.639,    24.303,    38.990,    56.830,    59.430,    61.352,    64.061,    49.833,    33.359,    25.120,    16.780,     8.407,     2.125,     0.000,     0.000,    21.499,     0.000,     0.005,    -0.079,     0.000,    86.100,    75.105,    75.105,     0.000,     0.737,    -1.976,     0.000,     0.000,     9.184,     1.797,  4702.287,     0.000,     0.005,    -0.068,     0.000,   141.721,     7.185,  4542.399,     0.002,     1.582,     2.460,   430.529,     0.194,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    15.940,     1.587,    -1.100,     1.088,     0.852,     1.099,    77.756,  1167.351,     5.240,     2.298,     0.288,     0.151,  -303.747
1993,3,77,18,     1.000,     0.070,     0.162,     0.203,     0.224,     0.239,     0.250,     0.258,     0.280,     0.270,     0.286,     0.298,     0.307,     0.320,     0.332,     0.333,     0.335,     0.335,     0.336,     0.048,     0.196,     0.321,     0.357,     0.264,     0.098,     0.060,     0.042,     0.079,     0.844,     0.979,     1.254,     1.609,     1.250,     0.830,     0.051,     0.078,     0.166,     0.303,     0.880,     0.136,     0.060,     0.024,     0.042,     0.046,     0.026,     0.011,     0.002,     0.001,     0.001,     1.284,     1.515,     1.614,     0.185,    57.854,   148.986,   288.449,     1.314,     0.995,     1.644,     0.142,    70.747,   138.627,    45.000,     0.000,    29.314,     0.348,     1.625,     4.062,     8.946,    17.905,    24.968,    25.786,    27.979,    40.492,    57.263,    59.521,    61.323,    64.002,    49.787,    33.326,    25.093,    16.761,     8.397,    29.609,     0.000,     0.000,    70.542,     0.000,     9.672,    -0.190,     0.000,   131.100,   104.714,   104.714,     0.000,    10.386,    -2.152,     0.000,     0.000,     9.458,     1.829,  4697.804,     0.000,     0.108,    -0.076,     0.000,   139.751,     5.742,  4541.024,     0.025,     5.251,     2.326,   406.977,     0.184,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    19.071,     2.184,    -0.836,     1.010,     0.891,     0.893,    75.916,  1166.644,     3.989,     1.475,     0.234,     0.196,  -303.832
1993,3,90,31,     1.000,     0.068,     0.145,     0.196,     0.216,     0.231,     0.242,     0.250,     0.272,     0.271,     0.290,     0.300,     0.307,     0.320,     0.332,     0.333,     0.334,     0.335,     0.336,     0.122,     0.413,     0.871,     1.371,     1.320,     0.427,     0.246,     0.146,     0.242,     1.040,     1.100,     1.302,     1.610,     1.253,     0.832,     0.000,     0.009,     0.158,     0.290,     0.854,     0.114,     0.058,     0.030,     0.047,     0.053,     0.029,     0.013,     0.002,     0.001,     0.001,     4.524,     2.224,     1.425,     0.203,    55.868,   147.087,   288.634,     4.647,     1.551,     1.454,     0.159,    68.356,   138.416,    14.200,     0.000,    16.438,     0.339,     1.448,     3.916,     8.659,    17.291,    24.215,    24.976,    27.178,    40.695,    58.055,    60.045,    61.386,    63.969,    49.751,    33.299,    25.071,    16.746,     8.389,    16.354,     0.000,     0.000,    49.540,     0.000,    -0.182,     0.160,     0.000,   145.300,   121.068,   121.068,     0.000,    10.217,    -1.969,     0.000,     0.000,    13.522,     1.659,  4697.475,     0.000,     0.111,    -0.073,     0.000,   137.638,     4.883,  4539.772,     0.003,     4.736,     2.933,   484.206,     0.207,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    21.787,     2.733,    -0.563,     3.217,     0.742,     0.816,    74.294,  1165.998,    15.838,     7.633,     0.986,     0.594,  -303.971
1993,4,91,1,     1.000,     0.067,     0.131,     0.192,     0.214,     0.229,     0.242,     0.249,     0.271,     0.271,     0.290,     0.300,     0.307,     0.320,     0.332,     0.333,     0.334,     0.335,     0.336,     0.132,     0.405,     0.915,     1.420,     1.399,     0.453,     0.259,     0.154,     0.253,     1.052,     1.108,     1.305,     1.610,     1.253,     0.832,     0.000,     0.005,     0.133,     0.289,     0.832,     0.109,     0.056,     0.030,     0.048,     0.054,     0.030,     0.013,     0.002,     0.001,     0.001,     4.724,     2.272,     1.368,     0.203,    55.437,   146.984,   288.652,     4.853,     1.589,     1.396,     0.160,    67.906,   138.387,     0.000,     0.000,     0.494,     0.333,     1.305,     3.837,     8.573,    17.212,    24.177,    24.937,    27.139,    40.689,    58.090,    60.083,    61.397,    63.968,    49.748,    33.297,    25.069,    16.744,     8.388,     0.438,     0.000,     0.000,     3.091,     0.000,    -0.009,     0.021,     0.000,   145.300,   121.506,   121.506,     0.000,    10.208,    -1.948,     0.000,     0.000,    13.779,     1.604,  4697.496,     0.000,     0.112,    -0.072,     0.000,   137.581,     4.827,  4539.705,     0.000,     0.246,     2.913,   480.800,     0.206,     0.000,     0.000,     0.000,?,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    21.920,     2.763,    -0.548,     3.338,     0.704,     0.809,    74.255,  1165.967,    16.561,     8.129,     1.040,     0.622,  -303.978
