Summary_file = navybean.sum
Title = 
           date            das          stage            lai        biomass          grain      biomass_n        grain_n      rootdepth            cep       ws_pheno       ws_photo       ws_expan       Ns_pheno       Ns_photo       Ns_expan    n_conc_root    n_conc_leaf    n_conc_stem    n_conc_meal     dm_green()        dm_green(1)        dm_green(2)        dm_green(3)        dm_green(4)        dm_green(5)        dm_green(6)      p_green()         p_green(1)         p_green(2)         p_green(3)         p_green(4)         p_green(5)         p_green(6)        p_sen()           p_sen(1)           p_sen(2)           p_sen(3)           p_sen(4)           p_sen(5)           p_sen(6)       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p     deadleaf_p          pod_p         head_p   p_senesced()       p_dead()  dlt_p_green() dlt_p_retrans() dlt_p_detached()   dlt_p_dead()    dlt_p_sen()  p_conc_stover    p_conc_leaf    p_conc_stem   p_conc_grain p_uptake_stover grain_p_demand    surfaceom_p            esw           sw()             es         runoff          drain          no3()          nh4() uptake_p_navybean()       fom_cp()  fom_p_pool3()  fom_p_pool2()  fom_p_pool1()        fom_p()        hum_p()       biom_p()  soil_test_p()       rock_p()    unavail_p()     labile_p() P_below_ground P_above_ground        systemP cum_error_systemP    dlt_systemP        P_plant   P_pl_up_diff  dlt_residue_P below_gnd_diff            esw           sw()             es         runoff          drain          no3()          nh4() uptake_p_navybean()       fom_cp()  fom_p_pool3()  fom_p_pool2()  fom_p_pool1()        fom_p()        hum_p()       biom_p()  soil_test_p()       rock_p()    unavail_p()     labile_p() P_below_ground P_above_ground        systemP cum_error_systemP    dlt_systemP        P_plant   P_pl_up_diff  dlt_residue_P below_gnd_diff
             ()            (d)             ()      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)             ()             ()             ()             ()             ()             ()            (%)            (%)            (%)            (%)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)          (g/m^2)        (g/m^2)        (g/m^2)            (%)            (%)            (%)            (%)             (%)        (g/m^2)        (kg/ha)           (mm)        (mm/mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)             (kg/ha)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()                ()             ()             ()             ()             ()             ()           (mm)        (mm/mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)             (kg/ha)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()                ()             ()             ()             ()             ()             ()
     01/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.943        262.645          2.367          4.650          0.000          0.000         11.949         12.854               0.000       1400.000          0.398          2.715          0.703          3.816       2432.874         19.663         27.952          0.000        279.300         27.952       2763.605          0.943       2764.548             0.000       2764.548          0.000          0.000          0.000       2763.605        262.645          2.367          4.650          0.000          0.000         11.949         12.854               0.000       1400.000          0.398          2.715          0.703          3.816       2432.874         19.663         27.952          0.000        279.300         27.952       2763.605          0.943       2764.548             0.000       2764.548          0.000          0.000          0.000       2763.605
     02/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.907        258.166          2.336          4.479          0.000          0.000         15.447          8.681               0.000       1400.000          0.395          2.628          0.613          3.637       2432.846         19.870         27.988          0.000        279.300         27.988       2763.641          0.907       2764.548             0.000          0.000          0.000          0.000         -0.036          0.036        258.166          2.336          4.479          0.000          0.000         15.447          8.681               0.000       1400.000          0.395          2.628          0.613          3.637       2432.846         19.870         27.988          0.000        279.300         27.988       2763.641          0.907       2764.548             0.000          0.000          0.000          0.000         -0.036          0.036
     03/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.885        256.600          2.326          1.566          0.000          0.000         17.886          5.740               0.000       1400.000          0.393          2.540          0.531          3.463       2432.815         20.051         28.034          0.000        279.300         28.034       2763.664          0.885       2764.548             0.000          0.000          0.000          0.000         -0.023          0.022        256.600          2.326          1.566          0.000          0.000         17.886          5.740               0.000       1400.000          0.393          2.540          0.531          3.463       2432.815         20.051         28.034          0.000        279.300         28.034       2763.664          0.885       2764.548             0.000          0.000          0.000          0.000         -0.023          0.022
     04/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        255.439          2.319          1.161          0.000          0.000         19.647          3.664               0.000       1400.000          0.390          2.445          0.451          3.286       2432.778         20.208         28.095          0.000        279.301         28.095       2763.667          0.881       2764.548            -0.000         -0.000          0.000          0.000         -0.004          0.004        255.439          2.319          1.161          0.000          0.000         19.647          3.664               0.000       1400.000          0.390          2.445          0.451          3.286       2432.778         20.208         28.095          0.000        279.301         28.095       2763.667          0.881       2764.548            -0.000         -0.000          0.000          0.000         -0.004          0.004
     05/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        254.473          2.312          0.966          0.000          0.000         20.834          2.266               0.000       1400.000          0.387          2.346          0.379          3.112       2432.736         20.351         28.166          0.000        279.302         28.166       2763.667          0.881       2764.548            -0.000          0.000          0.000          0.000          0.000          0.000        254.473          2.312          0.966          0.000          0.000         20.834          2.266               0.000       1400.000          0.387          2.346          0.379          3.112       2432.736         20.351         28.166          0.000        279.302         28.166       2763.667          0.881       2764.548            -0.000          0.000          0.000          0.000          0.000          0.000
     06/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        253.628          2.307          0.845          0.000          0.000         21.604          1.368               0.000       1400.000          0.384          2.246          0.314          2.944       2432.692         20.484         28.244          0.000        279.304         28.244       2763.668          0.881       2764.548             0.000          0.000          0.000          0.000          0.000          0.000        253.628          2.307          0.845          0.000          0.000         21.604          1.368               0.000       1400.000          0.384          2.246          0.314          2.944       2432.692         20.484         28.244          0.000        279.304         28.244       2763.668          0.881       2764.548             0.000          0.000          0.000          0.000          0.000          0.000
     07/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        252.867          2.302          0.761          0.000          0.000         22.083          0.855               0.000       1400.000          0.381          2.146          0.259          2.786       2432.646         20.601         28.329          0.000        279.306         28.329       2763.668          0.881       2764.548             0.000          0.000          0.000          0.000          0.000          0.000        252.867          2.302          0.761          0.000          0.000         22.083          0.855               0.000       1400.000          0.381          2.146          0.259          2.786       2432.646         20.601         28.329          0.000        279.306         28.329       2763.668          0.881       2764.548             0.000          0.000          0.000          0.000          0.000          0.000
     08/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.831        266.883          2.389          5.983          0.000          0.000         22.167          0.468               0.000       1400.000          0.377          2.048          0.212          2.637       2432.602         20.765         28.404          0.000        279.309         28.404       2763.718          0.831       2764.548            -0.000         -0.000          0.000          0.000         -0.050          0.050        266.883          2.389          5.983          0.000          0.000         22.167          0.468               0.000       1400.000          0.377          2.048          0.212          2.637       2432.602         20.765         28.404          0.000        279.309         28.404       2763.718          0.831       2764.548            -0.000         -0.000          0.000          0.000         -0.050          0.050
     09/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.794        264.267          2.368          3.816          0.000          0.000         22.198          0.308               0.000       1400.000          0.374          1.956          0.174          2.504       2432.557         20.896         28.485          0.000        279.312         28.485       2763.754          0.794       2764.548            -0.000          0.000          0.000          0.000         -0.037          0.037        264.267          2.368          3.816          0.000          0.000         22.198          0.308               0.000       1400.000          0.374          1.956          0.174          2.504       2432.557         20.896         28.485          0.000        279.312         28.485       2763.754          0.794       2764.548            -0.000          0.000          0.000          0.000         -0.037          0.037
     10/01/1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          1.000          1.000          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.771        262.507          2.354          1.760          0.000          0.000         22.290          0.256               0.000       1400.000          0.371          1.869          0.143          2.383       2432.511         20.994         28.572          0.000        279.316         28.572       2763.777          0.771       2764.548             0.000          0.000          0.000          0.000         -0.022          0.022        262.507          2.354          1.760          0.000          0.000         22.290          0.256               0.000       1400.000          0.371          1.869          0.143          2.383       2432.511         20.994         28.572          0.000        279.316         28.572       2763.777          0.771       2764.548             0.000          0.000          0.000          0.000         -0.022          0.022
