APSIM output file, version = 5.4
Title = stock lablab SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep         height         dlt_dm   dlt_dm_green    RootGreenWt    StemGreenWt    LeafGreenWt dlt_dm_senesced StemSenescedWt LeafSenescedWt dm_feed_on_offer() dm_feed_removed() herbage_trampling
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)                (?)               (?)               (?)
     01/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     02/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     03/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     04/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     05/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     06/10/1988          0.000              1          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     07/10/1988          0.000              2          2.000          0.000          0.000          0.000        110.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     08/10/1988          0.000              3          2.170          0.000          0.000          0.000        120.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     09/10/1988          0.000              4          2.265          0.000          0.000          0.000        130.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
     10/10/1988          0.000              5          2.340          0.000          0.000          0.000        140.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.000              0.000             0.000             0.000
