Summary_file = 
Title = stock lablab SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep         height         dlt_dm dlt_dm_green(1) dlt_dm_green(2) dlt_dm_green(3) dlt_dm_green(4) dlt_dm_green(5) dlt_dm_green(6)  dm_green_root  dm_green_stem  dm_green_leaf dlt_dm_senesced(1) dlt_dm_senesced(2) dlt_dm_senesced(3) dlt_dm_senesced(4) dlt_dm_senesced(5) dlt_dm_senesced(6)    dm_sen_stem    dm_sen_leaf      dm_dead() dm_feed_on_offer() dm_feed_removed() herbage_trampling
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)        (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)                 ()                ()                ()
     01/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     02/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     03/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     04/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     05/10/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     06/10/1988          0.000              1          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     07/10/1988          0.000              2          2.000          0.000          0.000          0.000        110.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     08/10/1988          0.000              3          2.170          0.000          0.000          0.000        120.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     09/10/1988          0.000              4          2.265          0.000          0.000          0.000        130.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     10/10/1988          0.000              5          2.340          0.000          0.000          0.000        140.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     11/10/1988          0.000              6          2.400          0.000          0.000          0.000        150.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     12/10/1988          0.000              7          2.485          0.000          0.000          0.000        160.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     13/10/1988          0.000              8          2.571          0.000          0.000          0.000        170.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     14/10/1988          0.000              9          2.660          0.000          0.000          0.000        180.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     15/10/1988          0.000             10          2.752          0.000          0.000          0.000        190.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     16/10/1988          0.000             11          2.832          0.000          0.000          0.000        200.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     17/10/1988          0.000             12          2.929          0.000          0.000          0.000        210.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     18/10/1988          0.000             13          2.997          0.000          0.000          0.000        220.000          0.000          0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000             0.000             0.000
     19/10/1988          0.000             14          3.000          0.035         70.000          0.000        230.000          0.000         32.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          1.990          4.000          3.000              0.010              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             70.000             0.000             0.000
     20/10/1988          0.000             15          3.043          0.051         75.638          0.000        250.000          0.388         32.000          0.564           0.564           0.451           0.113           0.000           0.000           0.000          2.541          4.113          3.451              0.013              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             75.638             0.000             0.000
     21/10/1988          0.000             16          3.063          0.073         83.573          0.000        270.000          0.599         32.902          0.794           0.794           0.635           0.159           0.000           0.000           0.000          3.318          4.271          4.086              0.017              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             83.573             0.000             0.000
     22/10/1988          0.000             17          3.087          0.104         94.633          0.000        290.000          0.704         34.172          1.106           1.106           0.885           0.221           0.000           0.000           0.000          4.402          4.493          4.971              0.022              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             94.633             0.000             0.000
     23/10/1988          0.000             18          3.115          0.138        106.910          0.000        310.000          0.452         35.941          1.228           1.228           0.982           0.246           0.000           0.000           0.000          5.601          4.738          5.953              0.028              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000            106.910             0.000             0.000
     24/10/1988          2.200             19          3.134          0.173        119.234          0.000        330.000          0.228         37.906          1.232           1.232           0.986           0.246           0.000           0.000           0.000          6.800          4.985          6.939              0.034              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000            119.234             0.000             0.000
     25/10/1988          0.400             20          3.156          0.232        140.337          0.000        350.000          0.803         39.878          2.110           2.110           1.688           0.422           0.000           0.000           0.000          8.865          5.407          8.627              0.045              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000            140.337             0.000             0.000
     26/10/1988          0.000             21          3.178          0.319        171.452          0.000        370.000          1.091         43.254          3.111           3.111           2.489           0.622           0.000           0.000           0.000         11.917          6.029         11.116              0.060              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000            171.452             0.000             0.000
     27/10/1988          0.000             22          3.203          0.444        216.020          0.000        390.000          1.920         48.232          4.457           4.457           3.565           0.891           0.000           0.000           0.000         16.292          6.920         14.682              0.082              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000            216.020             0.000             0.000
     28/10/1988          0.000             23          3.227          0.556        274.295          0.000        410.000          3.436         55.363          5.828           5.828           4.662           1.166           0.000           0.000           0.000         22.009          8.086         19.291              0.111              0.053              0.000              0.000              0.000              0.000          0.000          0.053          0.000            274.295             0.000             0.000
     29/10/1988          0.000             24          3.250          0.630        325.422          0.000        430.000          3.318         64.687          5.113           5.113           4.090           1.023           0.000           0.000           0.000         26.986          9.108         23.052              0.136              0.328              0.000              0.000              0.000              0.000          0.000          0.381          0.000            325.422             0.000             0.000
     30/10/1988          0.000             25          3.275          0.711        379.513          0.000        450.000          3.207         72.868          5.409           5.409           4.327           1.082           0.000           0.000           0.000         32.233         10.190         26.974              0.162              0.406              0.000              0.000              0.000              0.000          0.000          0.787          0.000            379.513             0.000             0.000
     31/10/1988          0.000             26          3.301          0.776        430.938          0.000        470.000          3.102         81.522          5.143           5.143           4.114           1.029           0.000           0.000           0.000         37.189         11.219         30.491              0.187              0.597              0.000              0.000              0.000              0.000          0.000          1.384          0.000            430.938             0.000             0.000
