Summary_file = fababean.sum
Title = fababean Sample Simulation
       day      year            lai        biomass  green_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
       130      1988          0.000          0.000          0.000
       131      1988          0.000          0.000          0.000
       132      1988          0.000          0.000          0.000
       133      1988          0.000          0.000          0.000
       134      1988          0.000          0.000          0.000
       135      1988          0.000          0.000          0.000
       136      1988          0.000          0.000          0.000
       137      1988          0.000          0.000          0.000
       138      1988          0.000          0.000          0.000
       139      1988          0.000          0.000          0.000
       140      1988          0.000          0.000          0.000
       141      1988          0.000          0.000          0.000
       142      1988          0.025         10.000         10.000
       143      1988          0.029         12.380         12.380
       144      1988          0.032         14.841         14.841
       145      1988          0.036         17.614         17.614
       146      1988          0.042         21.066         21.066
       147      1988          0.048         25.106         25.106
       148      1988          0.055         29.765         29.765
       149      1988          0.062         34.697         34.697
       150      1988          0.071         40.634         40.634
       151      1988          0.082         47.828         47.828
       152      1988          0.093         55.225         55.225
       153      1988          0.102         61.454         61.454
       154      1988          0.114         69.162         69.162
       155      1988          0.126         77.529         77.529
       156      1988          0.133         82.061         82.061
       157      1988          0.143         88.875         88.875
       158      1988          0.158         98.429         98.429
       159      1988          0.179        112.787        112.787
       160      1988          0.203        128.836        128.836
       161      1988          0.231        147.081        147.081
       162      1988          0.261        167.477        167.477
       163      1988          0.296        190.679        190.679
       164      1988          0.329        212.517        212.517
       165      1988          0.369        239.590        239.590
       166      1988          0.418        271.733        271.733
       167      1988          0.475        309.677        309.677
       168      1988          0.527        344.899        344.899
       169      1988          0.587        384.413        384.413
       170      1988          0.655        429.840        429.840
       171      1988          0.734        482.453        482.453
       172      1988          0.821        540.640        540.640
       173      1988          0.916        604.269        604.269
       174      1988          1.015        670.110        670.110
       175      1988          1.123        741.716        741.716
       176      1988          1.236        817.062        817.062
       177      1988          1.351        894.201        894.201
       178      1988          1.470        973.321        973.321
       179      1988          1.615       1070.061       1070.061
       180      1988          1.770       1173.365       1173.365
       181      1988          1.910       1266.638       1266.638
       182      1988          2.057       1364.630       1364.630
       183      1988          2.216       1470.601       1470.601
       184      1988          2.343       1555.467       1555.467
       185      1988          2.420       1606.635       1606.635
       186      1988          2.504       1662.780       1662.780
       187      1988          2.603       1728.673       1728.673
       188      1988          2.774       1842.479       1842.479
       189      1988          2.944       1955.717       1955.717
       190      1988          3.125       2076.683       2076.683
       191      1988          3.323       2209.171       2209.171
       192      1988          3.475       2312.228       2312.228
       193      1988          3.513       2377.831       2372.648
       194      1988          3.566       2457.664       2448.745
       195      1988          3.654       2576.098       2565.515
       196      1988          3.750       2702.713       2690.594
       197      1988          3.849       2835.626       2821.929
       198      1988          3.944       2963.484       2948.344
       199      1988          4.045       3100.380       3083.524
       200      1988          4.154       3247.118       3228.947
       201      1988          4.270       3404.382       3384.967
       202      1988          4.373       3547.046       3525.800
       203      1988          4.447       3657.548       3633.870
       204      1988          4.504       3748.805       3722.130
       205      1988          4.588       3877.223       3847.081
       206      1988          4.661       3996.307       3961.883
       207      1988          4.759       4151.217       4111.891
       208      1988          4.862       4318.438       4273.249
       209      1988          4.933       4450.817       4398.768
       210      1988          5.014       4600.163       4540.798
       211      1988          5.082       4736.458       4669.176
       212      1988          5.154       4882.042       4806.489
       213      1988          5.236       5045.927       4961.684
       214      1988          5.309       5203.153       5109.625
       215      1988          5.367       5345.351       5242.127
       216      1988          5.437       5506.719       5393.667
       217      1988          5.499       5661.318       5538.077
       218      1988          5.549       5805.255       5671.635
       219      1988          5.584       5930.400       5786.424
       220      1988          5.604       6038.050       5884.047
       221      1988          5.618       6138.268       5974.813
       222      1988          5.634       6240.286       6068.012
       223      1988          5.668       6367.965       6187.409
       224      1988          5.730       6535.006       6346.258
       225      1988          5.783       6693.224       6495.782
       226      1988          5.836       6854.763       6648.353
       227      1988          5.884       7014.427       6798.787
       228      1988          5.926       7168.460       6943.423
       229      1988          5.975       7333.478       7099.019
       230      1988          6.021       7498.130       7254.077
       231      1988          5.923       7644.021       7390.307
