Summary_file = winterfallow.sum
Title = Winter dicot fallow Simulation
       day      year       weed_lai   weed_biomass weed_grn_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)          (kg/ha)
       100      1988          0.000          0.000            0.000
       101      1988          0.000          0.000            0.000
       102      1988          0.000          0.000            0.000
       103      1988          0.000          0.000            0.000
       104      1988          0.000          0.000            0.000
       105      1988          0.000          0.000            0.000
       106      1988          0.000          0.000            0.000
       107      1988          0.000          0.000            0.000
       108      1988          0.000          0.000            0.000
       109      1988          0.000          0.000            0.000
       110      1988          0.000          0.000            0.000
       111      1988          0.000          0.000            0.000
       112      1988          0.000          0.000            0.000
       113      1988          0.000          0.000            0.000
       114      1988          0.000          0.000            0.000
       115      1988          0.000          0.000            0.000
       116      1988          0.000          0.000            0.000
       117      1988          0.000          0.000            0.000
       118      1988          0.000          0.000            0.000
       119      1988          0.000          0.000            0.000
       120      1988          0.000          0.000            0.000
       121      1988          0.000          0.000            0.000
       122      1988          0.000          0.000            0.000
       123      1988          0.000          0.000            0.000
       124      1988          0.000          0.000            0.000
       125      1988          0.004          9.000            9.000
       126      1988          0.005          9.473            9.473
       127      1988          0.006         10.048           10.048
       128      1988          0.008         10.788           10.788
       129      1988          0.010         11.695           11.695
       130      1988          0.012         12.841           12.841
       131      1988          0.015         14.277           14.277
       132      1988          0.019         16.043           16.043
       133      1988          0.024         18.306           18.306
       134      1988          0.030         21.007           21.007
       135      1988          0.037         24.268           24.268
       136      1988          0.045         28.096           28.096
       137      1988          0.055         32.716           32.716
       138      1988          0.061         35.723           35.723
       139      1988          0.071         40.299           40.299
       140      1988          0.087         47.591           47.591
       141      1988          0.100         53.784           53.784
       142      1988          0.115         60.346           60.346
       143      1988          0.136         70.222           70.222
       144      1988          0.164         83.199           83.199
       145      1988          0.195         97.357           97.357
       146      1988          0.226        112.736          112.736
       147      1988          0.271        134.475          134.475
       148      1988          0.324        160.363          160.363
       149      1988          0.374        186.343          186.343
       150      1988          0.428        216.630          216.630
       151      1988          0.482        249.348          249.348
       152      1988          0.549        286.678          286.678
       153      1988          0.622        320.440          320.440
       154      1988          0.713        362.684          362.684
       155      1988          0.813        408.905          408.905
       156      1988          0.868        434.004          434.004
       157      1988          0.949        471.721          471.721
       158      1988          1.063        524.433          524.433
       159      1988          1.179        594.106          594.106
       160      1988          1.281        661.062          661.062
       161      1988          1.398        736.437          736.437
       162      1988          1.541        830.457          830.457
       163      1988          1.661        914.227          914.227
       164      1988          1.760        985.411          985.411
       165      1988          1.864       1068.392         1068.392
       166      1988          1.974       1160.062         1160.062
       167      1988          2.094       1260.259         1260.259
       168      1988          2.226       1353.988         1353.988
       169      1988          2.360       1454.943         1454.943
       170      1988          2.510       1575.988         1575.988
       171      1988          2.630       1682.815         1682.815
       172      1988          2.755       1796.131         1796.131
       173      1988          2.895       1924.117         1924.117
       174      1988          3.015       2033.435         2033.435
       175      1988          3.133       2145.521         2145.521
       176      1988          3.259       2260.714         2260.714
       177      1988          3.392       2381.844         2381.844
       178      1988          3.524       2503.332         2503.332
       179      1988          3.662       2656.469         2656.469
       180      1988          3.772       2788.482         2788.482
       181      1988          3.863       2899.050         2899.050
       182      1988          3.947       3011.406         3011.406
       183      1988          4.037       3129.204         3129.204
       184      1988          4.129       3221.993         3221.296
       185      1988          4.232       3287.041         3283.867
       186      1988          4.329       3356.866         3349.139
       187      1988          4.442       3438.162         3423.876
