APSIM output file, version = 5.4
Title = Continuous spring wheat at Dingxi
            day           year           date          event           flag           rain           w_ep          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n          w_mat       n_stress       w_stress             eo
          (day)         (year)             ()            (?)            (?)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)          (doy)             ()             ()           (mm)
             90           1970     31/03/1970          0.000          0.000         18.500          0.000          0.151          0.167          0.173          0.176          0.172          0.171          0.177          0.193         14.276          0.000          0.000        350.224         35.504         50.110         10.684          7.311          4.892          5.196          5.362          5.907          5.538          5.220          0.000       9514.252        213.818         66.129          0.399         89.880          0.000          0.000          0.000          0.000        108.420          0.000              0          1.000          1.000         48.500
            120           1970     30/04/1970          0.000          0.000         76.200          4.440          0.243          0.242          0.198          0.176          0.173          0.173          0.180          0.190         41.872          0.000          0.000        380.112        129.987         55.756         10.417          8.899          6.888          5.830          5.850          6.407          5.973          5.493          0.000       9512.718        216.721         59.332          0.360         81.012          0.559          0.000        335.075         28.973        279.990          1.635              0          1.000          1.000        102.386
            151           1970     31/05/1970          0.000          0.000         35.300         44.336          0.201          0.132          0.140          0.159          0.173          0.175          0.181          0.189         33.325          0.000          0.000        337.751         15.210         91.740         44.575          9.106          5.690          6.222          6.591          7.163          6.519          5.875          0.000       9509.285        223.553         60.413          0.216         48.684          1.908          0.000       3204.701        136.559        795.750          7.356              0          1.000          0.691        140.591
            181           1970     30/06/1970          0.000          0.000         44.600         38.346          0.156          0.124          0.131          0.125          0.140          0.169          0.181          0.189         36.233          0.000          0.000        307.772          1.302         95.836         40.939         15.694          5.746          6.461          6.736          7.404          6.776          6.079          0.000       9505.793        229.197         69.528          0.111         25.001          0.641         86.372       5296.163        158.598       1319.850          7.760              0          1.000          0.636        151.619
            212           1970     31/07/1970          0.000          0.000        101.600         30.618          0.245          0.245          0.225          0.119          0.125          0.150          0.172          0.187         34.150          0.466          0.000        344.138          0.446         69.016          6.499         17.707         13.116          6.604          6.432          6.532          5.913          6.213          0.043       9499.146        234.367         66.454          0.053         11.895          0.287       2282.231       6551.004        136.391       1664.899         10.591              0          1.000          0.747        177.344
            218           1970     06/08/1970          2.000          0.000         24.000          0.888          0.264          0.267          0.266          0.131          0.125          0.150          0.172          0.186          5.191          0.000          0.000        362.060          0.468         68.879          4.214         16.140         15.718          7.655          6.444          6.550          5.932          6.226          0.022       9497.418        235.148         63.664          0.044          9.883          0.000       2296.489       6590.729        133.016       1668.562         10.634            216          1.000          1.000         17.871
            243           1970     31/08/1970          0.000          0.000         89.300          0.000          0.266          0.269          0.265          0.210          0.131          0.151          0.172          0.184         53.505         10.329          0.000        387.526          1.067         73.463          4.664         12.883         15.279         14.935          6.800          6.633          6.003          6.265          0.044       9492.420        279.917        112.450          0.729         78.892          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        117.829
            273           1970     30/09/1970          0.000          0.000         76.000          0.000          0.245          0.248          0.251          0.244          0.190          0.156          0.171          0.182         49.806          6.660          0.000        407.060          1.384         79.124          5.004         10.899         13.829         18.792         11.385          6.899          6.042          6.274          0.026       9485.898        285.544         76.559          0.468         50.677          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        100.874
            304           1970     31/10/1970          0.000          0.000         23.400          0.000          0.225          0.232          0.232          0.224          0.211          0.177          0.173          0.181         25.482          0.000          0.000        404.979          1.564         82.603          6.180         11.268         13.209         17.784         13.451          8.264          6.156          6.290          0.000       9482.434        284.823         64.830          0.433         46.897          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000         64.312
