Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       264      1961     21/09/1961              ?          3.000         52.000          0.000              0.257              0.261              0.268              0.270              0.270              0.271              0.271              0.281              0.280         39.573          1.663          0.238        817.527          1.669         64.752              2.558              5.454              9.535              7.360              6.122              5.456              9.313              9.640              9.314          0.027      14038.739        267.731         79.673          0.316         71.053          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         65.645
       273      1961     30/09/1961          0.000          0.000         73.900          0.000              0.273              0.277              0.278              0.280              0.280              0.280              0.276              0.285              0.284         19.272         22.063          9.771        840.321          7.859         78.357              8.849              8.865             10.600              8.243              6.661              5.789              9.593             10.003              9.753          0.085      14035.489        270.548         72.269          0.242         54.534          0.000          0.000          0.000          0.000        119.920          0.000         0          1.000          0.900         24.024
       304      1961     31/10/1961          0.000          0.000        148.500          0.768              0.258              0.261              0.268              0.270              0.270              0.270              0.270              0.280              0.280         29.694         16.613        125.176        816.570          2.594         66.647              1.775              2.817              6.799              9.542              8.458              7.157             10.192             10.033              9.874          0.322      14031.538        273.031         65.303          0.193         43.468          0.306          0.000        158.742         14.340        396.110          0.783         0          1.000          1.000         35.108
       334      1961     30/11/1961          0.000          0.000         33.200          1.128              0.262              0.265              0.270              0.270              0.270              0.270              0.270              0.280              0.280         16.882          0.093         13.035        818.632          1.956         62.565              1.082              2.277              4.300              8.755              8.502              7.320             10.348             10.080              9.901          0.022      14030.004        273.602         66.086          0.183         41.094          0.385          0.000        306.760         20.992        517.790          1.117         0          0.995          1.000         24.016
       365      1961     31/12/1961          0.000          0.000          2.000          0.014              0.248              0.251              0.258              0.266              0.270              0.270              0.270              0.280              0.280         11.026          0.000          0.505        809.087          1.893         62.623              1.474              2.250              4.209              8.612              8.490              7.303             10.334             10.066              9.885          0.000      14029.852        273.794         69.871          0.178         40.003          0.002          0.000        308.586         18.061        521.870          1.055         0          1.000          1.000         15.039
        31      1962     31/01/1962          0.000          0.000          2.500          0.000              0.242              0.246              0.254              0.262              0.269              0.270              0.270              0.280              0.280          6.610          0.000          0.000        804.977          1.710         62.886              1.826              2.296              4.227              8.499              8.457              7.301             10.331             10.065              9.885          0.000      14029.298        274.225         71.959          0.169         38.050          0.002          0.000        308.586         15.462        521.870          1.055         0          1.000          1.000          8.620
        59      1962     28/02/1962          0.000          0.000          2.200          0.007              0.225              0.233              0.246              0.257              0.265              0.270              0.270              0.280              0.280         11.761          0.000          0.000        795.410          1.538         63.251              2.437              2.315              4.267              8.326              8.333              7.295             10.328             10.064              9.885          0.000      14028.556        274.448         72.750          0.169         38.038          0.002          0.000        309.354         13.472        571.670          1.055         0          1.000          1.000         41.241
        90      1962     31/03/1962          0.000          0.000          0.000          0.062              0.216              0.225              0.239              0.252              0.261              0.268              0.270              0.280              0.280          7.280          0.000          0.000        788.068          1.167         64.311              3.432              2.574              4.438              8.156              8.195              7.242             10.326             10.063              9.885          0.000      14025.827        275.130         68.437          0.169         38.038          0.004          0.000        314.063         11.681        726.470          1.055         0          1.000          1.000         84.448
       120      1962     30/04/1962          0.000          0.000          6.800          0.253              0.217              0.225              0.238              0.249              0.258              0.266              0.270              0.280              0.280          9.715          0.000          0.000        784.900          0.969         66.651              4.679              3.599              4.845              8.040              8.063              7.154             10.322             10.063              9.886          0.000      14017.805        275.758         54.389          0.166         37.334          0.008          0.000        333.442         10.590       1049.990          1.062         0          1.000          1.000        120.287
       151      1962     31/05/1962          0.000          0.000         22.100          0.645              0.229              0.235              0.244              0.251              0.258              0.264              0.270              0.280              0.280         16.485          0.000          0.000        789.869          1.028         71.261              6.272              6.363              5.904              7.878              7.774              6.895             10.224             10.063              9.888          0.000      13999.038        272.239         33.702          0.155         34.874          0.008         34.419        370.515          9.455       1632.530          1.203         0          1.000          1.000        167.528
       181      1962     30/06/1962          2.000          2.000         10.100          0.752              0.218              0.226              0.238              0.248              0.256              0.263              0.270              0.280              0.280         15.838          0.000          0.000        783.379          1.052         80.783             11.350              9.701              7.451              7.825              7.638              6.771             10.114             10.042              9.892          0.000      13970.552        261.250         18.904          0.155         34.874          0.002         95.893        406.407          8.176       2274.230          1.287       179          1.000          1.000        196.519
       181      1962     30/06/1962          2.000          2.000         21.500          0.000              0.299              0.265              0.243              0.248              0.256              0.263              0.270              0.280              0.280          3.405          0.669          0.000        800.805          1.131         81.123              8.988             11.982              7.864              7.834              7.637              6.770             10.114             10.042              9.892          0.013      13969.734        261.244         28.630          0.498         15.871          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          5.112
       212      1962     31/07/1962          0.000          0.000         85.900          0.000              0.258              0.262              0.270              0.273              0.274              0.276              0.274              0.283              0.283         46.870          7.455          6.150        826.229          1.228         93.117              6.753             14.248             15.232             10.300              8.617              7.346             10.395             10.208             10.018          0.138      13941.477        252.232         15.136          0.108          3.426          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        170.886
       243      1962     31/08/1962          0.000          1.000         74.300          0.000              0.265              0.268              0.276              0.277              0.277              0.277              0.274              0.283              0.283         40.212         13.537         14.572        832.209          1.240        104.492              7.488             16.460             20.102             12.496              9.335              7.682             10.620             10.276             10.032          0.143      13912.146        239.812          9.797          0.061          1.940          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        180.552
       264      1962     21/09/1962          0.000          3.000         55.100          0.000              0.249              0.254              0.266              0.270              0.270              0.271              0.271              0.281              0.281         32.866         11.049         28.026        815.367          1.285        108.568              8.656             15.112             21.290             14.051             10.085              8.047             10.929             10.361             10.038          0.134      13897.833        233.918          8.298          0.040          1.263          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         97.981
