Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)      residue_n     residue_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       264      1961     21/09/1961              ?          3.000         52.000          0.000              0.257              0.261              0.268              0.270              0.270              0.271              0.271              0.281              0.280         39.573          1.663          0.238        817.527          1.669         64.752              2.558              5.454              9.535              7.360              6.122              5.456              9.313              9.640              9.314          0.027      14038.739        267.731         79.673          0.316         71.053          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         65.645
       273      1961     30/09/1961          0.000          0.000         73.900          0.000              0.273              0.277              0.278              0.280              0.280              0.280              0.276              0.285              0.284         19.272         22.063          9.771        840.321          7.859         78.357              8.849              8.865             10.600              8.243              6.661              5.789              9.593             10.003              9.753          0.085      14035.489        270.548         72.269          0.242         54.534          0.000          0.000          0.000          0.000        119.920          0.000         0          0.000          0.800         24.024
       304      1961     31/10/1961          0.000          0.000        148.500          0.768              0.258              0.261              0.268              0.270              0.270              0.270              0.270              0.280              0.280         29.694         16.613        125.176        816.570          2.594         66.720              1.910              2.979              6.570              9.545              8.460              7.158             10.192             10.033              9.874          0.322      14031.538        273.031         65.303          0.193         43.468          0.306          0.000        158.742         14.340        396.110          0.777         0          1.000          1.000         35.108
       334      1961     30/11/1961          0.000          0.000         33.200          1.127              0.262              0.265              0.270              0.270              0.270              0.270              0.270              0.280              0.280         16.883          0.093         13.035        818.632          1.956         62.594              1.111              2.344              4.240              8.746              8.503              7.321             10.348             10.080              9.901          0.023      14030.004        273.602         66.086          0.183         41.094          0.385          0.000        306.750         20.991        517.790          1.114         0          0.992          1.000         24.016
       365      1961     31/12/1961          0.000          0.000          2.000          0.014              0.248              0.251              0.258              0.266              0.270              0.270              0.270              0.280              0.280         11.026          0.000          0.505        809.087          1.893         62.652              1.512              2.305              4.152              8.603              8.491              7.304             10.334             10.066              9.885          0.000      14029.852        273.794         69.871          0.178         40.003          0.002          0.000        308.575         18.060        521.870          1.053         0          1.000          1.000         15.039
        31      1962     31/01/1962          0.000          0.000          2.500          0.000              0.242              0.246              0.254              0.262              0.269              0.270              0.270              0.280              0.280          6.610          0.000          0.000        804.977          1.710         62.915              1.867              2.345              4.172              8.490              8.458              7.302             10.332             10.065              9.885          0.000      14029.298        274.225         71.958          0.169         38.050          0.002          0.000        308.575         15.461        521.870          1.053         0          1.000          1.000          8.620
        59      1962     28/02/1962          0.000          0.000          2.200          0.007              0.225              0.233              0.246              0.257              0.265              0.270              0.270              0.280              0.280         11.760          0.000          0.000        795.410          1.538         63.280              2.485              2.354              4.216              8.317              8.334              7.296             10.329             10.064              9.885          0.000      14028.556        274.448         72.750          0.169         38.039          0.002          0.000        309.343         13.472        571.670          1.053         0          1.000          1.000         41.241
        90      1962     31/03/1962          0.000          0.000          0.000          0.062              0.216              0.225              0.239              0.252              0.261              0.268              0.270              0.280              0.280          7.280          0.000          0.000        788.068          1.167         64.340              3.485              2.605              4.389              8.148              8.195              7.243             10.326             10.063              9.885          0.000      14025.827        275.130         68.437          0.169         38.039          0.004          0.000        314.052         11.681        726.470          1.053         0          1.000          1.000         84.448
       120      1962     30/04/1962          0.000          0.000          6.800          0.253              0.217              0.225              0.238              0.249              0.258              0.266              0.270              0.280              0.280          9.715          0.000          0.000        784.899          0.969         66.681              4.731              3.629              4.799              8.032              8.064              7.154             10.323             10.063              9.886          0.000      14017.805        275.758         54.389          0.166         37.334          0.008          0.000        333.431         10.589       1049.990          1.060         0          1.000          1.000        120.287
