Summary_file = bambatsi.sum
Title = bambatsi Sample Simulation
           date       day      year            lai   foliage_mass      root_mass        biomass             ep          cover             fw             fn             ft           fvpd             ff
             ()     (day)    (year)        (m2/m2)        (kg/ha)             ()        (kg/ha)           (mm)             ()          (0-1)          (0-1)          (0-1)          (0-1)          (0-1)
     01/01/1988         1      1988          0.005          3.333        149.250          3.333          0.000          0.003          0.000          1.000          1.000          1.000          1.000
     02/01/1988         2      1988          0.006          3.792        148.995          4.479          0.040          0.004          1.000          1.000          1.000          1.000          1.000
     03/01/1988         3      1988          0.006          4.321        148.817          5.803          0.039          0.005          1.000          1.000          1.000          1.000          1.000
     04/01/1988         4      1988          0.007          4.806        148.593          7.016          0.035          0.005          1.000          1.000          1.000          1.000          1.000
     05/01/1988         5      1988          0.008          5.289        148.367          8.222          0.027          0.006          1.000          1.000          1.000          1.000          1.000
     06/01/1988         6      1988          0.009          5.993        148.380          9.983          0.033          0.006          1.000          1.000          1.000          1.000          1.000
     07/01/1988         7      1988          0.010          6.783        148.484         11.956          0.033          0.007          1.000          1.000          1.000          1.000          1.000
     08/01/1988         8      1988          0.012          7.784        148.814         14.460          0.053          0.008          1.000          1.000          1.000          1.000          1.000
     09/01/1988         9      1988          0.013          8.977        149.348         17.441          0.073          0.009          1.000          1.000          1.000          1.000          1.000
     10/01/1988        10      1988          0.015         10.329        150.050         20.823          0.085          0.011          1.000          1.000          1.000          1.000          1.000
     11/01/1988        11      1988          0.017         11.603        150.735         24.008          0.064          0.012          1.000          0.936          1.000          1.000          1.000
     12/01/1988        12      1988          0.019         12.702        151.375         26.755          0.050          0.013          1.000          0.780          1.000          1.000          1.000
     13/01/1988        13      1988          0.021         14.136        152.375         30.340          0.069          0.015          1.000          0.827          1.000          1.000          1.000
     14/01/1988        14      1988          0.024         15.742        153.625         34.355          0.089          0.016          1.000          0.797          1.000          1.000          1.000
     15/01/1988        15      1988          0.026         17.434        154.978         38.584          0.094          0.018          1.000          0.796          1.000          1.000          1.000
     16/01/1988        16      1988          0.028         18.609        155.665         41.522          0.053          0.019          1.000          0.806          1.000          1.000          1.000
     17/01/1988        17      1988          0.031         20.756        157.425         46.889          0.153          0.022          1.000          0.874          1.000          1.000          1.000
     18/01/1988        18      1988          0.035         23.261        159.786         53.152          0.205          0.024          1.000          0.793          1.000          1.000          1.000
     19/01/1988        19      1988          0.038         25.359        161.640         58.397          0.136          0.026          1.000          0.785          1.000          1.000          1.000
     20/01/1988        20      1988          0.042         27.757        163.752         64.393          0.165          0.029          1.000          0.835          1.000          1.000          1.000
     21/01/1988        21      1988          0.047         31.004        166.910         72.510          0.210          0.032          1.000          0.827          1.000          1.000          1.000
     22/01/1988        22      1988          0.050         33.637        169.389         79.092          0.180          0.035          1.000          0.791          1.000          1.000          1.000
     23/01/1988        23      1988          0.055         36.911        172.503         87.278          0.162          0.038          1.000          0.843          1.000          1.000          1.000
     24/01/1988        24      1988          0.062         41.148        176.847         97.869          0.278          0.042          1.000          0.823          1.000          1.000          1.000
     25/01/1988        25      1988          0.068         45.389        181.289        108.473          0.230          0.047          1.000          0.794          1.000          1.000          1.000
     26/01/1988        26      1988          0.075         50.225        186.367        120.562          0.224          0.051          1.000          0.813          1.000          1.000          1.000
     27/01/1988        27      1988          0.083         55.648        192.177        134.120          0.282          0.057          1.000          0.807          1.000          1.000          1.000
     28/01/1988        28      1988          0.092         61.160        198.080        147.900          0.300          0.062          1.000          0.805          1.000          1.000          1.000
     29/01/1988        29      1988          0.101         67.199        204.527        162.999          0.269          0.068          1.000          0.820          1.000          1.000          1.000
     30/01/1988        30      1988          0.111         73.904        212.414        181.091          0.443          0.075          1.000          0.820          1.000          1.000          1.000
     31/01/1988        31      1988          0.119         79.508        219.147        196.784          0.409          0.080          1.000          0.809          1.000          1.000          1.000
     01/02/1988        32      1988          0.131         87.068        228.040        217.490          0.481          0.087          1.000          0.848          1.000          1.000          1.000
     02/02/1988        33      1988          0.142         94.410        236.955        237.822          0.411          0.094          1.000          0.815          1.000          1.000          1.000
     03/02/1988        34      1988          0.151        100.868        244.692        256.107          0.346          0.100          1.000          0.833          1.000          1.000          1.000
     04/02/1988        35      1988          0.167        111.062        256.740        283.875          0.554          0.110          1.000          0.861          1.000          1.000          1.000
     05/02/1988        36      1988          0.183        121.942        270.262        313.585          0.699          0.120          1.000          0.805          1.000          1.000          1.000
     06/02/1988        37      1988          0.200        133.458        284.571        345.129          0.846          0.131          1.000          0.811          1.000          1.000          1.000
     07/02/1988        38      1988          0.210        140.092        292.841        364.725          0.246          0.137          1.000          0.816          1.000          1.000          1.000
     08/02/1988        39      1988          0.227        151.398        306.001        396.095          0.585          0.147          1.000          0.894          0.983          1.000          1.000
     09/02/1988        40      1988          0.250        166.386        324.334        436.975          0.881          0.160          1.000          0.839          1.000          1.000          1.000
     10/02/1988        41      1988          0.273        181.983        343.965        479.713          1.034          0.174          1.000          0.809          1.000          1.000          1.000
     11/02/1988        42      1988          0.297        198.147        364.233        524.215          1.099          0.188          1.000          0.818          1.000          1.000          1.000
     12/02/1988        43      1988          0.324        216.268        386.843        573.970          1.268          0.203          1.000          0.826          1.000          1.000          1.000
     13/02/1988        44      1988          0.345        229.955        404.171        613.045          0.911          0.215          1.000          0.821          1.000          1.000          1.000
     14/02/1988        45      1988          0.369        246.050        423.724        658.443          0.970          0.228          1.000          0.870          1.000          1.000          1.000
     15/02/1988        46      1988          0.399        266.061        448.238        713.990          1.065          0.244          1.000          0.858          1.000          1.000          1.000
     16/02/1988        47      1988          0.431        287.501        474.982        773.555          1.204          0.261          1.000          0.838          1.000          1.000          1.000
     17/02/1988        48      1988          0.465        310.100        503.206        836.493          1.224          0.278          1.000          0.840          1.000          1.000          1.000
     18/02/1988        49      1988          0.496        330.667        529.001        894.854          1.325          0.293          1.000          0.843          1.000          1.000          1.000
     19/02/1988        50      1988          0.539        359.226        563.955        973.652          1.773          0.314          1.000          0.864          1.000          1.000          1.000
     20/02/1988        51      1988          0.585        389.965        602.713       1058.536          2.306          0.336          1.000          0.830          1.000          1.000          1.000
     21/02/1988        52      1988          0.628        418.586        638.987       1138.809          1.804          0.356          1.000          0.831          1.000          1.000          1.000
     22/02/1988        53      1988          0.676        450.847        679.156       1228.820          2.067          0.377          1.000          0.852          1.000          1.000          1.000
     23/02/1988        54      1988          0.731        487.040        724.440       1329.379          2.426          0.400          1.000          0.846          1.000          1.000          1.000
     24/02/1988        55      1988          0.784        522.710        769.464       1429.434          2.499          0.422          1.000          0.840          1.000          1.000          1.000
     25/02/1988        56      1988          0.814        542.942        795.659       1491.689          1.326          0.435          1.000          0.852          1.000          1.000          1.000
     26/02/1988        57      1988          0.836        557.420        813.953       1539.996          0.807          0.443          1.000          0.914          1.000          1.000          1.000
     27/02/1988        58      1988          0.878        585.607        847.370       1622.880          1.833          0.459          1.000          0.936          1.000          1.000          1.000
     28/02/1988        59      1988          0.925        616.632        885.530       1713.479          1.804          0.477          1.000          0.892          1.000          1.000          1.000
     29/02/1988        60      1988          0.942        627.943        900.909       1755.476          0.531          0.483          1.000          0.888          1.000          1.000          1.000
     01/03/1988        61      1988          0.976        650.604        927.994       1826.077          1.336          0.495          1.000          0.952          1.000          1.000          1.000
     02/03/1988        62      1988          1.001        667.259        949.158       1882.154          0.809          0.504          1.000          0.918          1.000          1.000          1.000
     03/03/1988        63      1988          1.061        707.009        996.009       1996.317          2.280          0.524          1.000          0.938          1.000          1.000          1.000
     04/03/1988        64      1988          1.124        749.453       1048.737       2118.096          2.819          0.545          1.000          0.876          1.000          1.000          1.000
     05/03/1988        65      1988          1.177        784.589       1093.054       2222.538          2.360          0.561          1.000          0.875          1.000          1.000          1.000
     06/03/1988        66      1988          1.235        823.617       1143.032       2337.482          2.612          0.579          1.000          0.899          1.000          1.000          1.000
     07/03/1988        67      1988          1.308        872.271       1206.187       2477.346          3.031          0.600          1.000          0.893          1.000          1.000          1.000
     08/03/1988        68      1988          1.379        919.393       1269.128       2614.454          3.078          0.619          1.000          0.877          1.000          1.000          1.000
     09/03/1988        69      1988          1.456        970.874       1339.337       2763.498          3.569          0.639          1.000          0.886          1.000          1.000          1.000
     10/03/1988        70      1988          1.538       1025.424       1415.423       2921.347          4.062          0.659          1.000          0.882          1.000          1.000          1.000
     11/03/1988        71      1988          1.626       1084.096       1499.013       3090.702          4.880          0.680          1.000          0.882          1.000          1.000          1.000
     12/03/1988        72      1988          1.698       1132.005       1570.150       3234.443          2.658          0.695          1.000          0.880          1.000          1.000          1.000
     13/03/1988        73      1988          1.785       1189.845       1654.682       3399.973          4.155          0.713          1.000          0.904          0.842          1.000          1.000
     14/03/1988        74      1988          1.874       1249.584       1745.157       3573.352          4.313          0.731          1.000          0.893          0.917          1.000          1.000
     15/03/1988        75      1988          1.956       1304.261       1831.967       3737.652          4.233          0.746          1.000          0.894          1.000          1.000          1.000
     16/03/1988        76      1988          2.034       1356.223       1917.007       3896.357          3.733          0.759          1.000          0.904          1.000          1.000          1.000
     17/03/1988        77      1988          2.116       1410.443       2007.629       4061.834          3.976          0.773          1.000          0.911          1.000          1.000          1.000
     18/03/1988        78      1988          2.198       1465.077       2101.197       4229.525          4.147          0.785          1.000          0.911          1.000          1.000          1.000
     19/03/1988        79      1988          2.278       1518.494       2195.231       4395.359          4.078          0.797          1.000          0.913          1.000          1.000          1.000
     20/03/1988        80      1988          2.357       1571.373       2290.780       4561.000          4.227          0.808          1.000          0.918          1.000          1.000          1.000
     21/03/1988        81      1988          2.435       1623.314       2387.202       4725.438          4.117          0.818          1.000          0.921          1.000          1.000          1.000
     22/03/1988        82      1988          2.514       1675.834       2486.995       4892.438          4.506          0.828          1.000          0.924          1.000          1.000          1.000
     23/03/1988        83      1988          2.582       1721.013       2600.250       5042.214          4.304          0.836          1.000          0.925          1.000          1.000          1.000
     24/03/1988        84      1988          2.638       1758.508       2733.129       5173.734          4.479          0.842          1.000          0.935          1.000          1.000          1.000
     25/03/1988        85      1988          2.670       1780.092       2855.997       5266.260          3.455          0.846          1.000          0.945          1.000          1.000          1.000
     26/03/1988        86      1988          2.706       1804.284       3035.401       5364.030          4.564          0.850          1.000          0.963          0.958          1.000          1.000
     27/03/1988        87      1988          2.729       1819.221       3230.032       5440.143          4.411          0.852          1.000          0.961          0.983          1.000          1.000
     28/03/1988        88      1988          2.740       1826.824       3452.705       5498.870          4.812          0.853          1.000          0.971          1.000          1.000          1.000
     29/03/1988        89      1988          2.739       1826.229       3695.259       5537.197          5.032          0.853          1.000          0.979          1.000          1.000          1.000
     30/03/1988        90      1988          2.732       1821.242       3939.254       5564.449          4.794          0.852          1.000          0.988          1.000          1.000          1.000
     31/03/1988        91      1988          2.717       1811.650       4022.926       5573.942          1.657          0.851          1.000          0.993          0.854          1.000          1.000
     01/04/1988        92      1988          2.703       1802.168       4161.163       5589.478          2.820          0.849          1.000          1.000          1.000          1.000          1.000
     02/04/1988        93      1988          2.690       1793.283       4310.198       5606.211          2.618          0.848          1.000          0.998          1.000          1.000          1.000
     03/04/1988        94      1988          2.674       1782.920       4423.413       5618.968          1.861          0.846          1.000          0.997          1.000          1.000          1.000
     04/04/1988        95      1988          2.661       1774.160       4570.007       5635.419          2.551          0.845          1.000          0.999          1.000          1.000          1.000
     05/04/1988        96      1988          2.644       1762.889       4646.944       5644.135          1.274          0.843          1.000          0.997          0.971          1.000          1.000
     06/04/1988        97      1988          2.633       1755.123       4810.670       5662.463          3.246          0.842          1.000          1.000          1.000          1.000          1.000
     07/04/1988        98      1988          2.620       1746.988       4963.682       5679.615          3.132          0.840          1.000          0.996          1.000          1.000          1.000
     08/04/1988        99      1988          2.605       1736.916       5070.671       5691.663          2.248          0.839          1.000          0.997          1.000          1.000          1.000
     09/04/1988       100      1988          2.591       1727.215       5183.428       5704.335          2.123          0.837          1.000          0.999          1.000          1.000          1.000
     10/04/1988       101      1988          2.580       1719.705       5305.992       5718.087          2.397          0.836          1.000          0.998          0.896          1.000          1.000
     11/04/1988       102      1988          2.566       1710.782       5328.608       5720.735          0.622          0.834          1.000          0.997          0.708          1.000          1.000
     12/04/1988       103      1988          2.553       1701.725       5437.493       5732.932          2.559          0.833          1.000          1.000          0.967          1.000          1.000
     13/04/1988       104      1988          2.540       1693.078       5564.907       5747.176          2.379          0.831          1.000          1.000          1.000          1.000          1.000
     14/04/1988       105      1988          2.530       1686.453       5735.394       5766.206          3.688          0.830          1.000          0.997          1.000          1.000          1.000
     15/04/1988       106      1988          2.520       1679.918       5905.680       5785.237          3.719          0.829          1.000          0.995          1.000          1.000          1.000
     16/04/1988       107      1988          2.510       1673.132       6065.259       5803.101          3.444          0.827          1.000          0.995          0.992          1.000          1.000
     17/04/1988       108      1988          2.499       1666.085       6185.333       5816.595          2.645          0.826          1.000          0.995          0.900          1.000          1.000
     18/04/1988       109      1988          2.489       1659.350       6311.939       5830.818          2.790          0.825          1.000          0.997          0.904          1.000          1.000
     19/04/1988       110      1988          2.477       1651.436       6371.853       5837.639          1.825          0.823          1.000          0.997          0.792          1.000          1.000
     20/04/1988       111      1988          2.463       1641.673       6446.436       5846.070          1.698          0.822          1.000          0.999          0.962          1.000          1.000
     21/04/1988       112      1988          2.452       1634.761       6595.525       5862.755          3.396          0.820          1.000          1.000          1.000          1.000          1.000
     22/04/1988       113      1988          2.441       1627.150       6726.700       5877.463          3.418          0.819          1.000          0.996          1.000          1.000          1.000
     23/04/1988       114      1988          2.431       1620.708       6881.960       5894.853          3.962          0.818          1.000          0.997          1.000          1.000          1.000
     24/04/1988       115      1988          2.419       1612.717       7000.286       5908.158          3.183          0.816          1.000          0.995          1.000          1.000          1.000
     25/04/1988       116      1988          2.409       1606.049       7146.134       5924.520          3.590          0.815          1.000          0.997          1.000          1.000          1.000
     26/04/1988       117      1988          2.400       1599.922       7281.475       5939.728          3.527          0.814          1.000          0.995          0.938          1.000          1.000
     27/04/1988       118      1988          2.391       1593.849       7410.692       5954.270          3.691          0.812          1.000          0.996          0.921          1.000          1.000
     28/04/1988       119      1988          2.378       1585.437       7459.600       5959.901          1.610          0.811          1.000          0.996          0.842          1.000          1.000
     29/04/1988       120      1988          2.365       1576.932       7495.234       5964.030          1.240          0.809          1.000          1.000          0.812          1.000          1.000
     30/04/1988       121      1988          2.353       1568.984       7602.476       5976.085          3.349          0.807          1.000          1.000          1.000          1.000          1.000
     01/05/1988       122      1988          2.341       1560.965       7705.942       5987.715          2.885          0.806          1.000          0.998          1.000          1.000          1.000
     02/05/1988       123      1988          2.328       1552.144       7789.219       5997.096          2.112          0.804          1.000          0.997          1.000          1.000          1.000
     03/05/1988       124      1988          2.317       1544.879       7905.260       6010.101          3.093          0.803          1.000          0.999          1.000          1.000          1.000
     04/05/1988       125      1988          2.307       1538.176       8026.594       6023.695          3.452          0.801          1.000          0.997          0.983          1.000          1.000
     05/05/1988       126      1988          2.298       1531.727       8156.950       6038.298          3.828          0.800          1.000          0.996          1.000          1.000          1.000
     06/05/1988       127      1988          2.289       1525.883       8257.041       6049.549          3.296          0.799          1.000          0.996          0.867          1.000          1.000
     07/05/1988       128      1988          2.280       1519.696       8371.364       6062.385          3.627          0.797          1.000          0.997          0.942          1.000          1.000
     08/05/1988       129      1988          2.271       1514.097       8460.772       6072.459          2.928          0.796          1.000          0.996          0.825          1.000          1.000
     09/05/1988       130      1988          2.265       1509.777       8520.586       6079.247          2.611          0.795          1.000          0.997          0.642          1.000          1.000
     10/05/1988       131      1988          2.259       1505.674       8574.122       6085.334          2.414          0.794          1.000          0.998          0.608          1.000          1.000
     11/05/1988       132      1988          2.253       1502.076       8617.611       6090.303          2.392          0.793          1.000          0.998          0.542          1.000          1.000
     12/05/1988       133      1988          2.247       1498.058       8669.035       6096.148          2.557          0.793          1.000          0.998          0.600          1.000          1.000
     13/05/1988       134      1988          2.241       1493.956       8712.680       6101.126          2.253          0.792          1.000          0.998          0.583          1.000          1.000
