Summary_file = output\myr_sw.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     27/05/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000        790.416        965.279          0.000         117.000          0.066         91.389         14.414
     15/11/1958      1958       2618.841        105.296          2.939          0.000          0.000          0.000        157.995        413.404          0.000         411.200          7.525        153.885        174.581
     03/06/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       5686.226       6273.755          0.000         161.200          0.000        119.495          2.305
     07/11/1959      1959       2192.992        113.171          2.481          0.000          0.000          0.000       3687.882       5074.417          0.000         336.300          4.226         88.931        157.450
     24/11/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       8237.984       8280.131          0.000          68.300         12.041          9.482          0.312
     23/04/1960      1960          0.000          0.000          0.000       2216.817         81.472          1.722       7185.650       8177.998          0.000         148.400          6.252         70.982         86.467
     29/05/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2279.849       2471.582          0.000         107.400          0.003         41.969          0.000
     14/11/1960      1960       1531.805         79.384          2.062          0.000          0.000          0.000       1045.555       2069.351          0.000         326.700          3.600        129.572        168.163
     21/01/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       4734.973       4863.658          0.000          65.500          0.000         29.568          0.000
     09/06/1961      1961          0.000          0.000          0.000       2405.235         78.140          1.454       3673.634       4572.717          0.000         285.000         20.803         85.546         76.295
     02/07/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       1197.202       1358.940          0.000          51.200          0.000         28.948         27.346
     23/11/1961      1961       1493.095         77.391          1.193          0.000          0.000          0.000        513.160       1088.259          0.000         275.500         18.709        134.193        131.736
     17/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       3200.727       3202.542          0.000          34.600          0.000          5.981          0.000
     17/05/1962      1962          0.000          0.000          0.000       1047.855         46.963          1.036       2215.802       3106.829          0.000         123.700          0.000         88.376          0.000
     17/05/1962      1962              ?              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?              ?
     27/10/1962      1962       2911.504        126.637          2.423          0.000          0.000          0.000        350.290       1040.394          0.000         372.100          1.117        157.366         41.840
     04/06/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4363.454       5465.637          0.000         232.000          0.955        154.261         45.626
     09/11/1963      1963       1434.644         82.427          1.858          0.000          0.000          0.000       1531.162       2899.226          0.000         295.400          5.786        130.382        150.264
     30/01/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       4645.536       4718.336          0.000          38.300          0.000         13.492          0.000
     29/06/1964      1964          0.000          0.000          0.000       1532.577         53.084          1.278       3711.240       4579.781          0.000         135.300          0.059         66.204          0.000
     18/07/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       1152.594       1294.872          0.000          61.900          1.989         24.318          0.000
     12/12/1964      1964       3210.247        169.262          4.003          0.000          0.000          0.000        436.521       1007.972          0.000         311.500          7.675        128.567         82.387
     30/05/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       8143.104       8889.113          0.000         164.400          4.364         63.093         18.733
     06/11/1965      1965       1034.807         57.927          1.392          0.000          0.000          0.000       5605.920       7232.198          0.000         439.300          8.051         70.945        302.745
     07/11/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       6729.148       6729.148          0.000           1.000          0.000          1.123          1.029
     17/03/1966      1966          0.000          0.000          0.000       3227.171        116.792          1.685       5496.238       6670.632          0.000         112.100          2.460         56.469         30.341
     31/05/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1764.285       2217.980          0.000         108.400          0.000         68.952          0.000
     15/11/1966      1966       2593.865        122.768          2.669          0.000          0.000          0.000        541.254       1126.530          0.000         413.100         46.082        152.703         82.447
     15/05/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000       5693.770       6349.307          0.000         148.800          2.708         71.331         30.260
     25/10/1967      1967       1779.499         87.306          2.124          0.000          0.000          0.000       2477.062       4331.383          0.000         332.700          1.117        106.429        177.979
     28/01/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       5850.723       6014.414          0.000          54.700          0.000         31.018          0.000
     27/06/1968      1968          0.000          0.000          0.000       1584.766         55.183          1.496       4303.353       5572.992          0.000         368.400          2.066         68.425        225.032
     01/07/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       1430.968       1463.891          0.000          28.700          1.587          4.871         11.367
     02/12/1968      1968       1735.197        110.757          2.510          0.000          0.000          0.000        596.297       1369.801          0.000         412.300         28.492        159.717        181.946
     30/07/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       3353.493       5222.159          0.000         193.800          0.000        174.999          0.000
     14/12/1969      1969       2950.254        137.898          3.355          0.000          0.000          0.000        750.635       1307.440          0.000         236.800         10.474        108.526         12.377
     15/05/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       5108.061       5734.799          0.000         300.000          4.447         72.534        141.290
     30/10/1970      1970       3025.211        127.624          3.246          0.000          0.000          0.000       1842.010       3834.769          0.000         304.200          2.021        101.945        123.907
     17/05/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000       6693.454       7375.362          0.000         209.900          5.648         75.730         87.010
     03/11/1971      1971        743.313         33.427          0.773          0.000          0.000          0.000       3191.862       5128.021          0.000         516.000          4.743        146.528        355.178
     12/11/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000       3114.333       3234.705          0.000          59.500          1.117         14.432          9.128
     08/04/1972      1972          0.000          0.000          0.000       2478.949         95.700          1.757       1772.246       2974.911          0.000         182.300          3.603        103.926         54.784
     12/07/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000        743.079       1109.934          0.000         110.700          0.499         86.174          0.000
     02/12/1972      1972       2087.719         97.283          1.912          0.000          0.000          0.000        184.435        413.399          0.000         298.800         24.342        153.891         80.141
     05/06/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       3569.281       4294.141          0.000         153.400          0.000         99.859          0.000
     16/11/1973      1973       2018.759        106.021          2.453          0.000          0.000          0.000        942.754       2123.703          0.000         402.700          3.905        156.497        146.203
     29/06/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       3963.637       5512.119          0.000         347.200          3.012        170.492        123.296
     24/11/1974      1974       2064.551        101.560          2.720          0.000          0.000          0.000        799.763       1614.836          0.000         287.900          6.407        146.967         84.777
     23/05/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       3640.628       5013.878          0.000         178.100          0.002        128.571          0.000
     03/11/1975      1975       2295.042        110.985          2.679          0.000          0.000          0.000        872.978       2064.797          0.000         345.600          0.414        145.814        126.346
     19/11/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       5934.486       6048.745          0.000          49.800          2.776         11.392          0.000
     29/03/1976      1976          0.000          0.000          0.000       2578.293         96.947          1.721       4597.936       5750.451          0.000         142.700          7.235         75.711         18.809
     26/06/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       1389.658       1833.326          0.000         118.800          2.042         71.782          0.000
     22/11/1976      1976       2534.775        123.957          3.010          0.000          0.000          0.000        384.745        875.310          0.000         303.000         14.244        153.563         87.675
     17/05/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000       5677.304       6414.938          0.000          82.400          0.000         52.263          0.000
     27/10/1977      1977       2070.753         82.423          1.632          0.000          0.000          0.000       3354.666       5032.760          0.000         266.000          0.542        100.421         54.990
