APSIM output file, version = 5.4
Title = Tracker Sample Rotation Simulation
            day           year     total_rain    wheat_yield chickpea_yield wheat_incrop_rain chickpea_incrop_rain wheat_sowing_date chickpea_sowing_date
          (day)         (year)           (mm)        (kg/ha)        (kg/ha)              (mm)                 (mm)               (?)                  (?)
            366           1960        450.100              ?       2583.389                 ?              152.200                 ?           14/05/1960
            365           1961        752.900       4133.460       2583.389           207.000              152.200        06/06/1961           14/05/1960
            365           1962        871.900       4133.460       2910.382           207.000              154.200        06/06/1961           30/05/1962
            365           1963        570.100       3082.075       2910.382            91.700              154.200        08/05/1963           30/05/1962
            366           1964        650.500       3082.075       3075.400            91.700              256.900        08/05/1963           31/05/1964
            365           1965        402.800       3082.075       3075.400            91.700              256.900        08/05/1963           31/05/1964
            365           1966        573.000       3082.075       2795.854            91.700              311.500        08/05/1963           11/06/1966
            365           1967        385.200       3880.873       2795.854           177.400              311.500        08/05/1967           11/06/1966
            366           1968        561.600       3006.624       2795.854           142.900              311.500        01/05/1968           11/06/1966
            365           1969        628.000       3006.624       3002.194           142.900              339.800        01/05/1968           16/05/1969
            365           1970        737.200       4240.791       3002.194           212.600              339.800        30/05/1970           16/05/1969
