ApsimVersion = 6.1
Title = Tracker Sample Rotation Simulation
            day           year     total_rain    wheat_yield chickpea_yield wheat_incrop_rain chickpea_incrop_rain wheat_sowing_date chickpea_sowing_date
          (day)         (year)           (mm)        (kg/ha)        (kg/ha)              (mm)                 (mm)               (?)                  (?)
            366           1960        450.100              ?         2583.4                 ?              152.200                 ?           14/05/1960
            365           1961        752.900         4133.5         2583.4           207.000              152.200        06/06/1961           14/05/1960
            365           1962        871.900         4133.5         2910.4           207.000              154.200        06/06/1961           30/05/1962
            365           1963        570.100         3081.5         2910.4            91.700              154.200        08/05/1963           30/05/1962
            366           1964        650.500         3081.5         3075.4            91.700              256.900        08/05/1963           31/05/1964
            365           1965        402.800         3081.5         3075.4            91.700              256.900        08/05/1963           31/05/1964
            365           1966        573.000         3081.5         2795.9            91.700              311.500        08/05/1963           11/06/1966
            365           1967        385.200         3880.9         2795.9           177.400              311.500        08/05/1967           11/06/1966
            366           1968        561.600         3007.0         2795.9           142.900              311.500        01/05/1968           11/06/1966
            365           1969        628.000         3007.0         3002.2           142.900              339.800        01/05/1968           16/05/1969
            365           1970        737.200         4241.9         3002.2           212.600              339.800        30/05/1970           16/05/1969
