APSIM output file, version = 5.3
Title = forest Sample Simulation
           date            age             fw           fvpd             ft             fn            lai         height           stem         branch           bark
             ()        (years)          (0-1)          (0-1)          (0-1)          (0-1)        (m2/m2)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)
     31/01/1987          0.085          1.000          1.000          0.800          0.989          0.114        643.476         20.493          6.941          3.126
     28/02/1987          0.162          1.000          1.000          1.000          0.982          0.250       1075.724         73.343         24.826         11.187
     31/03/1987          0.246          1.000          0.904          1.000          0.990          0.518       1730.194        234.888         79.459         35.827
     30/04/1987          0.329          1.000          1.000          1.000          0.996          0.702       2325.200        481.045        162.548         73.368
     31/05/1987          0.413          1.000          1.000          0.783          0.998          0.821       2779.663        741.140        250.081        113.029
     30/06/1987          0.496          1.000          1.000          0.467          0.998          0.915       3098.540        964.397        324.906        147.066
     31/07/1987          0.580          1.000          0.991          0.633          0.997          1.026       3413.838       1229.338        413.675        187.457
     31/08/1987          0.665          1.000          1.000          0.867          0.996          1.215       3860.613       1667.745        560.342        254.289
     30/09/1987          0.747          1.000          0.937          1.000          0.995          1.521       4447.474       2373.168        796.055        361.818
     31/10/1987          0.832          1.000          0.969          1.000          0.996          1.929       5122.950       3366.341       1125.723        513.160
     30/11/1987          0.914          1.000          0.914          0.950          0.994          2.420       5830.244       4635.024       1543.356        706.404
     31/12/1987          0.999          1.000          1.000          0.975          0.997          3.019       6628.887       6349.217       2099.676        967.322
     31/01/1988          1.084          1.000          1.000          0.875          0.994          3.692       7430.402       8428.427       2763.654       1283.545
     29/02/1988          1.164          1.000          1.000          0.950          0.998          4.351       8183.073      10650.045       3463.433       1621.193
     31/03/1988          1.248          1.000          1.000          1.000          0.999          4.976       8887.970      13041.194       4202.997       1984.277
     30/04/1988          1.331          1.000          1.000          1.000          0.997          5.389       9428.039      15101.893       4819.679       2296.677
     31/05/1988          1.415          1.000          1.000          0.800          0.973          5.696       9886.474      16977.363       5368.579       2580.687
     30/06/1988          1.498          1.000          1.000          0.700          0.946          5.863      10225.459      18451.600       5787.602       2803.623
     31/07/1988          1.582          1.000          1.000          0.783          0.923          5.993      10548.200      19940.654       6201.938       3028.567
     31/08/1988          1.667          1.000          1.000          0.850          0.858          6.248      10936.926      21795.266       6731.759       3309.052
     30/09/1988          1.750          1.000          0.841          1.000          0.714          6.561      11373.445      24033.523       7366.651       3647.425
     31/10/1988          1.834          1.000          0.976          1.000          0.621          6.848      11822.076      26433.186       8034.825       4009.866
