Summary_file = maize.sum
Title = 
           date       das          stage     zadok            lai        biomass          grain      biomass_n        grain_n        tillers      rootdepth            cep       ws_pheno       ws_photo       ws_expan      ws_tiller       Ns_pheno       Ns_photo       Ns_expan      Ns_tiller    n_conc_root    n_conc_leaf    n_conc_stem   n_conc_grain     dm_green()        dm_green(1)        dm_green(2)        dm_green(3)        dm_green(4)        dm_green(5)        dm_green(6)  dm_senesced()     dm_senesced(1)     dm_senesced(2)     dm_senesced(3)     dm_senesced(4)     dm_senesced(5)     dm_senesced(6)  dlt_dm_detached(1)  dlt_dm_detached(2)  dlt_dm_detached(3)  dlt_dm_detached(4)  dlt_dm_detached(5)  dlt_dm_detached(6)      p_green()         p_green(1)         p_green(2)         p_green(3)         p_green(4)         p_green(5)         p_green(6)        p_sen()           p_sen(1)           p_sen(2)           p_sen(3)           p_sen(4)           p_sen(5)           p_sen(6)       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p     deadleaf_p       flower_p         head_p   p_senesced()       p_dead()  dlt_p_green() dlt_p_retrans() dlt_p_detached()   dlt_p_dead()    dlt_p_sen()  p_conc_stover    p_conc_leaf    p_conc_stem   p_conc_grain p_uptake_stover grain_p_demand    surfaceom_p            esw           sw()             es         runoff          drain          no3()          nh4() uptake_p_maize()       fom_cp()  fom_p_pool3()  fom_p_pool2()  fom_p_pool1()        fom_p()        hum_p()       biom_p()  soil_test_p()       rock_p()    unavail_p()     labile_p()   p_state_soil P_above_ground p_state_system p_cum_error_system   p_dlt_system   p_state_crop   P_pl_up_diff  p_dlt_surface below_gnd_diff            esw           sw()             es         runoff          drain          no3()          nh4() uptake_p_maize()       fom_cp()  fom_p_pool3()  fom_p_pool2()  fom_p_pool1()        fom_p()        hum_p()       biom_p()  soil_test_p()       rock_p()    unavail_p()     labile_p()   p_state_soil P_above_ground p_state_system p_cum_error_system   p_dlt_system   p_state_crop   P_pl_up_diff  p_dlt_surface below_gnd_diff
             ()    (days)             ()        ()      (m^2/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)             ()           (mm)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()            (%)            (%)            (%)            (%)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)             (g/m^2)             (g/m^2)             (g/m^2)             (g/m^2)             (g/m^2)             (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)          (g/m^2)        (g/m^2)        (g/m^2)            (%)            (%)            (%)            (%)         (g/m^2)        (g/m^2)        (kg/ha)           (mm)        (mm/mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)          (kg/ha)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)             ()           (mm)        (mm/mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)          (kg/ha)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)             ()
     01/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.943        262.645          2.367          4.650          0.000          0.000         11.949         12.854            0.000       1400.000          0.398          2.715          0.703          3.816       2432.874         19.663         34.162          0.000        341.400         34.162          0.000          0.000          0.000              0.000          0.000          0.000          0.000          0.000          0.000        262.645          2.367          4.650          0.000          0.000         11.949         12.854            0.000       1400.000          0.398          2.715          0.703          3.816       2432.874         19.663         34.162          0.000        341.400         34.162          0.000          0.000          0.000              0.000          0.000          0.000          0.000          0.000          0.000
     02/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.907        258.166          2.336          4.479          0.000          0.000         15.447          8.681            0.000       1400.000          0.395          2.628          0.613          3.637       2432.846         19.870         34.198          0.000        341.400         34.198       2831.915          0.943       2832.858              0.000       2832.858          0.000          0.000          0.943       2831.915        258.166          2.336          4.479          0.000          0.000         15.447          8.681            0.000       1400.000          0.395          2.628          0.613          3.637       2432.846         19.870         34.198          0.000        341.400         34.198       2831.915          0.943       2832.858              0.000       2832.858          0.000          0.000          0.943       2831.915
     03/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.885        256.600          2.326          1.566          0.000          0.000         17.886          5.740            0.000       1400.000          0.393          2.540          0.531          3.463       2432.815         20.051         34.244          0.000        341.400         34.244       2831.951          0.907       2832.858              0.000          0.000          0.000          0.000         -0.036          0.036        256.600          2.326          1.566          0.000          0.000         17.886          5.740            0.000       1400.000          0.393          2.540          0.531          3.463       2432.815         20.051         34.244          0.000        341.400         34.244       2831.951          0.907       2832.858              0.000          0.000          0.000          0.000         -0.036          0.036
     04/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        255.439          2.319          1.161          0.000          0.000         19.647          3.664            0.000       1400.000          0.390          2.445          0.451          3.286       2432.778         20.208         34.305          0.000        341.401         34.305       2831.974          0.885       2832.858              0.000          0.000          0.000          0.000         -0.023          0.022        255.439          2.319          1.161          0.000          0.000         19.647          3.664            0.000       1400.000          0.390          2.445          0.451          3.286       2432.778         20.208         34.305          0.000        341.401         34.305       2831.974          0.885       2832.858              0.000          0.000          0.000          0.000         -0.023          0.022
     05/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        254.473          2.312          0.966          0.000          0.000         20.834          2.266            0.000       1400.000          0.387          2.346          0.379          3.112       2432.736         20.351         34.376          0.000        341.402         34.376       2831.978          0.881       2832.858             -0.000         -0.000          0.000          0.000         -0.004          0.004        254.473          2.312          0.966          0.000          0.000         20.834          2.266            0.000       1400.000          0.387          2.346          0.379          3.112       2432.736         20.351         34.376          0.000        341.402         34.376       2831.978          0.881       2832.858             -0.000         -0.000          0.000          0.000         -0.004          0.004
     06/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        253.628          2.307          0.845          0.000          0.000         21.604          1.368            0.000       1400.000          0.384          2.246          0.314          2.944       2432.692         20.484         34.454          0.000        341.404         34.454       2831.978          0.881       2832.858             -0.000          0.000          0.000          0.000          0.000          0.000        253.628          2.307          0.845          0.000          0.000         21.604          1.368            0.000       1400.000          0.384          2.246          0.314          2.944       2432.692         20.484         34.454          0.000        341.404         34.454       2831.978          0.881       2832.858             -0.000          0.000          0.000          0.000          0.000          0.000
     07/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.881        252.867          2.302          0.761          0.000          0.000         22.083          0.855            0.000       1400.000          0.381          2.146          0.259          2.786       2432.646         20.601         34.539          0.000        341.406         34.539       2831.978          0.881       2832.858              0.000          0.000          0.000          0.000          0.000          0.000        252.867          2.302          0.761          0.000          0.000         22.083          0.855            0.000       1400.000          0.381          2.146          0.259          2.786       2432.646         20.601         34.539          0.000        341.406         34.539       2831.978          0.881       2832.858              0.000          0.000          0.000          0.000          0.000          0.000
     08/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.831        266.883          2.389          5.983          0.000          0.000         22.167          0.468            0.000       1400.000          0.377          2.048          0.212          2.637       2432.602         20.765         34.614          0.000        341.409         34.614       2831.978          0.881       2832.858              0.000          0.000          0.000          0.000          0.000          0.000        266.883          2.389          5.983          0.000          0.000         22.167          0.468            0.000       1400.000          0.377          2.048          0.212          2.637       2432.602         20.765         34.614          0.000        341.409         34.614       2831.978          0.881       2832.858              0.000          0.000          0.000          0.000          0.000          0.000
     09/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.794        264.267          2.368          3.816          0.000          0.000         22.198          0.308            0.000       1400.000          0.374          1.956          0.174          2.504       2432.557         20.896         34.695          0.000        341.412         34.695       2832.028          0.831       2832.858             -0.000         -0.000          0.000          0.000         -0.050          0.050        264.267          2.368          3.816          0.000          0.000         22.198          0.308            0.000       1400.000          0.374          1.956          0.174          2.504       2432.557         20.896         34.695          0.000        341.412         34.695       2832.028          0.831       2832.858             -0.000         -0.000          0.000          0.000         -0.050          0.050
     10/01/1992         0          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000               0.000               0.000               0.000               0.000               0.000               0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.771        262.507          2.354          1.760          0.000          0.000         22.290          0.256            0.000       1400.000          0.371          1.869          0.143          2.383       2432.511         20.994         34.782          0.000        341.416         34.782       2832.064          0.794       2832.858             -0.000          0.000          0.000          0.000         -0.037          0.037        262.507          2.354          1.760          0.000          0.000         22.290          0.256            0.000       1400.000          0.371          1.869          0.143          2.383       2432.511         20.994         34.782          0.000        341.416         34.782       2832.064          0.794       2832.858             -0.000          0.000          0.000          0.000         -0.037          0.037
