Summary_file = intercropping.sum
Title = Canopy Sample Simulation
       day      year stage_sunflower  lai_sunflower biom_sunflower   stage_cowpea     lai_cowpea    biom_cowpea       sw_dep()
     (day)    (year)              ()      (m^2/m^2)        (kg/ha)             ()      (m^2/m^2)        (kg/ha)           (mm)
        10      1988           1.000          0.000          0.000          1.000          0.000          0.000        744.060
        11      1988           1.999          0.000          0.000          1.999          0.000          0.000        743.506
        12      1988           2.000          0.000          0.000          2.000          0.000          0.000        742.999
        13      1988           2.438          0.000          0.000          2.410          0.000          0.000        742.530
        14      1988           2.650          0.000          0.000          2.598          0.000          0.000        742.091
        15      1988           2.850          0.000          0.000          2.776          0.000          0.000        741.676
        16      1988           3.000          0.002         10.000          2.954          0.000          0.000        741.283
        17      1988           3.117          0.016         10.312          3.000          0.020          7.500        750.949
        18      1988           3.204          0.018         14.185          3.046          0.024          9.836        754.771
        19      1988           3.281          0.020         19.432          3.075          0.030         13.167        752.404
        20      1988           3.375          0.023         23.750          3.107          0.036         16.256        751.101
        21      1988           3.466          0.026         28.491          3.136          0.042         19.812        787.918
        22      1988           3.554          0.029         35.174          3.168          0.052         25.041        785.184
        23      1988           3.647          0.033         40.898          3.198          0.061         29.930        785.489
        24      1988           3.747          0.039         47.983          3.227          0.072         35.974        783.779
        25      1988           3.834          0.044         57.951          3.259          0.088         44.593        781.940
        26      1988           3.930          0.052         68.589          3.289          0.105         54.365        780.408
        27      1988           4.000          0.061         81.063          3.314          0.127         66.062        778.951
        28      1988           4.061          0.071         95.575          3.335          0.152         80.272        777.242
        29      1988           4.108          0.082        110.872          3.358          0.181         95.832        775.481
        30      1988           4.159          0.098        128.218          3.385          0.213        113.577        773.855
        31      1988           4.205          0.114        150.472          3.410          0.254        135.966        771.245
        32      1988           4.253          0.134        171.121          3.440          0.292        156.940        773.352
        33      1988           4.303          0.159        199.782          3.469          0.342        184.285        769.530
        34      1988           4.355          0.189        231.016          3.499          0.395        213.522        766.735
        35      1988           4.406          0.225        260.654          3.524          0.443        239.878        764.494
        36      1988           4.455          0.265        309.054          3.546          0.514        278.701        760.689
        37      1988           4.500          0.306        366.231          3.570          0.595        323.850        755.559
        38      1988           4.544          0.351        428.309          3.596          0.678        371.389        749.408
        39      1988           4.593          0.410        468.397          3.621          0.726        400.150        747.931
        40      1988           4.636          0.472        525.518          3.639          0.788        438.702        785.843
        41      1988           4.682          0.545        613.795          3.658          0.870        490.607        778.105
        42      1988           4.727          0.619        718.682          3.681          0.950        543.011        769.661
        43      1988           4.774          0.689        826.336          3.707          1.023        592.363        760.935
        44      1988           4.820          0.732        946.465          3.737          1.095        642.206        751.777
        45      1988           4.873          0.857       1040.595          3.763          1.148        679.005        801.681
        46      1988           4.925          0.996       1150.089          3.788          1.198        713.581        823.023
        47      1988           4.974          1.132       1284.430          3.810          1.250        750.022        819.468
        48      1988           5.000          1.236       1431.968          3.831          1.298        783.842        812.023
        49      1988           5.058          1.331       1568.128          3.852          1.340        814.159        805.307
        50      1988           5.091          1.401       1672.922          3.872          1.375        838.512        799.551
        51      1988           5.122          1.460       1792.737          3.896          1.415        867.145        791.371
        52      1988           5.147          1.501       1904.417          3.923          1.455        896.199        781.251
        53      1988           5.172          1.538       1992.781          3.950          1.490        921.290        774.757
        54      1988           5.197          1.569       2076.784          3.975          1.525        946.552        767.952
