Summary_file = RoseworthyMidLowN.sum
Title = Roseworthy Mid Sowing Low N
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957       316      1957        170.100          167.998          0.000       6214.668       1713.361          0.276          0.651         73.800          1.823          3.124         31.527          5.119            270
     25/11/1958       329      1958        285.800          284.568          0.000       9630.843       2614.957          0.272          0.627        104.327          1.459          3.816         26.938         90.222            284
     11/11/1959       315      1959        124.800          124.800          0.000       4580.190       1312.055          0.286          0.678         59.263          2.066          2.711         29.312          0.827            269
     25/11/1960       330      1960        278.600          278.354          0.000       9104.422       2581.837          0.284          0.635        109.198          1.462          3.775         25.638         60.885            286
     11/11/1961       315      1961        164.500          164.500          0.001       5811.530       1361.947          0.234          0.652         78.702          2.350          3.201         28.037          0.654            272
     14/11/1962       318      1962        226.000          226.000          0.000       6256.042       2142.977          0.343          0.716         78.106          1.801          3.859         31.524         45.469            269
     11/11/1963       315      1963        286.600          284.624          0.000       9259.517       2664.630          0.288          0.636        126.334          1.418          3.777         26.559         62.721            272
     17/11/1964       322      1964        269.900          269.900          0.000       9101.115       2692.472          0.296          0.651        107.875          1.450          3.904         31.214         53.585            275
     12/11/1965       316      1965        192.800          192.185          0.000       7820.334       2053.197          0.263          0.613        107.740          1.637          3.360         24.272          7.747            275
     23/11/1966       327      1966        239.900          238.522          0.000       8465.702       2345.807          0.277          0.624        112.855          1.484          3.482         29.349          5.667            284
     10/11/1967       314      1967        148.800          148.800          0.000       6634.367       1550.401          0.234          0.618         81.888          2.010          3.116         26.888          0.700            273
     20/11/1968       325      1968        377.500          374.640          0.000      10203.437       2835.337          0.278          0.638        122.554          1.436          4.071         27.240        131.737            283
     14/11/1969       318      1969        223.300          220.608          0.000       9596.812       2675.557          0.279          0.615        123.174          1.326          3.549         24.886         16.430            276
     19/11/1970       323      1970        243.300          243.249          0.000       8767.816       2475.278          0.282          0.638        106.384          1.484          3.672         26.477         37.862            277
     19/11/1971       323      1971        311.900          311.246          0.000      10032.637       2784.987          0.278          0.623        125.178          1.377          3.834         27.238         72.770            278
     09/11/1972       314      1972        185.900          185.900          0.000       7898.823       2108.979          0.267          0.607        106.025          1.563          3.296         25.480          2.909            268
     12/11/1973       316      1973        330.600          323.064          0.000       9140.118       2478.326          0.271          0.650        114.217          1.657          4.107         26.571        100.042            272
     18/11/1974       322      1974        275.400          274.565          0.000       9045.597       2742.299          0.303          0.655        102.751          1.430          3.921         29.412         62.930            275
     14/11/1975       318      1975        272.600          269.150          0.000       8368.348       2444.136          0.292          0.675         98.327          1.636          4.000         29.746         79.711            269
     14/11/1976       319      1976        211.400          211.400          0.000       6227.350       2198.689          0.353          0.715         75.614          1.694          3.725         33.091         33.265            273
     10/11/1977       314      1977        168.400          168.400          0.000       5774.620       1445.178          0.250          0.662         78.452          2.217          3.204         29.431          6.926            271
     20/11/1978       324      1978        404.500          390.497          0.000       9018.470       2481.717          0.275          0.636        109.833          1.517          3.765         29.688        167.530            279
     11/11/1979       315      1979        327.300          325.923          0.000       8951.383       2933.902          0.328          0.680         97.980          1.477          4.334         26.581        149.670            269
     07/11/1980       312      1980        314.000          312.879          0.000       7570.943       2162.004          0.286          0.674        105.850          1.799          3.890         28.270         94.623            267
     09/11/1981       313      1981        327.500          325.430          0.000       9258.525       2795.529          0.302          0.666        113.460          1.549          4.331         27.646        107.167            268
     11/11/1982       315      1982        138.900          138.900          0.001       3810.356       1079.793          0.283          0.706         53.857          2.452          2.647         30.103          0.385            270
     14/11/1983       318      1983        262.900          262.212          0.000       9329.123       2703.132          0.290          0.633        121.211          1.415          3.825         27.954         50.366            275
     16/11/1984       321      1984        291.700          291.653          0.000       9367.785       2713.494          0.290          0.643        103.866          1.478          4.011         27.475         87.830            276
     13/11/1985       317      1985        291.100          290.846          0.000      10080.285       2872.601          0.285          0.627        133.608          1.343          3.858         28.940         60.837            275
     16/11/1986       320      1986        323.400          322.669          0.000       9819.444       2750.184          0.280          0.638        109.847          1.447          3.980         27.168        108.245            274
     15/11/1987       319      1987        205.100          205.078          0.000       6501.713       1770.508          0.272          0.674         86.793          1.974          3.495         33.284         27.071            272
     04/11/1988       309      1988        240.900          238.871          0.000       8017.542       2283.267          0.285          0.645        116.104          1.591          3.634         28.521         27.288            267
     21/11/1989       325      1989        267.700          267.696          0.000       9192.598       2556.605          0.278          0.615        127.509          1.390          3.555         27.908         19.192            281
     07/11/1990       311      1990        258.200          256.814          0.000       9047.597       2633.729          0.291          0.653        124.565          1.524          4.013         27.523         24.533            269
     05/11/1991       309      1991        294.900          293.149          0.000       9154.152       2767.743          0.302          0.661        110.481          1.514          4.189         27.293         88.824            266
     17/11/1992       322      1992        389.600          387.827          0.000       9324.355       2698.021          0.289          0.645        106.181          1.502          4.053         25.816        168.975            277
     09/11/1993       313      1993        285.900          284.474          0.000       8012.799       2511.073          0.313          0.681        113.738          1.613          4.049         32.305         59.832            268
     11/11/1994       315      1994        175.600          173.120          0.000       6172.364       1615.920          0.262          0.649         79.116          1.995          3.224         25.775         14.584            271
     09/11/1995       313      1995        252.800          251.918          0.000       8625.645       2497.312          0.290          0.654        118.717          1.539          3.843         29.372         28.909            270
     10/11/1996       315      1996        334.400          332.870          0.000       9786.592       2871.371          0.293          0.659        118.942          1.488          4.273         26.767        101.731            270
     18/11/1997       322      1997        282.500          280.233          0.000       8089.271       2252.792          0.278          0.635        113.901          1.554          3.500         30.037         87.776            278
     16/11/1998       320      1998        245.100          245.025          0.000       7332.871       2120.401          0.289          0.664        110.781          1.746          3.701         28.297         25.890            275
     11/11/1999       315      1999        204.900          204.900          0.000       5245.977       1603.128          0.306          0.723         75.999          2.223          3.564         34.794         24.500            271
     14/11/2000       319      2000        296.200          295.389          0.000       9082.255       2601.762          0.286          0.641        122.549          1.503          3.909         28.135         68.241            274
     17/11/2001       321      2001        323.600          321.007          0.000       9793.969       3142.998          0.321          0.663        120.107          1.371          4.311         25.835         93.594            271
     12/11/2002       316      2002        156.100          156.100          0.000       4342.671        912.302          0.210          0.643         57.878          2.977          2.716         28.363          0.209            273
