Summary_file = Dalby600.sum
Title = Dalby 600mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     13/10/1957       286      1957        126.100          124.574          0.000       9821.578       2344.295          0.239          0.670        150.843          2.465          5.778         52.877         19.891
     09/10/1958       282      1958        324.400          273.634          0.001      11395.540       4259.544          0.374          0.727        180.273          1.507          6.419         53.457         96.623
     13/10/1959       286      1959        168.900          168.412          0.001       9274.315       2686.206          0.290          0.703        159.353          2.162          5.808         54.491         30.998
     16/10/1960       290      1960        111.300          111.300          0.001       8639.242       1835.456          0.212          0.660        140.217          2.963          5.438         53.106         19.399
     13/10/1961       286      1961        179.100          179.100          0.000       9738.547       2176.896          0.224          0.670        160.562          2.660          5.790         53.504         47.395
     11/10/1962       284      1962        154.400          154.400          0.000       9521.819       2346.745          0.246          0.686        154.613          2.497          5.861         54.821         19.483
     13/10/1963       286      1963        140.300          138.595          0.000       8689.847       2318.195          0.267          0.685        152.197          2.324          5.388         55.720         20.083
     11/10/1964       285      1964        314.000          296.079          0.001      10320.128       2881.665          0.279          0.682        169.491          1.987          5.725         54.977        133.925
     13/10/1965       286      1965        291.600          281.411          0.001      13417.146       4109.808          0.306          0.684        211.495          1.548          6.363         51.849         94.397
     18/10/1966       291      1966        237.300          234.250          0.001      12672.083       3619.053          0.286          0.651        211.846          1.567          5.671         54.231         44.580
     13/10/1967       286      1967        265.100          244.693          0.000      12279.219       3608.746          0.294          0.683        198.795          1.644          5.933         51.254         63.600
     20/10/1968       294      1968        146.800          146.208          0.000      12077.923       3033.536          0.251          0.624        182.009          1.788          5.423         51.339         21.091
     12/10/1969       285      1969        221.300          219.603          0.001      10266.702       3465.631          0.338          0.718        168.697          1.762          6.106         55.028         60.892
     14/10/1970       287      1970        124.400          124.087          0.000       6247.831       1562.390          0.250          0.465        114.052          2.111          3.299         58.351         52.301
     14/10/1971       287      1971        250.400          250.211          0.000      12660.786       3740.473          0.295          0.653        200.083          1.546          5.781         53.334         83.489
     11/10/1972       285      1972         70.600           70.600          0.001       5862.173       1089.750          0.186          0.483        101.445          3.096          3.374         57.917         33.686
     03/10/1973       276      1973        293.100          286.567          0.001       9930.117       4013.115          0.404          0.766        146.472          1.717          6.889         51.004        166.764
     18/10/1974       291      1974        235.000          230.781          0.000       9915.327       2828.443          0.285          0.678        157.161          1.937          5.479         56.441         81.705
     12/10/1975       285      1975        177.700          177.396          0.000      12135.483       3832.346          0.316          0.664        187.769          1.510          5.787         53.530         30.619
     15/10/1976       289      1976        195.200          194.939          0.000       8848.925       2329.521          0.263          0.671        136.821          2.345          5.464         55.426         79.048
     13/10/1977       286      1977        104.800           93.672          0.001       7892.517       1657.856          0.210          0.634        138.740          2.950          4.891         56.068         23.123
     19/10/1978       292      1978        298.100          294.812          0.001      12766.751       4458.456          0.349          0.698        179.649          1.422          6.342         52.515        122.489
     10/10/1979       283      1979        205.000          176.169          0.000      10367.796       2661.801          0.257          0.664        170.120          2.133          5.677         52.918         36.593
     05/10/1980       279      1980         89.600           88.141          0.001       8170.478       1746.302          0.214          0.637        131.984          3.008          5.253         55.758         19.385
     12/10/1981       285      1981        217.700          207.920          0.000      12580.429       3304.091          0.263          0.643        191.908          1.706          5.637         52.544         26.511
     16/10/1982       289      1982        133.300          133.115          0.001       6980.230       1563.121          0.224          0.628        119.820          2.920          4.564         54.317         50.104
     08/10/1983       281      1983        263.400          223.438          0.001      11724.494       3875.411          0.331          0.697        173.000          1.575          6.105         51.661         80.208
     15/10/1984       289      1984        295.800          284.891          0.000      12245.163       3919.842          0.320          0.691        181.564          1.602          6.280         51.019        127.956
     17/10/1985       290      1985        245.200          237.569          0.001      12718.438       3504.226          0.276          0.646        207.137          1.617          5.667         53.942         45.826
     09/10/1986       282      1986         98.600           98.600          0.001       8525.424       1869.317          0.219          0.653        127.458          2.944          5.503         54.298         19.443
     08/10/1987       281      1987        122.000          120.631          0.000      10268.854       2492.886          0.243          0.676        162.963          2.371          5.911         54.514         21.014
     03/10/1988       277      1988        243.200          237.814          0.001      12048.270       3581.445          0.297          0.681        189.652          1.683          6.027         53.392         71.660
     12/10/1989       285      1989        101.800          101.800          0.001       8107.773       1848.350          0.228          0.695        121.246          3.112          5.752         57.140         19.508
     12/10/1990       285      1990        264.200          244.494          0.000      11140.242       2855.224          0.256          0.652        168.540          1.981          5.656         54.331         83.580
     01/10/1991       274      1991         41.400           41.400          0.001       6306.085       1454.372          0.231          0.551        108.729          2.830          4.116         63.691         19.340
     15/10/1992       289      1992        129.600          129.600          0.001       7955.830       2242.755          0.282          0.687        147.209          2.218          4.975         56.036         19.402
     06/10/1993       279      1993        137.800          137.800          0.000       8010.329       2283.664          0.285          0.750        136.900          2.690          6.142         55.571         41.730
     17/10/1994       290      1994         80.200           79.923          0.000       5910.040       1115.172          0.189          0.491        109.686          3.107          3.465         56.566         19.197
     10/10/1995       283      1995        164.400          157.014          0.000       8328.403       2091.560          0.251          0.701        145.683          2.641          5.525         57.377         34.112
     10/10/1996       284      1996        159.400          159.400          0.000       8736.312       2371.654          0.271          0.729        140.861          2.597          6.159         55.566         55.112
     09/10/1997       282      1997        163.000          160.739          0.000       7390.695       1857.811          0.251          0.615        125.007          2.462          4.574         57.867         82.892
     06/10/1998       279      1998        279.800          272.268          0.000      10970.834       3741.837          0.341          0.718        152.866          1.733          6.484         52.370        156.559
     07/10/1999       280      1999        143.000          142.978          0.000       9612.520       2668.925          0.278          0.699        155.919          2.221          5.929         54.881         21.113
     09/10/2000       283      2000         59.600           59.185          0.001       6465.195       1306.052          0.202          0.556        110.483          2.986          3.899         61.056         19.293
     09/10/2001       282      2001         45.500           45.500          0.000       6136.251       1285.651          0.210          0.552        107.130          3.154          4.055         54.754         19.068
     09/10/2002       282      2002        132.800          132.183          0.000       7843.125       1968.482          0.251          0.694        152.706          2.660          5.236         55.949         19.552
