Summary_file = 
Title = Canopy Sample Simulation
           Date       sw_dep()     lai_cowpea      lai_maize  cover_tot_sum    biom_cowpea     biom_maize
            (?)           (mm)      (m^2/m^2)      (m^2/m^2)             ()        (kg/ha)        (kg/ha)
     01/01/1988       1202.756          0.000          0.000          0.000          0.000          0.000
     02/01/1988       1202.515          0.000          0.000          0.000          0.000          0.000
     03/01/1988       1202.275          0.000          0.000          0.000          0.000          0.000
     04/01/1988       1231.208          0.000          0.000          0.000          0.000          0.000
     05/01/1988       1229.403          0.000          0.000          0.000          0.000          0.000
     06/01/1988       1226.668          0.000          0.000          0.000          0.000          0.000
     07/01/1988       1225.250          0.000          0.000          0.000          0.000          0.000
     08/01/1988       1224.151          0.000          0.000          0.000          0.000          0.000
     09/01/1988       1223.221          0.000          0.000          0.000          0.000          0.000
     10/01/1988       1222.401          0.000          0.000          0.000          0.000          0.000
     11/01/1988       1221.658          0.000          0.000          0.000          0.000          0.000
     12/01/1988       1220.974          0.000          0.004          0.000          0.000          2.000
     13/01/1988       1220.327          0.000          0.005          0.002          0.000          2.592
     14/01/1988       1219.713          0.000          0.005          0.002          0.000          3.341
     15/01/1988       1219.130          0.000          0.006          0.002          0.000          4.136
     16/01/1988       1228.360          0.020          0.007          0.002          7.500          4.684
     17/01/1988       1231.084          0.024          0.008          0.012          9.836          5.679
     18/01/1988       1227.455          0.030          0.010          0.015         13.167          7.125
     19/01/1988       1225.854          0.036          0.013          0.018         16.316          8.464
     20/01/1988       1290.318          0.043          0.016          0.022         19.963         10.089
     21/01/1988       1285.630          0.053          0.020          0.026         25.362         12.612
     22/01/1988       1285.577          0.062          0.024          0.032         30.450         15.009
     23/01/1988       1283.727          0.073          0.030          0.038         36.793         18.114
     24/01/1988       1282.081          0.090          0.038          0.045         45.934         22.770
     25/01/1988       1280.675          0.109          0.046          0.056         56.425         28.214
     26/01/1988       1279.367          0.132          0.055          0.067         69.173         34.865
     27/01/1988       1277.928          0.161          0.064          0.081         84.934         42.894
     28/01/1988       1276.481          0.193          0.075          0.096        102.526         51.413
     29/01/1988       1275.159          0.230          0.089          0.113        123.011         61.018
     30/01/1988       1273.172          0.278          0.105          0.133        149.511         73.234
     31/01/1988       1275.414          0.325          0.126          0.158        175.037         84.509
     01/02/1988       1271.104          0.387          0.151          0.183        209.319         99.840
     02/02/1988       1269.093          0.457          0.180          0.214        247.377        116.650
     03/02/1988       1267.471          0.522          0.209          0.248        283.225        132.286
     04/02/1988       1264.694          0.622          0.240          0.278        338.643        156.329
     05/02/1988       1260.804          0.739          0.275          0.319        407.041        184.071
     06/02/1988       1255.995          0.862          0.317          0.364        483.568        212.983
     07/02/1988       1254.882          0.938          0.360          0.409        532.872        230.698
     08/02/1988       1299.141          1.043          0.399          0.439        603.786        257.133
     09/02/1988       1292.133          1.193          0.445          0.474        706.888        293.434
     10/02/1988       1284.550          1.356          0.499          0.518        821.507        331.066
     11/02/1988       1277.077          1.509          0.560          0.563        930.490        367.767
     12/02/1988       1269.109          1.665          0.631          0.602       1044.107        404.610
     13/02/1988       1330.077          1.779          0.682          0.640       1128.611        430.937
     14/02/1988       1354.197          1.904          0.730          0.666       1221.913        458.028
     15/02/1988       1352.137          2.056          0.784          0.691       1337.800        489.636
     16/02/1988       1346.590          2.218          0.833          0.718       1461.921        520.476
     17/02/1988       1341.391          2.382          0.873          0.743       1588.745        549.108
     18/02/1988       1336.724          2.531          0.903          0.766       1703.063        572.138
     19/02/1988       1329.528          2.726          0.937          0.784       1852.751        599.095
     20/02/1988       1319.220          2.938          0.966          0.805       2016.011        625.140
     21/02/1988       1312.734          3.131          0.987          0.826       2164.425        646.101
     22/02/1988       1305.376          3.339          1.005          0.842       2324.175        665.930
     23/02/1988       1296.570          3.563          1.021          0.857       2498.857        685.261
     24/02/1988       1288.451          3.755          1.034          0.873       2658.857        701.818
     25/02/1988       1285.117          3.909          1.038          0.885       2777.608        710.670
     26/02/1988       1283.984          3.994          1.035          0.893       2861.437        716.492
     27/02/1988       1281.209          4.134          1.033          0.897       2999.485        725.813
     28/02/1988       1276.649          4.287          1.032          0.903       3156.066        735.742
     29/02/1988       1286.037          4.350          1.027          0.910       3227.749        739.981
     01/03/1988       1304.214          4.449          1.025          0.913       3337.433        746.349
     02/03/1988       1308.524          4.521          1.020          0.917       3427.249        751.371
