Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date             es            eos             eo          drain   infiltration            esw             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     09/04/1980          0.077          0.077          1.677          0.000         25.000        285.023             13.399             16.650             19.020             10.740              6.525              7.826              6.013       9749.908          0.000          0.000          0.000          0.000          0.000          0.000
     10/04/1980          0.102          0.102          2.065          0.000         30.870        315.790              7.429             17.670             20.796             10.991              6.874              8.195              6.270       9506.071          0.000          0.000          0.000          0.000          0.000          0.000
     11/04/1980          0.183          0.183          3.421          0.000         12.000        327.607              3.199             16.446             22.553             11.583              7.176              8.478              6.490       9268.333          0.000          0.000          0.000          0.000          0.000          0.000
     12/04/1980          0.135          0.135          2.347          0.000          6.000        333.472              1.005             15.404             23.439             11.982              7.432              8.695              6.677       9117.257          0.000          0.000          0.000          0.000          0.000          0.000
     13/04/1980          0.236          0.236          3.919          0.164         43.937        377.008              0.237              9.925             23.160             15.595              9.448              9.065              6.885       9076.142          0.000          0.000          0.000          0.000          0.000          0.000
     14/04/1980          0.215          0.215          3.523          1.204         19.463        395.052              0.091              7.924             22.218             16.275             10.183             10.013              7.326       9055.325          0.000          0.000          0.000          0.000          0.000          0.000
     15/04/1980          0.319          0.319          5.182          3.520         13.000        404.213              0.058              6.779             21.429             16.601             10.623             10.026              8.111       9039.333          0.000          0.000          0.000          0.000          0.000          0.000
     16/04/1980          0.332          0.332          5.379         14.705         17.742        406.918              0.048              5.520             20.245             16.894             11.199             10.108              8.488       9024.420          0.000          0.000          0.000          0.000          0.000          0.000
     17/04/1980          0.165          0.165          2.653          4.668          5.000        407.085              0.045              5.215             19.854             16.901             11.309             10.110              8.542       9009.444          0.000          0.000          0.000          0.000          0.000          0.000
     18/04/1980          0.190          0.190          3.042          4.835          5.000        407.060              0.044              4.921             19.450             16.896             11.418             10.113              8.590       8994.504          0.000          0.000          0.000          0.000          0.000          0.000
     19/04/1980          0.145          0.145          2.308         28.548         28.738        407.105              0.040              3.605             17.404             16.874             12.185             10.393              8.892       8980.015          0.000          0.000          0.000          0.000          0.000          0.000
     20/04/1980          0.331          0.331          5.256          4.196          0.000        402.578              0.075              3.585             17.091             16.742             12.199             10.394              8.921       8965.344          0.000          0.000          0.000          0.000          0.000          0.000
     21/04/1980          0.392          0.392          6.206          4.186          0.000        398.000              0.118              3.594             16.861             16.603             12.202             10.388              8.944       8949.035          0.000          0.000          0.000          0.000          0.000          0.000
     22/04/1980          0.197          0.197          3.094          4.167          1.000        394.636              0.129              3.625             16.677             16.469             12.195             10.377              8.962       8930.926          0.000          0.000          0.000          0.000          0.000          0.000
     23/04/1980          0.138          0.138          2.166          4.138          8.000        398.360              0.067              3.484             16.563             16.383             12.188             10.362              8.975       8913.197          0.000          0.000          0.000          0.000          0.000          0.000
     24/04/1980          0.246          0.246          3.836         28.069         36.959        407.004              0.045              2.392             14.412             16.150             12.877             10.755              9.268       8899.271          0.000          0.000          0.000          0.000          0.000          0.000
     25/04/1980          0.351          0.351          5.444          4.196          0.000        402.456              0.078              2.404             14.140             15.968             12.842             10.750              9.279       8884.934          0.000          0.000          0.000          0.000          0.000          0.000
     26/04/1980          0.346          0.346          5.345          4.186          0.000        397.923              0.123              2.441             13.938             15.783             12.798             10.738              9.285       8868.575          0.000          0.000          0.000          0.000          0.000          0.000
     27/04/1980          0.340          0.340          5.214          4.167          0.000        393.417              0.173              2.507             13.775             15.603             12.741             10.716              9.285       8849.949          0.000          0.000          0.000          0.000          0.000          0.000
     28/04/1980          0.243          0.243          3.717          4.140         13.998        403.031              0.084              2.302             13.586             15.548             12.709             10.693              9.281       8829.374          0.000          0.000          0.000          0.000          0.000          0.000
     29/04/1980          0.230          0.230          3.495          7.781         12.000        407.020              0.057              2.044             12.833             15.394             12.917             10.799              9.340       8811.984          0.000          0.000          0.000          0.000          0.000          0.000
     30/04/1980          0.134          0.134          2.028          4.197          4.000        406.688              0.048              1.996             12.566             15.225             12.868             10.789              9.340       8795.691          0.000          0.000          0.000          0.000          0.000          0.000
     01/05/1980          0.203          0.203          3.043          4.190          1.000        403.295              0.056              2.011             12.339             15.034             12.814             10.774              9.338       8780.147          0.000          0.000          0.000          0.000          0.000          0.000
     02/05/1980          0.238          0.238          3.554          4.176          0.000        398.882              0.085              2.044             12.176             14.849             12.753             10.755              9.334       8764.769          0.000          0.000          0.000          0.000          0.000          0.000
