Summary_file = sorghum.sum
Title = sorghum Sample Simulation
      year today.dd/mm/yyyy       das          stage            lai        biomass          yield      biomass_n    swdef_expan    nfact_expan    swdef_pheno    nfact_pheno   dlt_dm_light   dlt_dm_water         dlt_dm  extinct_coeff
    (year)               ()    (days)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)         (g/m2)             ()             ()             ()             ()        (g/m^2)        (g/m^2)        (g/m^2)             ()
      1989       01/11/1989         1          1.999          0.000          0.000          0.000          0.000          0.000          1.000          0.000          1.000          0.000          0.000          0.000          0.000
      1989       02/11/1989         2          2.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          1.000          0.000          0.000          0.000          0.000
      1989       03/11/1989         3          2.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          1.000          0.000          0.000          0.000          0.000
      1989       04/11/1989         4          2.327          0.000          0.000          0.000          0.000          1.000          1.000          1.000          1.000          0.000          0.094          0.000          0.000
      1989       05/11/1989         5          2.661          0.000          0.000          0.000          0.000          1.000          1.000          1.000          1.000          0.000          0.422          0.000          0.000
      1989       06/11/1989         6          2.991          0.000          0.000          0.000          0.000          1.000          1.000          1.000          1.000          0.000          1.469          0.000          0.000
      1989       07/11/1989         7          3.000          0.002         20.000          0.000          0.051          1.000          1.000          1.000          1.000          0.000          2.620          0.000          0.000
      1989       08/11/1989         8          3.152          0.045         20.236          0.000          0.081          1.000          0.785          1.000          1.000          0.024          2.558          0.024          0.000
      1989       09/11/1989         9          3.256          0.045         24.260          0.000          0.111          1.000          1.000          1.000          1.000          0.402          2.876          0.402          0.000
      1989       10/11/1989        10          3.351          0.045         28.789          0.000          0.136          1.000          1.000          1.000          1.000          0.453          4.502          0.453          0.000
      1989       11/11/1989        11          3.456          0.045         32.833          0.000          0.157          1.000          1.000          1.000          1.000          0.404          8.293          0.404          0.000
      1989       12/11/1989        12          3.568          0.046         38.042          0.000          0.175          1.000          1.000          1.000          1.000          0.521          7.670          0.521          0.000
      1989       13/11/1989        13          3.688          0.054         42.322          0.000          0.189          1.000          1.000          1.000          1.000          0.428          9.801          0.428          0.000
      1989       14/11/1989        14          3.819          0.065         48.348          0.000          0.202          1.000          1.000          1.000          1.000          0.603         12.019          0.603          0.000
      1989       15/11/1989        15          3.947          0.077         55.768          0.000          0.218          1.000          1.000          1.000          1.000          0.742         13.011          0.742          0.000
      1989       16/11/1989        16          4.000          0.092         64.192          0.000          0.238          1.000          1.000          1.000          1.000          0.842         14.980          0.842          0.000
      1989       17/11/1989        17          4.144          0.112         74.491          0.000          0.263          1.000          1.000          1.000          1.000          1.030         16.305          1.030          0.000
      1989       18/11/1989        18          4.236          0.137         83.982          0.000          0.294          1.000          1.000          1.000          1.000          0.949         25.990          0.949          0.000
      1989       19/11/1989        19          4.319          0.164         94.351          0.000          0.329          1.000          1.000          1.000          1.000          1.037         41.577          1.037          0.000
      1989       20/11/1989        20          4.386          0.188        109.599          0.000          0.369          1.000          1.000          1.000          1.000          1.525         53.698          1.525          0.000
      1989       21/11/1989        21          4.446          0.214        130.262          0.000          0.415          1.000          1.000          1.000          1.000          2.066         38.429          2.066          0.000
      1989       22/11/1989        22          4.505          0.242        153.519          0.000          0.466          1.000          1.000          1.000          1.000          2.326         44.280          2.326          0.000
      1989       23/11/1989        23          4.558          0.270        175.406          0.000          0.519          1.000          1.000          1.000          1.000          2.189         48.499          2.189          0.000
      1989       24/11/1989        24          4.629          0.312        203.472          0.000          0.587          1.000          1.000          1.000          1.000          2.807         46.754          2.807          0.000
      1989       25/11/1989        25          4.701          0.361        237.450          0.000          0.668          1.000          1.000          1.000          1.000          3.398         49.006          3.398          0.000
      1989       26/11/1989        26          4.764          0.410        274.944          0.000          0.759          1.000          1.000          1.000          1.000          3.749         49.152          3.749          0.000
      1989       27/11/1989        27          4.836          0.471        318.276          0.000          0.864          1.000          1.000          1.000          1.000          4.333         56.317          4.333          0.000
      1989       28/11/1989        28          4.895          0.528        367.386          0.000          0.977          1.000          1.000          1.000          1.000          4.911         57.271          4.911          0.000
      1989       29/11/1989        29          4.958          0.594        425.343          0.000          1.106          1.000          1.000          1.000          1.000          5.796         53.367          5.796          0.000
      1989       30/11/1989        30          5.000          0.664        492.594          0.000          1.245          1.000          1.000          1.000          1.000          6.725         48.667          6.725          0.000
      1989       01/12/1989        31          5.048          0.745        566.338          0.000          1.401          1.000          1.000          1.000          1.000          7.374         47.174          7.374          0.000
      1989       02/12/1989        32          5.090          0.851        646.493          0.000          1.587          1.000          1.000          1.000          1.000          8.015         41.195          8.015          0.000
      1989       03/12/1989        33          5.141          0.988        730.337          0.000          1.807          1.000          1.000          1.000          1.000          8.384         46.662          8.384          0.000
      1989       04/12/1989        34          5.193          1.142        812.722          0.000          2.057          1.000          1.000          1.000          1.000          8.239         46.847          8.239          0.000
      1989       05/12/1989        35          5.236          1.275        871.569          0.000          2.288          1.000          1.000          1.000          1.000          5.885        120.811          5.885          0.000
      1989       06/12/1989        36          5.284          1.430        986.595          0.000          2.571          1.000          1.000          1.000          1.000         11.503         61.473         11.503          0.000
      1989       07/12/1989        37          5.333          1.596       1119.198          0.000          2.883          1.000          1.000          1.000          1.000         13.260         57.992         13.260          0.000
      1989       08/12/1989        38          5.377          1.743       1263.225          0.000          3.198          1.000          1.000          1.000          1.000         14.403         66.665         14.403          0.000
      1989       09/12/1989        39          5.418          1.877       1403.539          0.000          3.507          1.000          1.000          1.000          1.000         14.031         52.839         14.031          0.000
      1989       10/12/1989        40          5.462          2.019       1571.475          0.000          3.828          1.000          1.000          1.000          1.000         16.794         51.746         16.794          0.000
      1989       11/12/1989        41          5.508          2.162       1755.639          0.000          4.163          1.000          1.000          1.000          1.000         18.416         40.617         18.416          0.000
      1989       12/12/1989        42          5.557          2.301       1942.013          0.000          4.490          1.000          1.000          1.000          1.000         18.637         41.130         18.637          0.000
      1989       13/12/1989        43          5.608          2.436       2128.684          0.000          4.805          1.000          1.000          1.000          1.000         18.667         46.120         18.667          0.000
      1989       14/12/1989        44          5.656          2.548       2257.800          0.000          5.060          1.000          1.000          1.000          1.000         12.912         95.155         12.912          0.000
      1989       15/12/1989        45          5.695          2.631       2397.771          0.000          5.287          1.000          1.000          1.000          1.000         13.997         98.202         13.997          0.000
      1989       16/12/1989        46          5.731          2.699       2564.321          0.000          5.497          1.000          1.000          1.000          1.000         16.655        121.870         16.655          0.000
      1989       17/12/1989        47          5.764          2.756       2752.259          0.000          5.702          1.000          1.000          1.000          1.000         18.794         96.006         18.794          0.000
      1989       18/12/1989        48          5.800          2.812       2965.011          0.000          5.908          1.000          1.000          1.000          1.000         21.275         73.712         21.275          0.000
      1989       19/12/1989        49          5.838          2.864       3189.141          0.000          6.114          1.000          1.000          1.000          1.000         22.413         60.128         22.413          0.000
      1989       20/12/1989        50          5.881          2.914       3421.938          0.000          6.316          1.000          1.000          1.000          1.000         23.280         45.603         23.280          0.000
      1989       21/12/1989        51          5.926          2.958       3662.122          0.000          6.507          1.000          1.000          1.000          1.000         24.018         38.914         24.018          0.000
      1989       22/12/1989        52          5.973          2.996       3874.905          0.000          6.657          1.000          1.000          1.000          1.000         21.278         46.767         21.278          0.000
      1989       23/12/1989        53          6.000          2.987       4063.970          0.000          6.763          1.000          1.000          1.000          1.000         18.907         62.037         18.907          0.000
      1989       24/12/1989        54          6.194          2.977       4269.303          0.000          6.895          1.000          1.000          1.000          1.000         20.533         82.815         20.533          0.000
      1989       25/12/1989        55          6.318          2.968       4447.489          0.000          7.031          1.000          1.000          1.000          1.000         17.819         98.850         17.819          0.000
      1989       26/12/1989        56          6.457          2.957       4660.832          0.000          7.190          1.000          1.000          1.000          1.000         21.334         63.068         21.334          0.000
      1989       27/12/1989        57          6.598          2.944       4891.787          0.000          7.362          1.000          1.000          1.000          1.000         23.096         61.425         23.096          0.000
      1989       28/12/1989        58          6.724          2.932       5121.544          0.000          7.537          1.000          1.000          1.000          1.000         22.976         63.022         22.976          0.000
      1989       29/12/1989        59          6.847          2.920       5354.347          0.000          7.714          1.000          1.000          1.000          1.000         23.280         59.334         23.280          0.000
      1989       30/12/1989        60          6.968          2.906       5585.068          0.000          7.888          1.000          1.000          1.000          1.000         23.072         59.988         23.072          0.000
      1989       31/12/1989        61          7.000          2.892       5818.572          0.000          8.073          1.000          1.000          1.000          1.000         23.350         53.147         23.350          0.000
      1990       01/01/1990        62          8.000          2.875       6053.770         58.800          8.078          1.000          1.000          1.000          1.000         23.520         48.334         23.520          0.000
      1990       02/01/1990        63          8.038          2.859       6297.239        119.667          8.078          1.000          1.000          1.000          1.000         24.347         39.584         24.347          0.000
      1990       03/01/1990        64          8.071          2.841       6538.588        180.004          8.079          1.000          1.000          1.000          1.000         24.135         37.602         24.135          0.000
      1990       04/01/1990        65          8.107          2.822       6777.680        239.777          8.079          1.000          1.000          1.000          1.000         23.909         31.417         23.909          0.000
      1990       05/01/1990        66          8.142          2.796       6977.363        289.698          8.080          1.000          1.000          1.000          1.000         19.968         59.562         19.968          0.000
      1990       06/01/1990        67          8.175          2.770       7185.975        546.157          8.081          1.000          1.000          1.000          1.000         20.861         45.364         20.861          0.000
      1990       07/01/1990        68          8.211          2.742       7402.754        820.000          8.082          1.000          1.000          1.000          1.000         21.678         42.215         21.678          0.000
      1990       08/01/1990        69          8.245          2.713       7623.231       1087.040          8.082          1.000          1.000          1.000          1.000         22.048         38.249         22.048          0.000
      1990       09/01/1990        70          8.277          2.681       7829.917       1338.578          8.083          1.000          1.000          1.000          1.000         20.669         45.321         20.669          0.000
      1990       10/01/1990        71          8.308          2.646       8023.874       1579.600          8.084          1.000          1.000          1.000          1.000         19.396         46.569         19.396          0.000
      1990       11/01/1990        72          8.338          2.610       8173.488       1793.649          8.085          1.000          1.000          1.000          1.000         14.961         85.676         14.961          0.000
      1990       12/01/1990        73          8.367          2.572       8352.406       2018.668          8.086          1.000          1.000          1.000          1.000         17.892         61.205         17.892          0.000
      1990       13/01/1990        74          8.399          2.533       8535.782       2262.479          8.087          1.000          1.000          1.000          1.000         18.338         32.444         18.338          0.000
      1990       14/01/1990        75          8.436          2.491       8716.691       2526.856          8.088          1.000          1.000          1.000          1.000         18.091         29.484         18.091          0.000
      1990       15/01/1990        76          8.472          2.442       8916.885       2794.021          8.089          1.000          1.000          1.000          1.000         20.019         36.767         20.019          0.000
      1990       16/01/1990        77          8.501          2.393       9074.452       3011.687          8.090          1.000          1.000          1.000          1.000         15.757         65.778         15.757          0.000
      1990       17/01/1990        78          8.530          2.345       9237.701       3228.324          8.091          1.000          1.000          1.000          1.000         16.325         49.851         16.325          0.000
      1990       18/01/1990        79          8.561          2.288       9416.920       3462.169          8.092          1.000          1.000          1.000          1.000         17.922         58.876         17.922          0.000
      1990       19/01/1990        80          8.591          2.232       9597.710       3692.502          8.093          1.000          1.000          1.000          1.000         18.079         52.274         18.079          0.000
      1990       20/01/1990        81          8.624          2.174       9784.666       3937.755          8.094          1.000          1.000          1.000          1.000         18.696         39.774         18.696          0.000
      1990       21/01/1990        82          8.658          2.109       9957.972       4184.974          8.095          1.000          1.000          1.000          1.000         17.331         43.072         17.331          0.000
      1990       22/01/1990        83          8.691          2.039      10124.955       4428.819          8.096          1.000          1.000          1.000          1.000         16.698         48.924         16.698          0.000
      1990       23/01/1990        84          8.722          1.971      10295.407       4656.647          8.097          1.000          1.000          1.000          1.000         17.045         54.085         17.045          0.000
      1990       24/01/1990        85          8.748          1.916      10463.423       4860.278          8.098          1.000          1.000          1.000          1.000         16.802         45.661         16.802          0.000
      1990       25/01/1990        86          8.778          1.850      10636.513       5085.437          8.099          1.000          1.000          1.000          1.000         17.309         37.954         17.309          0.000
      1990       26/01/1990        87          8.808          1.784      10804.644       5178.751          8.100          1.000          1.000          1.000          1.000         16.813         35.911         16.813          0.000
      1990       27/01/1990        88          8.842          1.724      10980.587       5287.948          8.101          1.000          1.000          1.000          1.000         17.594         22.160         17.594          0.000
      1990       28/01/1990        89          8.881          1.664      11145.172       5408.562          8.102          1.000          1.000          1.000          1.000         16.459         19.691         16.459          0.000
      1990       29/01/1990        90          8.917          1.575      11251.439       5520.737          8.103          1.000          1.000          1.000          1.000         10.627         60.878         10.627          0.000
      1990       30/01/1990        91          8.948          1.496      11371.238       5619.511          8.104          1.000          1.000          1.000          1.000         11.980         63.124         11.980          0.000
      1990       31/01/1990        92          8.975          1.433      11499.104       5703.891          8.105          1.000          1.000          1.000          1.000         12.787         35.135         12.787          0.000
      1990       01/02/1990        93          9.000          1.367      11571.660       5791.745          8.105          1.000          1.000          1.000          1.000          7.256         50.799          7.256          0.000
      1990       02/02/1990        94          9.633          1.290      11643.739       5890.022          8.106          1.000          1.000          1.000          1.000          7.208         63.921          7.208          0.000
      1990       03/02/1990        95         10.000          1.230      11704.704       5890.022          8.107          1.000          1.000          1.000          1.000          6.096        119.816          6.096          0.000
      1990       04/02/1990        96         11.000          0.000      11704.704       5890.022          8.412          1.000          1.000          1.000          1.000          0.000         39.977          0.000          0.000
