Summary_file=soybean.sum
Title =soybean sample simulation
    day   year            lai        biomass  green_biomass
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
    320   1988          0.000          0.000          0.000
    321   1988          0.000          0.000          0.000
    322   1988          0.000          0.000          0.000
    323   1988          0.000          0.000          0.000
    324   1988          0.000          0.000          0.000
    325   1988          0.000          0.000          0.000
    326   1988          0.000          0.000          0.000
    327   1988          0.000          0.000          0.000
    328   1988          0.000          0.000          0.000
    329   1988          0.000          0.000          0.000
    330   1988          0.000          0.000          0.000
    331   1988          0.000          0.000          0.000
    332   1988          0.000          0.000          0.000
    333   1988          0.000          0.000          0.000
    334   1988          0.000          0.000          0.000
    335   1988          0.025         50.000         50.000
    336   1988          0.033         53.559         53.559
    337   1988          0.043         58.117         58.117
    338   1988          0.053         63.149         63.149
    339   1988          0.069         70.477         70.477
    340   1988          0.090         79.894         79.894
    341   1988          0.113         90.923         90.923
    342   1988          0.135        100.894        100.894
    343   1988          0.157        111.155        111.155
    344   1988          0.193        127.603        127.603
    345   1988          0.239        149.108        149.108
    346   1988          0.302        178.997        178.997
    347   1988          0.363        209.248        209.248
    348   1988          0.417        250.395        250.395
    349   1988          0.465        298.708        298.708
    350   1988          0.527        348.618        348.618
    351   1988          0.594        387.349        387.349
    352   1988          0.648        414.726        414.726
    353   1988          0.704        446.794        446.794
    354   1988          0.784        514.539        514.539
    355   1988          0.934        591.946        591.946
    356   1988          1.099        685.649        685.649
    357   1988          1.261        783.114        783.114
    358   1988          1.441        893.028        893.028
    359   1988          1.632       1010.908       1010.908
    360   1988          1.845       1144.725       1144.725
    361   1988          2.072       1290.408       1290.408
    362   1988          2.249       1405.618       1405.618
    363   1988          2.487       1560.819       1560.819
    364   1988          2.703       1701.456       1701.456
    365   1988          2.898       1828.718       1828.718
    366   1988          3.086       1950.855       1950.855
      1   1989          3.277       2075.223       2075.223
      2   1989          3.407       2159.589       2159.589
      3   1989          3.570       2266.137       2266.137
      4   1989          3.759       2388.912       2388.912
      5   1989          3.953       2515.395       2515.395
      6   1989          4.073       2593.275       2593.275
      7   1989          4.222       2691.931       2691.190
      8   1989          4.386       2803.735       2800.654
      9   1989          4.542       2913.694       2906.384
     10   1989          4.713       3037.906       3024.455
     11   1989          4.845       3141.696       3119.859
     12   1989          4.995       3260.252       3228.189
     13   1989          5.135       3377.280       3332.813
     14   1989          5.268       3494.323       3435.309
     15   1989          5.393       3633.675       3557.983
     16   1989          5.529       3786.966       3692.519
     17   1989          5.678       3956.642       3841.084
     18   1989          5.842       4144.290       4004.929
     19   1989          5.999       4334.036       4167.792
     20   1989          6.127       4509.014       4312.815
     21   1989          6.239       4684.430       4453.053
     22   1989          6.330       4842.945       4576.676
     23   1989          6.394       4985.053       4681.939
     24   1989          6.449       5123.680       4782.329
     25   1989          6.586       5329.415       4948.610
     26   1989          6.701       5525.931       5102.579
     27   1989          6.786       5705.401       5236.827
     28   1989          6.906       5917.172       5401.362
     29   1989          6.968       6091.403       5525.455
     30   1989          6.744       6202.312       5522.009
     31   1989          6.390       6282.819       5463.176
     32   1989          6.237       6397.115       5483.833
     33   1989          6.331       6557.800       5609.609
     34   1989          6.406       6709.267       5724.151
     35   1989          6.371       6778.292       5754.594
     36   1989          6.318       6831.217       5769.705
     37   1989          6.374       6966.173       5868.004
     38   1989          6.457       7125.984       5989.950
     39   1989          6.330       7279.854       6104.110
     40   1989          6.041       7375.793       6109.578
     41   1989          5.675       7447.254       6066.339
     42   1989          5.559       7559.641       6142.557
     43   1989          5.490       7683.595       6244.825
     44   1989          5.196       7764.487       6234.011
     45   1989          4.875       7831.766       6200.749
     46   1989          4.560       7893.421       6163.923
     47   1989          4.254       7949.862       6124.635
     48   1989          3.996       8013.059       6107.128
     49   1989          3.741       8069.135       6083.394
     50   1989          3.477       8115.238       6047.036
     51   1989          3.218       8154.879       6005.626
     52   1989          3.218       8271.395       6122.142
     53   1989          3.218       8405.064       6255.812
     54   1989          3.218       8529.099       6379.846
     55   1989          3.218       8630.821       6481.569
     56   1989          3.218       8764.516       6615.263
     57   1989          3.218       8898.758       6749.505
     58   1989          3.218       9021.563       6872.311
     59   1989          3.218       9104.236       6954.984
     60   1989          3.218       9191.885       7042.631
     61   1989          3.218       9282.279       7133.026
     62   1989          3.218       9346.921       7197.668
     63   1989          3.218       9412.696       7263.443
     64   1989          3.218       9469.759       7320.506
     65   1989          3.218       9541.174       7391.921
     66   1989          3.218       9606.624       7457.372
     67   1989          3.218       9664.058       7514.805
     68   1989          3.218       9718.911       7569.658
     69   1989          3.218       9771.516       7622.263
     70   1989          3.218       9817.704       7668.451
     71   1989          3.218       9859.260       7710.007
     72   1989          3.218       9901.152       7751.899
     73   1989          3.080       9939.452       7755.570
     74   1989          2.889       9980.884       7748.909
     75   1989          2.665      10001.134       7712.958
     76   1989          2.492      10018.140       7686.600
     77   1989          2.325      10033.063       7659.656
     78   1989          0.124      10033.063       7106.881
     79   1989          0.124      10033.063       7106.881
     80   1989          0.000          0.000          0.000
     81   1989          0.000          0.000          0.000
     82   1989          0.000          0.000          0.000
     83   1989          0.000          0.000          0.000
     84   1989          0.000          0.000          0.000
     85   1989          0.000          0.000          0.000
     86   1989          0.000          0.000          0.000
     87   1989          0.000          0.000          0.000
     88   1989          0.000          0.000          0.000
     89   1989          0.000          0.000          0.000
     90   1989          0.000          0.000          0.000
