Summary_file = p80N0c_h.sum
Title = p80N0
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            102     11/04/1952       1000.300              75.130            513.954         56.781          3.158          2.229          2.087          1.392          1.367          1.351          1.337          1.325          1.311          0.000          0.046          1.914          0.400          0.183         12.348         37.687       1322.720         417.105          0.157          0.240          0.259          0.271          0.280          0.287          0.294          0.299          0.300          0.300        471.880         88.201          0.134          0.134                 0.477                 0.256                 0.477             43        787.604       3454.346          0.410          1.964       1700.000         57.081          1.083          0.470          0.172          0.066          0.024          0.005          0.006          0.009          0.015          0.063         64.292          6.582              ?              ?              ?
           1953            108     18/04/1953        918.900              38.360            408.120         55.689          3.310          2.325          2.195          1.429          1.349          1.345          1.333          1.320          1.308          0.000          0.310          1.278          0.393          2.358        203.315         42.961       1317.700         446.081          0.220          0.284          0.293          0.298          0.300          0.300          0.300          0.300          0.301          0.301        499.875        111.875          0.778          0.778                 0.363                 0.189                 1.000             49        608.392       3087.596          0.420          1.809       1700.000         49.844          0.579          0.298          0.157          0.109          0.048          0.018          0.013          0.010          0.012          0.033        101.619          3.654              ?              ?              ?
           1954             97     07/04/1954        668.500              32.851            299.293         57.559          3.265          2.297          2.178          1.418          1.347          1.324          1.307          1.295          1.282          0.000          0.520          1.318          0.352          3.223        266.091         48.621       1312.888         351.103          0.199          0.262          0.274          0.283          0.290          0.295          0.299          0.300          0.300          0.300        486.799         98.859          0.873          0.873                 0.384                 0.198                 1.000             36        608.764       3350.349          0.446          1.855       1700.000         53.725          0.782          0.268          0.108          0.058          0.029          0.009          0.007          0.007          0.011          0.038        134.314          2.062              ?              ?              ?
           1955             92     02/04/1955       1006.700              81.680            499.663         61.242          3.346          2.321          2.198          1.381          1.302          1.286          1.272          1.262          1.251          0.000          0.605          1.290          0.392          3.487        292.081         53.173       1308.077         428.035          0.195          0.269          0.280          0.289          0.294          0.297          0.300          0.300          0.300          0.300        490.503        103.018          0.700          0.700                 0.386                 0.196                 1.000             32        424.869       2869.663          0.352          1.665       1700.000         40.944          0.722          0.251          0.116          0.067          0.033          0.012          0.008          0.007          0.011          0.063        166.659          5.889              ?              ?              ?
           1956             97     06/04/1956       1000.800              65.486            462.956         59.971          3.306          2.298          2.180          1.374          1.312          1.287          1.274          1.264          1.253          0.000          0.475          1.335          0.397          2.847        227.829         55.745       1303.146         448.871          0.201          0.275          0.285          0.293          0.297          0.299          0.300          0.300          0.300          0.300        493.710        105.710          0.229          0.229                 0.368                 0.200                 1.000             39        772.385       3650.201          0.509          2.214       1700.000         59.380          0.836          0.224          0.106          0.070          0.034          0.013          0.011          0.011          0.011          0.018        199.413          3.233              ?              ?              ?
           1957             91     01/04/1957       1059.200              57.616            517.179         64.510          3.156          2.218          2.124          1.324          1.265          1.254          1.243          1.234          1.225          0.000          0.583          1.339          0.395          3.425        274.413         57.445       1298.361         474.833          0.186          0.262          0.275          0.285          0.291          0.295          0.299          0.300          0.300          0.300        486.039         99.430          0.911          0.911                 0.383                 0.206                 0.996             33        446.817       3090.049          0.370          1.763       1700.000         46.703          0.790          0.263          0.113          0.067          0.035          0.014          0.009          0.009          0.012          0.027        228.494          5.620              ?              ?              ?
           1958            101     11/04/1958        816.000              66.496            369.026         61.002          3.199          2.256          2.147          1.352          1.303          1.273          1.259          1.249          1.238          0.000          0.422          1.869          0.500          2.572        203.429         58.844       1293.781         377.407          0.234          0.257          0.264          0.273          0.281          0.288          0.294          0.299          0.300          0.300        482.536         94.536          0.705          0.705                 0.355                 0.192                 1.000             43        897.386       3775.362          0.553          2.216       1700.000         62.676          1.215          0.341          0.129          0.069          0.031          0.011          0.007          0.008          0.013          0.046        260.340          5.334              ?              ?              ?
           1959            116     26/04/1959        797.300              34.970            331.510         62.592          3.171          2.256          2.132          1.344          1.292          1.272          1.262          1.251          1.241          0.000          0.532          2.039          0.353          3.046        249.419         61.851       1290.294         419.050          0.164          0.237          0.254          0.266          0.276          0.283          0.291          0.297          0.300          0.300        468.137         83.717          1.412          1.412                 0.361                 0.187                 0.990             55        890.172       3500.125          0.458          1.983       1700.000         58.278          1.252          0.321          0.144          0.072          0.034          0.014          0.011          0.008          0.018          0.166        288.291          7.970              ?              ?              ?
           1960             90     30/03/1960        663.400              30.886            303.776         65.648          3.193          2.239          2.140          1.299          1.244          1.231          1.217          1.208          1.199          0.000          0.597          1.474          0.392          3.827        327.856         62.481       1287.197         316.622          0.195          0.272          0.283          0.292          0.296          0.298          0.300          0.300          0.300          0.300        492.289        104.755          3.302          3.302                 0.392                 0.203                 1.000             31        622.076       3435.626          0.453          1.940       1700.000         55.510          0.913          0.250          0.114          0.070          0.035          0.016          0.008          0.007          0.012          0.048        311.605          2.605              ?              ?              ?
           1961             85     26/03/1961        989.300              38.672            467.844         66.125          3.435          2.311          2.204          1.319          1.248          1.216          1.201          1.194          1.186          0.000          0.507          1.585          0.606          3.037        253.554         60.529       1282.382         443.972          0.259          0.289          0.295          0.299          0.300          0.300          0.300          0.300          0.300          0.301        504.228        116.228          0.438          0.438                 0.366                 0.202                 1.000             29        723.414       3801.468          0.513          2.377       1700.000         61.864          0.958          0.277          0.137          0.094          0.044          0.020          0.012          0.008          0.009          0.025        336.335          3.191              ?              ?              ?
