Summary_file = Dalby600.sum
Title = Dalby 600mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
       291      1957          0.000       6019.435       1725.853        141.587
       286      1958          0.000       8228.879       3296.763        182.842
       288      1959          0.000       5481.169       1927.262        133.865
       292      1960          0.000       5362.052       1372.435        134.986
       290      1961          0.000       6665.770       2084.042        167.850
       289      1962          0.000       6537.313       2073.454        155.756
       288      1963          0.000       5930.751       2415.441        137.280
       288      1964          0.000       7693.167       3301.375        171.141
       289      1965          0.000      11432.944       4908.869        241.641
       289      1966          0.000      10447.428       4442.669        210.213
       289      1967          0.000       7285.345       2386.992        151.958
       291      1968          0.000       8179.507       2684.646        166.877
       287      1969          0.000       8625.438       3883.009        173.850
       290      1970          0.000       4594.886       1825.086        120.572
       289      1971          0.000      10780.441       4619.554        219.457
       289      1972          0.000       3908.763       1219.527        104.352
       283      1973          0.000      14022.749       6583.670        253.246
       289      1974          0.000       8049.306       3428.549        155.851
       287      1975          0.000      10129.763       4399.131        194.814
       288      1976          0.000       8253.513       3738.423        168.410
       290      1977          0.000       4324.361       1126.809        103.488
       289      1978          0.000      13448.844       5933.494        229.632
       287      1979          0.000       6136.385       2097.122        137.487
       288      1980          0.000       5287.598       1403.571        124.374
       288      1981          0.000       8024.792       2630.376        162.418
       290      1982          0.000       4895.812       1553.466        117.682
       286      1983          0.000       8067.129       2942.323        147.319
       289      1984          0.000      11893.769       5576.168        222.585
       289      1985          0.000       9028.051       3548.874        189.682
       288      1986          0.000       5570.013       1563.341        124.436
       287      1987          0.000       6189.801       1818.336        143.719
       285      1988          0.000      11078.927       5240.049        212.883
       290      1989          0.000       5838.323       1554.579        118.772
       288      1990          0.000       6974.756       2252.635        150.950
       286      1991          0.000       3781.584        995.134         99.883
       291      1992          0.000       5156.698       1807.365        134.154
       286      1993          0.000       6161.403       2446.033        144.563
       292      1994          0.000       3362.608        874.040        101.406
       289      1995          0.000       4717.638       1554.251        117.831
       289      1996          0.000       6641.464       2886.368        146.769
       288      1997          0.000       4729.044       1925.171        123.629
       285      1998          0.000      14224.445       6679.490        261.542
       287      1999          0.000       7068.468       2228.368        158.932
       291      2000          0.000       3690.847        923.831        101.727
       288      2001          0.000       3684.919       1039.229        101.601
       290      2002          0.000       5054.425       1625.557        144.608
