Summary_file = step5.sum
Title = Step 5. growth by regrowth
           date       sw_dep()      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)     basal_area     root_depth       sw_index  transpiration vpd_estimation  max_n_avail()   growth_photo    death_frost   surfaceom_wt  transpiration
             ()           (mm)           (mm)           (mm)           (mm)           (mm)       (m^2/ha)           (mm)             ()            (?)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)            (?)
     01/01/1957        279.403         13.403         76.000         95.000         95.000          4.000        750.000          1.000          0.000         28.960         15.000          0.000          0.000          0.000          0.000
     02/01/1957        277.049         11.560         75.504         94.986         95.000          4.000        750.000          1.000          0.082         18.960         15.000          2.376          0.000          0.000          0.082
     03/01/1957        275.007         10.323         74.727         94.957         95.000          4.000        750.000          1.000          0.164         21.230         15.000          4.685          0.000          0.000          0.164
     04/01/1957        273.158          9.411         73.835         94.913         95.000          4.000        750.000          1.000          0.243         22.920         15.000          7.530          0.000          0.000          0.243
     05/01/1957        271.436          8.706         72.877         94.853         95.000          4.000        750.000          1.000          0.322         22.920         15.000         10.378          0.000          0.001          0.322
     06/01/1957        269.798          8.146         71.875         94.778         95.000          4.000        750.000          1.000          0.401         19.070         15.000         12.475          0.000          0.001          0.401
     07/01/1957        268.218          7.690         70.841         94.686         95.000          4.000        750.000          1.000          0.478         18.120         15.000         10.488          0.000          0.002          0.478
     08/01/1957        266.681          7.315         69.786         94.579         95.000          4.000        750.000          1.000          0.549         17.000         15.000         10.785          0.000          0.002          0.549
     09/01/1957        265.174          7.002         68.715         94.456         95.000          4.000        750.000          1.000          0.616         11.090         15.000          7.132          0.000          0.003          0.616
     10/01/1957        276.920         14.248         73.293         94.379         95.000          4.000        750.000          1.000          0.580          7.180         15.000          5.327          0.000          0.004          0.580
     11/01/1957        275.802         13.626         72.887         94.289         95.000          4.000        750.000          1.000          0.631         19.610         15.000         23.028          0.000          0.005          0.631
     12/01/1957        273.335         11.857         72.316         94.162         95.000          4.000        750.000          1.000          0.752         18.180         15.000         21.862          0.000          0.006          0.752
     13/01/1957        271.131         10.669         71.452         94.010         95.000          4.000        750.000          1.000          0.835         19.610         15.000         24.759          0.000          0.007          0.835
     14/01/1957        269.344          9.907         70.572         93.865         95.000          4.000        750.000          1.000          0.778         23.640         15.000         30.710          0.000          0.008          0.778
     15/01/1957        267.611          9.286         69.619         93.706         95.000          4.000        750.000          1.000          0.839         24.260         15.000         33.177          0.000          0.010          0.839
     16/01/1957        265.915          8.770         68.613         93.531         95.000          4.000        750.000          1.000          0.899         26.680         15.000         35.619          0.000          0.011          0.899
