Summary_file=cowpea.sum
Title =cowpea sample simulation
    day   year            lai        biomass  green_biomass
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
    320   1988          0.000          0.000          0.000
    321   1988          0.000          0.000          0.000
    322   1988          0.000          0.000          0.000
    323   1988          0.000          0.000          0.000
    324   1988          0.000          0.000          0.000
    325   1988          0.000          0.000          0.000
    326   1988          0.000          0.000          0.000
    327   1988          0.000          0.000          0.000
    328   1988          0.000          0.000          0.000
    329   1988          0.000          0.000          0.000
    330   1988          0.000          0.000          0.000
    331   1988          0.000          0.000          0.000
    332   1988          0.000          0.000          0.000
    333   1988          0.000          0.000          0.000
    334   1988          0.000          0.000          0.000
    335   1988          0.000          0.000          0.000
    336   1988          0.200        101.500        101.500
    337   1988          0.229        121.401        121.401
    338   1988          0.262        140.716        140.716
    339   1988          0.305        166.232        166.232
    340   1988          0.354        195.592        195.592
    341   1988          0.406        226.400        226.400
    342   1988          0.448        251.570        251.570
    343   1988          0.488        275.589        275.589
    344   1988          0.549        311.624        311.624
    345   1988          0.619        354.822        354.822
    346   1988          0.704        409.474        409.474
    347   1988          0.776        459.407        459.407
    348   1988          0.862        522.127        522.127
    349   1988          0.955        593.443        593.443
    350   1988          1.045        666.410        666.410
    351   1988          1.111        721.301        721.301
    352   1988          1.155        758.162        758.162
    353   1988          1.205        799.644        799.644
    354   1988          1.306        884.377        884.377
    355   1988          1.420        979.201        979.201
    356   1988          1.549       1086.347       1086.347
    357   1988          1.675       1192.093       1192.093
    358   1988          1.813       1307.053       1307.053
    359   1988          1.957       1426.707       1426.707
    360   1988          2.116       1559.539       1559.539
    361   1988          2.287       1701.798       1701.798
    362   1988          2.428       1819.596       1819.596
    363   1988          2.625       1983.537       1983.537
    364   1988          2.819       2145.169       2145.169
    365   1988          3.008       2302.652       2302.652
    366   1988          3.201       2463.710       2463.710
      1   1989          3.411       2638.040       2638.040
      2   1989          3.562       2764.102       2764.102
      3   1989          3.758       2927.514       2927.514
      4   1989          3.994       3123.920       3123.920
      5   1989          4.203       3315.315       3307.747
      6   1989          4.362       3453.424       3443.356
      7   1989          4.561       3630.196       3615.479
      8   1989          4.787       3835.411       3813.118
      9   1989          5.007       4043.597       4010.108
     10   1989          5.118       4205.338       4141.061
     11   1989          5.320       4412.049       4330.657
     12   1989          5.528       4631.737       4529.265
     13   1989          5.726       4853.430       4725.538
     14   1989          5.906       5069.197       4911.471
     15   1989          6.096       5302.545       5110.750
     16   1989          6.267       5530.509       5299.948
     17   1989          6.338       5714.462       5440.720
     18   1989          6.332       5853.303       5524.798
     19   1989          6.284       5974.017       5581.032
     20   1989          6.290       6104.368       5663.966
     21   1989          6.226       6216.482       5709.073
     22   1989          6.267       6368.307       5818.563
     23   1989          6.187       6529.242       5936.091
     24   1989          6.104       6685.518       6051.028
     25   1989          6.034       6857.483       6183.737
     26   1989          5.869       6972.214       6235.382
     27   1989          5.770       7103.504       6328.761
     28   1989          5.637       7229.189       6403.783
     29   1989          5.476       7329.352       6442.284
     30   1989          5.245       7393.063       6417.879
     31   1989          4.919       7439.257       6339.674
     32   1989          4.554       7504.727       6265.632
     33   1989          4.284       7619.594       6277.277
     34   1989          4.034       7745.964       6308.140
     35   1989          3.850       7812.220       6304.208
     36   1989          3.705       7853.988       6290.355
     37   1989          3.538       7973.535       6346.269
     38   1989          3.349       8117.505       6417.973
     39   1989          3.112       8232.264       6442.313
     40   1989          2.841       8308.046       6414.249
     41   1989          2.605       8364.493       6380.649
     42   1989          2.384       8452.138       6383.748
     43   1989          2.186       8547.952       6403.897
     44   1989          1.970       8612.282       6385.754
     45   1989          1.750       8664.906       6354.444
     46   1989          1.530       8712.371       6317.975
     47   1989          0.000       8712.371       5733.240
     48   1989          0.000       8712.371       5733.240
     49   1989          0.000       8712.371       5733.240
     50   1989          0.000          0.000          0.000
     51   1989          0.000          0.000          0.000
     52   1989          0.000          0.000          0.000
     53   1989          0.000          0.000          0.000
     54   1989          0.000          0.000          0.000
     55   1989          0.000          0.000          0.000
     56   1989          0.000          0.000          0.000
     57   1989          0.000          0.000          0.000
     58   1989          0.000          0.000          0.000
     59   1989          0.000          0.000          0.000
     60   1989          0.000          0.000          0.000
