Summary_file = csu-S09.sum
Title = south plots
year,month,day,day_month,period,sw_dep(1)sw_dep(2)sw_dep(3)sw_dep(4)sw_dep(5)sw_dep(6)sw_dep(7)sw_dep(8)sw_dep(9)sw_dep(10)sw_dep(11)sw_dep(12)sw_dep(13)sw_dep(14)sw_dep(15)sw_dep(16)sw_dep(17)sw_dep(18)sw_dep(19)sw_dep(20),no3(1)no3(2)no3(3)no3(4)no3(5)no3(6)no3(7)no3(8)no3(9)no3(10)no3(11)no3(12)no3(13)no3(14)no3(15)no3(16)no3(17)no3(18)no3(19)no3(20),nh4(1)nh4(2)nh4(3)nh4(4)nh4(5)nh4(6)nh4(7)nh4(8)nh4(9)nh4(10)nh4(11)nh4(12)nh4(13)nh4(14)nh4(15)nh4(16)nh4(17)nh4(18)nh4(19)nh4(20),no3_025,no3_2590,nh4_025,nh4_2590,sw_dep_025,sw_dep_2590,sw_dep_90180,no3_030,no3_3080,nh4_030,nh4_3080,sw_dep_030,sw_dep_3080,rain,W_ep,L_ep(1)L_ep(2)L_ep(3)L_ep(4)L_ep(5)L_ep(6)L_ep(7)L_ep(8)L_ep(9)L_ep(10)L_ep(11)L_ep(12)L_ep(13)L_ep(14)L_ep(15)L_ep(16)L_ep(17)L_ep(18)L_ep(19)L_ep(20),C_ep(1)C_ep(2)C_ep(3)C_ep(4)C_ep(5)C_ep(6)C_ep(7)C_ep(8)C_ep(9)C_ep(10)C_ep(11)C_ep(12)C_ep(13)C_ep(14)C_ep(15)C_ep(16)C_ep(17)C_ep(18)C_ep(19)C_ep(20),swdep,es,runoff,drain,eo,h,drain_25,drain_90,leach_25,leach_90,cum_rain,cum_ET,cum_drain,cum_E,cum_T,no3(),nh4(),nit_tot(),leach_no3,urea(),biom_n(),fom_n(),hum_n(),sum@soiln2.dnit[],sum@soiln2.dlt_n_min[],residue_n,residue_wt,residue_cover,L_dlt_n_fixed,C_dlt_n_fixed,W_plantn,W_topsn,L_biomass_n,L_n_uptake,C_biomass_n,C_n_uptake,cum_nmin010,cum_nmin1020,cum_nmin2030,no3_010,nh4_010,fom_n_010,biom_n_010,hum_n_010,no3_sol_20,no3_sol_30,no3_sol_50,no3_sol_90,drain180
(year),(month),(day),(day),(),(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm),(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha),(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha)(kg/ha),(),(),(),(),(),(),(),(),(),(),(),(),(),(mm),(mm),(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm),(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm)(mm),(mm),(mm),(mm),(mm),(mm),(mm),(),(),(),(),(),(),(),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(m^2/m^2),(g/m^2),(g/m^2),(kg/ha),(g/m2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(),(),(),(),(),(),(),(),(ug/g),(ug/g),(ug/g),(ug/g),()
1992,12,363,28,     0.000,     1.260     4.276    10.047    18.865    22.006    24.978    38.982    56.159    60.634    63.652    62.543    66.928    67.022    64.553    67.045    64.567    65.770    67.002    50.252    16.751,     3.856     4.358     4.400     1.769     2.039     1.920     1.978     2.558     1.981     3.363     1.972     1.792     1.788     1.949     1.786     1.944     1.860     1.771     1.325     0.442,     0.042     0.000     0.024     0.000     0.000     0.000     0.016     0.012     0.009     0.023     0.014     0.015     0.018     0.023     0.024     0.029     0.031     0.032     0.025     0.008,    14.383,     9.486,     0.066,     0.033,    34.448,   172.442,   290.462,    15.403,     7.476,     0.066,     0.028,    45.451,   131.122,     5.600,     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   893.292,     6.941,     0.000,     0.543,    86.534,     0.000,    -0.014,    -0.771,     0.010,    -0.052,     5.600,     6.943,     0.546,     6.943,     0.000,    44.851,     0.345,  6435.994,     0.013,     0.000,   129.122,    45.806,  6215.871,     0.003,    -2.657,    60.510, 10589.320,     0.880,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.062,    -0.580,    -0.919,     9.681,     0.050,    26.995,    83.841,  1304.819,     9.379,     9.266,     5.073,     3.267,     0.484
1993,1,12,12,     0.000,     1.296     8.539    11.639    18.797    22.010    24.957    39.014    56.424    60.775    63.351    62.275    66.723    66.905    64.494    67.024    64.553    65.756    66.992    50.248    16.749,     0.689     4.015     5.118     1.713     2.270     2.050     2.296     2.753     2.106     3.369     2.015     1.824     1.821     1.975     1.831     1.976     1.902     1.815     1.357     0.452,     0.014     0.001     0.000     0.002     0.171     0.076     0.079     0.044     0.017     0.009     0.004     0.003     0.004     0.004     0.004     0.005     0.005     0.005     0.004     0.001,    11.535,    10.422,     0.017,     0.379,    40.271,   172.792,   289.642,    12.670,     8.234,     0.102,     0.285,    51.276,   131.400,    15.900,     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   898.522,    10.090,     0.000,     0.581,   105.412,     0.000,    -0.029,    -1.207,     0.002,    -0.097,    21.500,    17.034,     1.131,    17.034,     0.000,    43.347,     0.450,  6437.274,     0.016,     0.000,   142.008,    36.903,  6214.566,     0.002,     0.612,    59.214, 10362.448,     0.874,     0.000,     0.000,     0.192,     0.008,     0.000,     0.000,     0.000,     0.000,    -0.627,    -0.754,    -0.844,     6.410,     0.015,    22.366,    91.639,  1304.956,     9.115,    10.313,     5.885,     3.465,     0.939
1993,1,27,27,     0.000,     1.276     6.208    11.705    18.798    22.014    24.940    39.093    56.622    60.800    63.186    62.095    66.558    66.773    64.394    66.968    64.517    65.736    66.978    50.239    16.747,     1.585     3.292     4.892     2.112     3.055     2.538     2.885     3.141     2.286     3.384     2.051     1.847     1.842     1.985     1.856     1.987     1.920     1.834     1.369     0.456,     0.174     0.188     0.000     0.099     0.303     0.138     0.120     0.068     0.025     0.011     0.004     0.003     0.003     0.004     0.003     0.004     0.004     0.004     0.003     0.001,    11.881,    12.762,     0.461,     0.641,    37.987,   173.069,   289.012,    13.409,    10.092,     0.613,     0.477,    48.994,   131.662,     3.200,     0.171,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   895.648,     5.329,     0.000,     0.575,   108.354,     0.000,    -0.044,    -1.510,    -0.018,    -0.128,    24.700,    22.534,     1.703,    22.363,     0.171,    46.318,     1.157,  6437.073,     0.016,     0.000,   146.118,    30.949,  6212.531,     0.001,     4.004,    59.167, 10354.261,     0.874,     0.000,     0.000,     0.441,     0.034,     0.000,     0.000,     0.000,     0.000,     0.262,    -0.660,    -0.236,     6.508,     0.362,    19.060,    94.374,  1304.744,    11.233,    13.878,     7.380,     3.759,     1.277
1993,2,42,11,     0.000,     1.279     6.881    11.739    18.799    22.017    24.931    39.191    56.750    60.803    63.073    61.961    66.427    66.655    64.289    66.897    64.462    65.701    66.956    50.226    16.743,     0.510     3.309     4.754     2.776     4.044     3.184     3.582     3.612     2.494     3.412     2.088     1.872     1.863     1.995     1.881     1.999     1.937     1.853     1.381     0.460,     0.015     0.069     0.000     0.188     0.330     0.148     0.120     0.069     0.025     0.011     0.004     0.003     0.003     0.004     0.003     0.004     0.004     0.003     0.003     0.001,    11.349,    15.669,     0.272,     0.679,    38.698,   173.290,   288.518,    13.371,    12.400,     0.437,     0.502,    49.707,   131.881,     6.800,     0.058,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   895.778,     6.047,     0.000,     0.565,   109.265,     0.000,    -0.059,    -1.745,    -0.051,    -0.158,    31.500,    28.639,     2.269,    28.409,     0.230,    49.006,     1.007,  6438.529,     0.015,     0.000,   150.211,    27.623,  6210.682,     0.000,     4.807,    57.703, 10097.979,     0.867,     0.000,     0.000,     0.448,     0.034,     0.000,     0.000,     0.000,     0.000,     1.275,    -0.417,     0.578,     5.404,     0.084,    17.488,    98.005,  1304.777,    14.768,    18.368,     9.140,     4.103,     1.535
1993,2,57,26,     0.000,     5.706    12.255    18.082    21.258    22.022    24.928    39.286    56.834    60.801    62.988    61.856    66.320    66.553    64.191    66.823    64.396    65.655    66.923    50.206    16.736,     1.344     2.018     5.017     4.353     4.994     3.826     4.246     4.058     2.697     3.442     2.124     1.896     1.884     2.004     1.904     2.010     1.954     1.871     1.392     0.464,     0.175     0.399     0.349     0.332     0.285     0.127     0.101     0.059     0.022     0.010     0.003     0.003     0.003     0.004     0.003     0.004     0.004     0.003     0.003     0.001,    12.732,    18.472,     1.255,     0.583,    57.301,   173.470,   288.117,    15.229,    14.627,     1.397,     0.430,    68.312,   132.059,    37.800,     0.094,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   913.819,    19.115,     0.000,     0.551,    90.040,     0.000,    -0.070,    -1.937,    -0.091,    -0.183,    69.300,    47.850,     2.819,    47.525,     0.325,    53.498,     1.890,  6440.922,     0.015,     0.000,   157.140,    20.216,  6208.179,     0.041,     9.230,    55.243,  9667.585,     0.855,     0.000,     0.000,     0.476,     0.036,     0.000,     0.000,     0.000,     0.000,     6.267,     0.171,     1.519,     5.034,     0.690,    13.211,   102.952,  1304.321,    20.479,    22.678,    10.807,     4.436,     1.743
1993,3,72,13,     0.000,     1.287     7.814    17.185    21.366    22.034    24.931    39.369    56.893    60.799    62.920    61.770    66.230    66.465    64.100    66.750    64.328    65.603    66.882    50.180    16.727,     2.690     4.164     6.608     5.818     5.841     4.419     4.866     4.482     2.894     3.474     2.160     1.920     1.905     2.015     1.927     2.021     1.970     1.889     1.404     0.468,     0.134     0.834     1.972     0.542     0.294     0.135     0.110     0.066     0.025     0.011     0.004     0.003     0.003     0.003     0.003     0.004     0.003     0.003     0.003     0.001,    19.280,    21.055,     3.482,     0.618,    47.652,   173.626,   287.784,    22.201,    16.688,     3.629,     0.458,    58.669,   132.210,     4.800,     0.182,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   903.634,    14.273,     0.000,     0.531,    89.072,     0.000,    -0.070,    -2.097,    -0.104,    -0.198,    74.100,    62.307,     3.350,    61.801,     0.506,    62.936,     4.154,  6442.244,     0.015,     0.000,   157.115,    13.475,  6204.564,     0.000,    13.814,    53.893,  9431.335,     0.848,     0.000,     0.000,     0.518,     0.039,     0.000,     0.000,     0.000,     0.000,    13.140,     2.166,     2.772,     9.057,     1.625,     9.359,   103.728,  1303.386,    27.232,    26.508,    12.359,     4.760,     1.915
1993,3,87,28,     0.000,     6.524    13.175    18.464    21.426    22.038    24.935    39.437    56.936    60.797    62.865    61.698    66.153    66.386    64.018    66.682    64.260    65.548    66.836    50.148    16.717,     2.024     6.252    11.340     7.665     6.695     5.013     5.492     4.911     3.095     3.510     2.197     1.946     1.927     2.027     1.951     2.034     1.987     1.907     1.416     0.471,     0.176     0.519     2.696     0.549     0.262     0.120     0.098     0.059     0.023     0.010     0.003     0.003     0.003     0.003     0.003     0.004     0.003     0.003     0.002     0.001,    27.281,    23.659,     3.940,     0.550,    59.589,   173.745,   287.501,    30.628,    18.764,     4.071,     0.408,    70.608,   132.327,    16.800,     0.157,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   915.047,     4.725,     0.000,     0.506,    79.273,     0.000,    -0.070,    -2.234,    -0.071,    -0.213,    90.900,    67.187,     3.856,    66.525,     0.662,    73.859,     4.542,  6442.541,     0.014,     0.000,   152.707,    10.476,  6200.958,     0.000,    11.788,    53.592,  9378.634,     0.847,     0.000,     0.000,     0.514,     0.039,     0.000,     0.000,     0.000,     0.000,    17.263,     4.581,     4.031,    12.056,     1.594,     7.776,   102.559,  1302.655,    35.774,    30.377,    13.925,     5.090,     2.060
1993,3,90,31,     0.000,     1.656    10.512    17.567    21.461    22.041    24.938    39.449    56.944    60.797    62.855    61.684    66.139    66.372    64.003    66.669    64.247    65.536    66.827    50.142    16.715,     3.884     5.581    11.506     8.034     6.843     5.116     5.600     4.982     3.130     3.516     2.203     1.950     1.930     2.029     1.955     2.036     1.990     1.910     1.418     0.472,     0.123     0.640     2.551     0.500     0.235     0.106     0.087     0.056     0.022     0.010     0.003     0.003     0.003     0.003     0.003     0.004     0.003     0.003     0.003     0.001,    29.005,    24.106,     3.814,     0.495,    51.196,   173.771,   287.448,    32.426,    19.119,     3.932,     0.366,    62.216,   132.352,     0.000,     0.018,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   906.553,     8.377,     0.000,     0.098,    14.972,     0.000,    -0.070,    -2.258,    -0.058,    -0.216,    90.900,    75.583,     3.955,    74.903,     0.680,    76.085,     4.360,  6443.012,     0.003,     0.000,   152.428,     9.805,  6200.336,     0.000,     2.775,     2.641,   462.251,     0.088,     0.000,     0.000,     0.514,     0.039,     0.000,     0.000,     0.000,     0.000,    18.859,     4.953,     4.218,    13.300,     1.613,     7.251,   102.671,  1302.476,    37.436,    31.046,    14.196,     5.148,     2.087
1993,4,91,1,     1.000,     1.403     9.906    17.479    21.464    22.042    24.938    39.453    56.946    60.797    62.851    61.680    66.135    66.367    63.998    66.664    64.243    65.533    66.824    50.139    16.714,     4.250     5.491    11.682     8.147     6.889     5.148     5.634     5.004     3.141     3.517     2.205     1.952     1.931     2.029     1.956     2.036     1.991     1.911     1.419     0.472,     0.123     0.718     2.510     0.485     0.227     0.103     0.085     0.055     0.022     0.010     0.003     0.003     0.003     0.003     0.003     0.004     0.003     0.003     0.003     0.001,    29.570,    24.246,     3.836,     0.481,    50.252,   173.777,   287.431,    33.014,    19.230,     3.950,     0.356,    61.273,   132.358,     0.000,     0.006,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000,   905.577,     0.938,     0.000,     0.032,     3.809,     0.000,     0.000,    -0.008,     0.005,    -0.001,     0.000,     0.944,     0.032,     0.938,     0.006,    76.808,     4.369,  6443.023,     0.001,     0.000,   152.074,     9.645,  6200.127,     0.000,     0.751,     2.630,   460.327,     0.088,     0.000,     0.000,     0.513,     0.039,     0.000,     0.000,     0.000,     0.000,    19.235,     5.071,     4.277,    13.635,     1.678,     7.134,   102.498,  1302.413,    37.957,    31.254,    14.281,     5.166,     0.009
