Summary_file = csu-S09.sum
Title = south plots
year,month,day,day_month,period,sw_dep(1),sw_dep(2),sw_dep(3),sw_dep(4),sw_dep(5),sw_dep(6),sw_dep(7),sw_dep(8),sw_dep(9),sw_dep(10),sw_dep(11),sw_dep(12),sw_dep(13),sw_dep(14),sw_dep(15),sw_dep(16),sw_dep(17),sw_dep(18),sw_dep(19),sw_dep(20),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3(11),no3(12),no3(13),no3(14),no3(15),no3(16),no3(17),no3(18),no3(19),no3(20),nh4(1),nh4(2),nh4(3),nh4(4),nh4(5),nh4(6),nh4(7),nh4(8),nh4(9),nh4(10),nh4(11),nh4(12),nh4(13),nh4(14),nh4(15),nh4(16),nh4(17),nh4(18),nh4(19),nh4(20),no3_025,no3_2590,nh4_025,nh4_2590,sw_dep_025,sw_dep_2590,sw_dep_90180,no3_030,no3_3080,nh4_030,nh4_3080,sw_dep_030,sw_dep_3080,rain,W_ep,L_ep,C_ep,swdep,es,runoff,drain,eo,h,drain_25,drain_90,leach_25,leach_90,cum_rain,cum_ET,cum_drain,cum_E,cum_T,no3(),nh4(),nit_tot(),leach_no3,urea(),biom_n(),fom_n(),hum_n(),sum@soiln2_dnit[],sum@soiln2_dlt_n_min[],residue_n,residue_wt,residue_cover,L_dlt_n_fixed,C_dlt_n_fixed,W_plantn,W_topsn,L_biomass_n,L_n_uptake,C_biomass_n,C_n_uptake,cum_nmin010,cum_nmin1020,cum_nmin2030,no3_010,nh4_010,fom_n_010,biom_n_010,hum_n_010,no3_sol_20,no3_sol_30,no3_sol_50,no3_sol_90,drain180
(year),(month),(day),(day),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(),(),(),(),(),(),(),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(),(),(),(),(),(),(),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(m^2/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(),(),(),(),(),(),(),(),(ug/g),(ug/g),(ug/g),(ug/g),()
1992,12,363,28,     0.000,     1.388,     5.189,    10.076,    18.867,    22.006,    24.978,    38.982,    56.159,    60.634,    63.652,    62.543,    66.928,    67.022,    64.553,    67.045,    64.567,    65.770,    67.002,    50.252,    16.751,     0.000,     2.037,     4.211,     0.478,     0.792,     1.068,     1.333,     2.103,     1.832,     3.327,     1.965,     1.786,     1.782,     1.943,     1.782,     1.939,     1.855,     1.767,     1.322,     0.441,     0.000,     0.000,     0.009,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.014,     0.012,     0.014,     0.016,     0.021,     0.022,     0.027,     0.029,     0.030,     0.023,     0.008,     6.726,     6.212,     0.009,     0.000,    35.520,   172.442,   290.462,     7.122,     4.900,     0.009,     0.000,    46.523,   131.122,     5.600,     0.000,     0.000,     0.000,   894.363,     5.869,     0.000,     0.543,    86.534,     0.000,    -0.014,    -0.771,     0.006,    -0.053,     5.600,     5.867,     0.546,     5.867,     0.000,    33.763,     0.224,  6437.771,     0.013,     0.000,   139.482,    46.913,  6217.389,     0.003,    -7.646,    58.733, 10278.302,     0.994,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.316,    -1.204,    -2.202,     3.441,     0.003,    27.467,    89.773,  1305.331,     2.531,     3.599,     3.418,     3.022,     0.484
1993,1,12,12,     0.000,     2.085,     9.587,    14.346,    18.812,    22.010,    24.957,    39.014,    56.424,    60.775,    63.351,    62.275,    66.723,    66.905,    64.494,    67.024,    64.553,    65.756,    66.992,    50.248,    16.749,     0.000,     0.065,     0.090,     0.038,     0.334,     0.669,     1.173,     1.957,     1.831,     3.284,     1.996,     1.808,     1.807,     1.960,     1.818,     1.963,     1.890,     1.804,     1.348,     0.449,     0.000,     0.181,     0.042,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.003,     0.003,     0.003,     0.002,     0.001,     0.193,     5.049,     0.223,     0.001,    44.830,   172.792,   289.642,     0.360,     3.966,     0.223,     0.001,    55.835,   131.400,    15.900,     0.000,     0.000,     0.000,   903.080,     6.604,     0.000,     0.581,   105.413,     0.000,    -0.029,    -1.207,    -0.009,    -0.098,    21.500,    12.471,     1.131,    12.471,     0.000,    26.282,     0.247,  6440.761,     0.015,     0.000,   154.233,    42.836,  6217.163,     0.002,    -0.271,    55.725,  9751.934,     0.992,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.724,    -1.807,    -2.739,     0.095,     0.195,    27.102,    96.355,  1305.555,     0.202,     1.517,     3.006,     3.012,     0.939
1993,1,27,27,     0.000,     1.351,     7.337,    14.368,    18.826,    22.014,    24.940,    39.093,    56.622,    60.800,    63.186,    62.095,    66.558,    66.773,    64.394,    66.968,    64.517,    65.736,    66.978,    50.239,    16.747,     0.000,     0.029,     0.032,     0.040,     0.405,     0.700,     1.306,     2.034,     1.894,     3.254,     2.019,     1.821,     1.818,     1.959,     1.834,     1.965,     1.899,     1.815,     1.355,     0.452,     0.000,     0.079,     0.107,     0.000,     0.046,     0.030,     0.033,     0.016,     0.006,     0.004,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.101,     5.392,     0.186,     0.128,    41.882,   173.069,   289.012,     0.303,     4.242,     0.209,     0.102,    52.889,   131.662,     3.200,     0.000,     0.000,     0.000,   899.543,     5.800,     0.000,     0.575,   108.250,     0.000,    -0.044,    -1.510,    -0.024,    -0.137,    24.700,    18.634,     1.703,    18.270,     0.364,    26.629,     0.337,  6442.093,     0.015,     0.000,   159.074,    40.225,  6215.828,     0.001,     3.630,    54.392,  9518.549,     0.991,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     4.314,    -1.584,    -2.688,     0.040,     0.115,    26.788,    98.136,  1305.267,     0.210,     1.838,     3.342,     3.115,     1.277
1993,2,42,11,     0.000,     1.749,     7.931,    14.282,    18.827,    21.980,    24.931,    39.191,    56.750,    60.803,    63.073,    61.961,    66.427,    66.655,    64.289,    66.897,    64.462,    65.701,    66.956,    50.226,    16.743,     0.000,     0.039,     0.033,     0.039,     0.292,     0.957,     1.606,     2.234,     1.996,     3.238,     2.042,     1.835,     1.829,     1.959,     1.850,     1.966,     1.907,     1.826,     1.361,     0.453,     0.000,     0.107,     0.103,     0.000,     0.101,     0.058,     0.045,     0.025,     0.009,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.111,     6.087,     0.210,     0.234,    42.789,   173.254,   288.518,     0.257,     4.943,     0.261,     0.178,    53.779,   131.862,     6.800,     0.000,     0.000,     0.000,   899.832,     4.964,     0.000,     0.565,   108.892,     0.000,    -0.059,    -1.745,    -0.043,    -0.167,    31.500,    24.579,     2.269,    23.234,     1.345,    27.462,     0.468,  6442.667,     0.015,     0.000,   162.409,    37.808,  6214.520,     0.000,     3.733,    53.410,  9346.735,     0.991,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     6.388,    -1.437,    -2.525,     0.050,     0.141,    26.275,    99.574,  1305.048,     0.206,     1.328,     4.098,     3.283,     1.535
1993,2,57,26,     0.000,     7.462,    15.089,    19.651,    26.537,    23.409,    24.929,    39.286,    56.834,    60.801,    62.988,    61.856,    66.320,    66.553,    64.191,    66.823,    64.396,    65.655,    66.923,    50.206,    16.736,     0.061,     0.056,     0.034,     0.036,     0.178,     0.363,     1.937,     2.462,     2.108,     3.229,     2.065,     1.849,     1.840,     1.959,     1.864,     1.968,     1.915,     1.836,     1.367,     0.455,     0.116,     0.153,     0.151,     0.021,     0.125,     0.059,     0.042,     0.030,     0.011,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.187,     5.994,     0.441,     0.262,    68.739,   174.859,   288.117,     0.276,     4.851,     0.503,     0.193,    80.443,   132.753,    37.800,     0.000,     0.000,     0.000,   926.644,     6.820,     0.000,     0.551,    89.407,     0.000,     1.609,    -1.937,    -0.052,    -0.197,    69.300,    35.017,     2.819,    30.054,     4.963,    27.581,     0.730,  6442.911,     0.015,     0.000,   165.735,    35.777,  6213.089,     0.001,     6.905,    51.420,  8998.573,     0.989,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    11.037,    -1.131,    -2.262,     0.128,     0.319,    25.885,   101.294,  1304.696,     0.135,     0.761,     4.930,     3.468,     1.743
1993,3,72,13,     0.000,     3.513,     9.359,    15.701,    24.070,    23.884,    24.984,    39.370,    56.893,    60.799,    62.920,    61.770,    66.230,    66.465,    64.100,    66.750,    64.328,    65.603,    66.882,    50.180,    16.727,     0.019,     0.061,     0.098,     0.048,     0.163,     0.165,     1.462,     2.711,     2.230,     3.228,     2.087,     1.864,     1.852,     1.960,     1.879,     1.971,     1.923,     1.846,     1.373,     0.457,     0.050,     0.167,     0.141,     0.027,     0.150,     0.069,     0.050,     0.029,     0.011,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.226,     5.616,     0.385,     0.303,    52.643,   175.531,   287.784,     0.308,     4.419,     0.460,     0.223,    64.585,   133.189,     4.800,     0.000,     0.000,     0.000,   910.528,     8.353,     0.000,     0.531,    87.097,     0.000,     2.834,    -2.097,    -0.052,    -0.227,    74.100,    55.402,     3.350,    38.407,    16.995,    27.398,     0.716,  6443.590,     0.014,     0.000,   170.854,    33.050,  6211.570,     0.000,     9.354,    48.413,  8472.233,     0.986,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.801,    -0.719,    -1.930,     0.113,     0.264,    25.149,   104.171,  1304.295,     0.198,     0.684,     3.715,     3.667,     1.915
1993,3,87,28,     0.000,     6.396,    12.846,    18.124,    21.016,    21.844,    24.526,    39.350,    56.925,    60.796,    62.864,    61.698,    66.153,    66.386,    64.018,    66.682,    64.260,    65.548,    66.836,    50.148,    16.717,     0.059,     0.060,     0.038,     0.067,     0.235,     0.165,     0.164,     2.919,     2.352,     3.229,     2.110,     1.880,     1.864,     1.962,     1.893,     1.974,     1.931,     1.856,     1.379,     0.459,     0.119,     0.165,     0.167,     0.024,     0.144,     0.064,     0.045,     0.031,     0.012,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.224,     4.659,     0.475,     0.290,    58.382,   173.043,   287.499,     0.342,     3.365,     0.547,     0.212,    69.304,   131.723,    16.800,     0.000,     0.000,     0.000,   913.132,     3.716,     0.000,     0.506,    76.616,     0.000,     2.828,    -2.234,    -0.057,    -0.249,    90.900,    69.093,     3.856,    42.125,    26.968,    26.595,     0.792,  6442.020,     0.014,     0.000,   173.221,    31.079,  6210.334,     0.000,     4.531,    47.345,  8285.402,     0.984,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    19.853,    -0.376,    -1.601,     0.132,     0.340,    24.796,   105.666,  1304.146,     0.318,     1.078,     0.417,     3.868,     2.060
1993,3,90,31,     0.000,     4.156,    11.032,    16.728,    21.018,    21.816,    24.519,    39.358,    56.927,    60.795,    62.855,    61.684,    66.139,    66.372,    64.003,    66.669,    64.247,    65.536,    66.827,    50.142,    16.715,     0.067,     0.083,     0.062,     0.076,     0.234,     0.160,     0.150,     2.947,     2.372,     3.228,     2.114,     1.882,     1.866,     1.963,     1.895,     1.975,     1.932,     1.857,     1.380,     0.459,     0.060,     0.103,     0.229,     0.031,     0.129,     0.056,     0.045,     0.033,     0.013,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.288,     4.677,     0.423,     0.269,    52.934,   173.018,   287.448,     0.405,     3.374,     0.487,     0.198,    63.842,   131.712,     0.000,     0.000,     0.000,     0.000,   907.537,     2.927,     0.000,     0.098,    14.477,     0.000,     2.828,    -2.258,    -0.060,    -0.252,    90.900,    74.591,     3.955,    45.052,    29.539,    26.702,     0.721,  6442.128,     0.003,     0.000,   174.002,    30.585,  6210.118,     0.000,     1.283,     2.327,   407.252,     0.184,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    20.672,    -0.286,    -1.542,     0.171,     0.239,    24.555,   106.250,  1304.108,     0.362,     1.072,     0.380,     3.902,     2.087
1993,4,91,1,     1.000,     2.941,    10.332,    16.312,    21.010,    21.804,    24.515,    39.360,    56.928,    60.794,    62.851,    61.680,    66.135,    66.367,    63.998,    66.664,    64.243,    65.533,    66.824,    50.139,    16.714,     0.070,     0.104,     0.084,     0.080,     0.232,     0.158,     0.147,     2.956,     2.379,     3.227,     2.116,     1.883,     1.867,     1.963,     1.896,     1.975,     1.933,     1.858,     1.380,     0.460,     0.013,     0.084,     0.276,     0.034,     0.126,     0.054,     0.045,     0.033,     0.013,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.338,     4.682,     0.407,     0.264,    50.595,   173.004,   287.430,     0.454,     3.377,     0.470,     0.195,    61.497,   131.705,     0.000,     0.000,     0.000,     0.000,   905.145,     1.602,     0.000,     0.032,     3.682,     0.000,     0.000,    -0.008,    -0.001,    -0.001,     0.000,     2.359,     0.032,     1.602,     0.757,    26.766,     0.699,  6442.059,     0.001,     0.000,   174.189,    30.358,  6210.046,     0.000,     0.188,     2.306,   403.580,     0.183,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    20.711,    -0.256,    -1.523,     0.202,     0.189,    24.406,   106.432,  1304.098,     0.380,     1.064,     0.373,     3.913,     0.009
