Summary_file = report.sum
Title = Report Instantiation Sample Simulation
       day      year           rain         runoff          drain             eo             es
     (day)    (year)           (mm)           (mm)           (mm)           (mm)           (mm)
         5      1988          2.000          0.000          0.000          4.342          3.963
        10      1988          0.000          0.000          0.000          6.998          0.531
        15      1988          0.000          0.000          0.000          6.197          0.385
        20      1988         99.000         64.704          0.000          5.417          4.850
        25      1988          0.000          0.000          0.000          6.330          0.656
        30      1988          0.000          0.000          0.000          6.237          0.425
        35      1988          0.000          0.000          0.000          5.954          0.461
        40      1988          0.000          0.000          0.010          6.028          2.233
        45      1988         31.000         12.999          0.194          4.627          4.376
        50      1988          0.000          0.000          0.927          5.896          0.589
        55      1988          0.000          0.000          1.583          5.801          0.405
        60      1988         10.200          0.580          1.649          1.831          1.831
        65      1988          0.400          0.000          1.407          4.348          1.426
        70      1988          0.000          0.000          1.386          5.840          0.669
        75      1988          0.000          0.000          1.510          5.209          0.429
        80      1988          0.000          0.000          1.427          4.913          0.340
        85      1988          2.800          0.000          1.120          3.914          3.091
        90      1988          0.000          0.000          0.751          4.898          0.258
        95      1988         48.400         27.178          0.614          3.197          3.197
       100      1988          0.400          0.000          2.501          2.704          2.704
