Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass avg@mungbean_swdef_photo avg@mungbean_nfact_photo   plant_status      dm_dead()          yield     residue_wt      residue_n        fom_c()        fom_n()        node_no        leaf_no    dlt_leaf_no    dlt_node_no             rlv(1)             rlv(2)             rlv(3)  root_length()    dm_green(1)         height sum@mungbean_dlt_n_fixed_pot sum@mungbean_dlt_n_fixed sum@mungbean_n_supply_soil    n_conc_crit       n_demand    n_conc_crit        root_wt         root_n     root_depth
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (kg/ha)                      (?)                      (?)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()           (mm/mm3)           (mm/mm3)           (mm/mm3)       (mm/mm2)        (g/m^2)           (mm)                          (?)                      (?)                        (?)            (%)        (g/m^2)            (%)        (g/m^2)        (g/m^2)           (mm)
      1990       280            201.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000                        ?                        ?          alive          0.000          0.000          0.000          0.000        400.000          8.889          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                            ?                        ?                          ?          0.000          0.000          0.000          0.000          0.000          0.000
      1990       287             80.737             88.369             35.324             31.684             80.477             74.154         87.606          0.014         42.998                    0.750                    0.500          alive          0.000          0.000          0.000          0.000        306.782          6.813          2.039          2.039          0.016          0.016              0.002              0.000              0.000          0.488          8.138          0.484                        0.050                    0.000                      0.014          5.778          0.006          5.778          8.138          0.122        230.000
      1990       294             73.438             91.235             39.985             29.243             79.549             78.223        178.137          0.051         60.343                    1.000                    1.000          alive          0.000          0.000          0.000          0.000        239.538          5.315          2.267          2.267          0.051          0.051              0.003              0.000              0.000          0.574          9.561          4.394                        0.109                    0.013                      0.084          5.307          0.024          5.307          9.561          0.144        440.000
      1990       301             69.255             93.722             41.092             34.121             79.562             79.223        250.217          0.097         96.196                    1.000                    1.000          alive          0.000          0.000          0.000          0.000        200.532          4.444          2.732          2.732          0.119          0.119              0.003              0.000              0.000          0.766         12.761         12.459                        0.123                    0.017                      0.174          4.933          0.057          4.933         12.761          0.192        635.000
      1990       308             61.740             94.093             41.271             31.894             77.172             79.159        352.574          0.439        260.724                    1.000                    1.000          alive          0.000          0.000          0.000          0.000        161.285          3.565          3.755          4.698          0.417          0.161              0.006              0.001              0.000          1.710         28.497         49.618                        0.317                    0.033                      0.911          4.400          0.190          4.400         28.497          0.429        740.000
      1990       315             44.189             94.511             40.733             37.272             76.361             77.692        446.740          0.989        732.007                    0.955                    1.000          alive          0.000          0.000          0.000          0.000        137.779          3.021          4.697          7.672          0.501          0.141              0.018              0.002              0.001          4.430         73.829        155.890                        0.986                    0.470                      1.980          3.910          0.355          3.910         73.829          1.110        845.000
      1990       322             28.768             91.367             39.647             32.888             75.097             74.497        538.329          1.303       1291.288                    0.638                    1.000          alive          0.000          0.000          0.000          0.000        122.822          2.660          5.613         11.318          0.550          0.132              0.031              0.003              0.001          7.558        125.974        318.464                        2.181                    0.583                      2.236          3.434          0.256          3.434        125.974          2.020        950.000
      1990       329             16.923             88.519             40.305             40.222             78.479             72.097        640.092          1.868       1978.340                    0.675                    1.000          alive          0.000          0.000          0.000          0.000        115.214          2.452          6.630         15.744          0.590          0.131              0.042              0.003              0.001         10.217        170.283        491.055                        2.589                    0.326                      1.689          2.970          0.334          2.970        170.283          2.608       1000.000
      1990       336             11.140             80.508             42.101             36.719             76.955             71.026        743.400          2.243       2587.898                    0.493                    1.000          alive          0.000          0.000          0.000          0.000        111.429          2.316          7.664         20.441          0.577          0.145              0.046              0.004              0.001         11.048        184.130        638.602                        1.429                    0.026                      1.487          2.798          0.150          2.798        184.130          2.815       1000.000
      1990       343              6.899             71.432             45.069             41.135             78.601             71.865        853.431          2.557       3294.363                    0.649                    1.000          alive          0.000        112.008          0.000          0.000        112.180          2.279          8.598         22.346          0.093          0.093              0.049              0.004              0.001         11.791        196.509        784.667                        1.414                    0.315                      1.291          2.615          0.152          2.615        196.509          3.008       1000.000
