Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass avg@mungbean_swdef_photo avg@mungbean_nfact_photo   plant_status      dm_dead()          yield     residue_wt      residue_n        fom_c()        fom_n()        node_no        leaf_no    dlt_leaf_no    dlt_node_no             rlv(1)             rlv(2)             rlv(3)  root_length()    dm_green(1)         height sum@mungbean_dlt_n_fixed_pot sum@mungbean_dlt_n_fixed sum@mungbean_n_supply_soil    n_conc_crit       n_demand    n_conc_crit        root_wt         root_n     root_depth
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (dd)      (m^2/m^2)        (kg/ha)                      (?)                      (?)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)     (nodes/m2)    (leaves/m2)    (leaves/m2)     (nodes/m2)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)      (mm/mm^2)        (g/m^2)           (mm)                          (?)                      (?)                        (?)            (%)        (g/m^2)            (%)        (g/m^2)        (g/m^2)           (mm)
      1990       280            201.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000                        ?                        ?          alive          0.000          0.000          0.000          0.000        400.000          8.889          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                            ?                        ?                          ?          0.000          0.000          0.000          0.000          0.000          0.000
      1990       287             80.734             88.369             35.324             31.684             80.477             74.154         87.606          0.014         42.998                    0.750                    0.500          alive          0.000          0.000          0.000          0.000        306.782          6.816          2.039          2.039          0.016          0.016              0.002              0.000              0.000          0.488          8.138          0.484                        0.050                    0.000                      0.014          5.778          0.006          5.778          8.138          0.122        230.000
      1990       294             73.435             91.234             39.985             29.243             79.549             78.223        178.137          0.051         60.343                    1.000                    1.000          alive          0.000          0.000          0.000          0.000        239.538          5.320          2.267          2.267          0.051          0.051              0.003              0.000              0.000          0.574          9.561          4.394                        0.109                    0.013                      0.084          5.307          0.024          5.307          9.561          0.144        440.000
      1990       301             69.352             93.831             41.092             34.121             79.562             79.223        250.217          0.097         96.196                    1.000                    1.000          alive          0.000          0.000          0.000          0.000        200.532          4.451          2.732          2.732          0.118          0.118              0.003              0.000              0.000          0.766         12.761         12.459                        0.123                    0.006                      0.153          4.933          0.039          4.933         12.761          0.192        635.000
      1990       308             62.015             94.447             41.277             31.894             77.172             79.159        352.574          0.439        260.724                    1.000                    1.000          alive          0.000          0.000          0.000          0.000        161.285          3.575          3.755          4.698          0.417          0.161              0.006              0.001              0.000          1.710         28.497         49.618                        0.317                    0.024                      0.868          4.400          0.190          4.400         28.497          0.428        740.000
      1990       315             44.435             94.938             40.747             37.272             76.361             77.692        446.740          0.989        732.007                    0.955                    1.000          alive          0.000          0.000          0.000          0.000        137.779          3.043          4.697          7.672          0.501          0.141              0.018              0.002              0.001          4.430         73.829        155.890                        0.986                    0.464                      1.975          3.910          0.344          3.910         73.829          1.110        845.000
      1990       322             29.268             92.512             39.759             32.888             75.097             74.497        538.329          1.303       1291.288                    0.638                    1.000          alive          0.000          0.000          0.000          0.000        122.822          2.689          5.613         11.318          0.550          0.132              0.031              0.003              0.001          7.558        125.974        318.464                        2.181                    0.577                      2.130          3.434          0.224          3.434        125.974          2.020        950.000
      1990       329             17.436             90.425             40.569             40.222             78.479             72.097        640.092          1.868       1978.341                    0.675                    1.000          alive          0.000          0.000          0.000          0.000        115.214          2.491          6.630         15.744          0.590          0.131              0.042              0.003              0.001         10.217        170.283        491.055                        2.589                    0.283                      1.597          2.970          0.311          2.970        170.283          2.608       1000.000
      1990       336             11.721             83.513             42.675             36.719             76.955             71.026        743.400          2.243       2587.898                    0.493                    1.000          alive          0.000          0.000          0.000          0.000        111.429          2.381          7.664         20.441          0.577          0.145              0.046              0.004              0.001         11.048        184.130        638.603                        1.429                    0.000                      1.340          2.798          0.131          2.798        184.130          2.815       1000.000
      1990       343              7.307             74.679             45.932             41.135             78.601             71.865        853.431          2.557       3294.363                    0.649                    1.000          alive          0.000        112.008          0.000          0.000        112.180          2.371          8.598         22.346          0.093          0.093              0.049              0.004              0.001         11.791        196.509        784.667                        1.414                    0.248                      1.257          2.615          0.118          2.615        196.509          3.006       1000.000
      1990       350              5.027             62.480             46.238             36.684             76.816             71.940        961.232          2.402       3994.616                    0.656                    1.000          alive          0.000        611.176          0.000          0.000        113.076          2.370          8.908         22.676          0.000          0.000              0.049              0.004              0.001         11.742        195.700        800.000                        0.659                    0.407                      1.679          2.435          0.273          2.435        195.700          2.957       1000.000
      1990       357              3.602             52.739             46.272             40.137             78.629             71.546       1053.247          1.919       4482.875                    0.369                    1.000          alive          0.000       1219.342          0.000          0.000        109.858          2.288          8.908         22.676          0.000          0.000              0.048              0.004              0.001         11.587        193.111        800.000                        0.740                    0.349                      1.429          2.282          0.244          2.282        193.111          2.918       1000.000
      1990       364              2.897             41.861             43.383             39.126             79.271             72.855       1174.157          1.676       5142.838                    0.869                    1.000          alive          0.000       2010.850          0.000          0.000        108.824          2.255          8.908         22.676          0.000          0.000              0.048              0.004              0.001         11.524        192.072        800.000                        0.834                    0.834                      1.741          2.080          0.505          2.080        192.072          2.887       1000.000
      1991         3              2.800             38.895             42.714             42.977             80.617             73.085       1241.245          0.008          0.000                    0.882                    0.500          alive          0.000          0.000       3266.354         55.521        109.946          2.272          2.000          2.000          0.000          0.000              0.047              0.004              0.001         11.358        170.364          1.000                        0.128                    0.128                      0.520          0.000          0.000          0.000        170.364          2.716       1000.000
      1991         4              2.732             38.571             43.286             38.613             80.864             74.292          0.000          0.000          0.000                    1.000                    0.000            out          0.000          0.000       3137.967         53.339        867.360         30.952          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
